chId	chId2	mId	lines
u26	u30	m2	['L3380', 'L3381', 'L3382']
u26	u30	m2	['L3383', 'L3384', 'L3385']
u26	u30	m2	['L3392', 'L3393', 'L3394', 'L3395', 'L3396']
u26	u30	m2	['L3459', 'L3460', 'L3461']
u26	u30	m2	['L3464', 'L3465', 'L3466', 'L3467', 'L3468', 'L3469', 'L3470', 'L3471', 'L3472', 'L3473', 'L3474', 'L3475', 'L3476', 'L3477', 'L3478', 'L3479', 'L3480', 'L3481']
u26	u30	m2	['L3482', 'L3483', 'L3484', 'L3485', 'L3486', 'L3487', 'L3488', 'L3489']
u26	u30	m2	['L3490', 'L3491', 'L3492', 'L3493']
u26	u30	m2	['L3496', 'L3497']
u26	u30	m2	['L3545', 'L3546']
u27	u34	m2	['L3059', 'L3060', 'L3061']
u27	u34	m2	['L3089', 'L3090', 'L3091', 'L3092']
u27	u34	m2	['L3093', 'L3094', 'L3095']
u27	u34	m2	['L3096', 'L3097']
u27	u34	m2	['L3158', 'L3159', 'L3160']
u27	u34	m2	['L3161', 'L3162', 'L3163', 'L3164', 'L3165', 'L3166']
u27	u34	m2	['L3167', 'L3168', 'L3169', 'L3170']
u27	u34	m2	['L3177', 'L3178', 'L3179', 'L3180', 'L3181']
u27	u34	m2	['L3300', 'L3301', 'L3302']
u27	u34	m2	['L3305', 'L3306', 'L3307', 'L3308']
u27	u34	m2	['L3309', 'L3310', 'L3311']
u27	u34	m2	['L3313', 'L3314']
u27	u34	m2	['L3315', 'L3316', 'L3317', 'L3318']
u27	u34	m2	['L3329', 'L3330']
u27	u34	m2	['L3514', 'L3515', 'L3516', 'L3517']
u27	u29	m2	['L3045', 'L3046', 'L3047', 'L3048']
u27	u29	m2	['L3049', 'L3050', 'L3051']
u27	u29	m2	['L3055', 'L3056']
u27	u29	m2	['L3062', 'L3063', 'L3064', 'L3065']
u28	u29	m2	['L3208', 'L3209', 'L3210', 'L3211', 'L3212', 'L3213', 'L3214']
u28	u34	m2	['L2797', 'L2798', 'L2799', 'L2800']
u28	u34	m2	['L3196', 'L3197']
u28	u34	m2	['L3198', 'L3199', 'L3200', 'L3201', 'L3202', 'L3203']
u28	u34	m2	['L3293', 'L3294']
u28	u34	m2	['L3498', 'L3499', 'L3500', 'L3501', 'L3502', 'L3503', 'L3504', 'L3505', 'L3506']
u28	u35	m2	['L2801', 'L2802', 'L2803', 'L2804', 'L2805']
u28	u35	m2	['L3289', 'L3290', 'L3291', 'L3292']
u29	u36	m2	['L2599', 'L2600', 'L2601']
u29	u36	m2	['L2602', 'L2603']
u29	u36	m2	['L2630', 'L2631', 'L2632', 'L2633']
u29	u36	m2	['L2751', 'L2752']
u29	u36	m2	['L2920', 'L2921', 'L2922', 'L2923']
u29	u36	m2	['L2924', 'L2925']
u29	u36	m2	['L2936', 'L2937', 'L2938']
u29	u36	m2	['L3016', 'L3017']
u29	u36	m2	['L3022', 'L3023']
u29	u36	m2	['L3027', 'L3028']
u29	u44	m2	['L2964', 'L2965', 'L2966', 'L2967']
u29	u44	m2	['L2971', 'L2972', 'L2973']
