chId	chId2	mId	lines
u796	u810	m51	['L170956', 'L170957', 'L170958', 'L170959']
u796	u810	m51	['L170960', 'L170961']
u796	u810	m51	['L170975', 'L170976', 'L170977', 'L170978']
u796	u810	m51	['L170981', 'L170982', 'L170983', 'L170984']
u796	u810	m51	['L171003', 'L171004']
u796	u810	m51	['L171007', 'L171008']
u796	u810	m51	['L171060', 'L171061', 'L171062', 'L171063', 'L171064', 'L171065', 'L171066']
u796	u810	m51	['L171215', 'L171216', 'L171217']
u796	u810	m51	['L171284', 'L171285', 'L171286', 'L171287', 'L171288', 'L171289', 'L171290']
u796	u810	m51	['L171291', 'L171292', 'L171293']
u796	u810	m51	['L171294', 'L171295', 'L171296', 'L171297', 'L171298']
u796	u810	m51	['L171300', 'L171301', 'L171302']
u796	u810	m51	['L171303', 'L171304', 'L171305', 'L171306']
u796	u810	m51	['L171357', 'L171358', 'L171359']
u796	u809	m51	['L171155', 'L171156', 'L171157']
u796	u809	m51	['L171158', 'L171159', 'L171160']
u796	u809	m51	['L171163', 'L171164', 'L171165', 'L171166', 'L171167', 'L171168', 'L171169']
u796	u803	m51	['L170726', 'L170727']
u796	u803	m51	['L171145', 'L171146', 'L171147', 'L171148', 'L171149']
u796	u812	m51	['L170937', 'L170938', 'L170939']
u796	u812	m51	['L170946', 'L170947']
u796	u812	m51	['L170948', 'L170949', 'L170950', 'L170951']
u796	u797	m51	['L170816', 'L170817', 'L170818']
u796	u797	m51	['L170819', 'L170820', 'L170821']
u796	u797	m51	['L170964', 'L170965']
u796	u797	m51	['L170985', 'L170986']
u796	u797	m51	['L170987', 'L170988', 'L170989', 'L170990']
u796	u797	m51	['L170991', 'L170992']
u796	u797	m51	['L170993', 'L170994', 'L170995', 'L170996', 'L170997', 'L170998']
u796	u797	m51	['L170999', 'L171000', 'L171001', 'L171002']
u796	u797	m51	['L171212', 'L171213', 'L171214']
u796	u806	m51	['L171081', 'L171082']
u796	u806	m51	['L171083', 'L171084']
u796	u806	m51	['L171101', 'L171102']
u796	u806	m51	['L171137', 'L171138', 'L171139', 'L171140', 'L171141', 'L171142', 'L171143']
u796	u798	m51	['L170809', 'L170810']
u796	u798	m51	['L171085', 'L171086']
u796	u798	m51	['L171087', 'L171088', 'L171089']
u796	u798	m51	['L171090', 'L171091', 'L171092']
u796	u798	m51	['L171093', 'L171094']
u796	u807	m51	['L171116', 'L171117']
u796	u807	m51	['L171192', 'L171193']
u796	u807	m51	['L171247', 'L171248', 'L171249', 'L171250', 'L171251', 'L171252']
u796	u799	m51	['L170876', 'L170877']
u796	u799	m51	['L170881', 'L170882']
u796	u799	m51	['L170884', 'L170885']
u796	u799	m51	['L170887', 'L170888', 'L170889']
u796	u799	m51	['L170891', 'L170892', 'L170893', 'L170894']
u797	u810	m51	['L170898', 'L170899', 'L170900', 'L170901', 'L170902', 'L170903', 'L170904', 'L170905', 'L170906', 'L170907']
u797	u810	m51	['L170910', 'L170911', 'L170912', 'L170913', 'L170914']
u797	u810	m51	['L170915', 'L170916', 'L170917', 'L170918']
u797	u810	m51	['L170919', 'L170920']
u797	u810	m51	['L170921', 'L170922', 'L170923', 'L170924']
u797	u810	m51	['L170927', 'L170928', 'L170929', 'L170930']
u797	u810	m51	['L170973', 'L170974']
u797	u810	m51	['L171210', 'L171211']
u797	u810	m51	['L171360', 'L171361']
u798	u803	m51	['L171226', 'L171227']
u798	u803	m51	['L171242', 'L171243', 'L171244', 'L171245', 'L171246']
u800	u814	m51	['L171312', 'L171313', 'L171314', 'L171315', 'L171316', 'L171317']
u800	u814	m51	['L171336', 'L171337', 'L171338', 'L171339', 'L171340', 'L171341', 'L171342', 'L171343', 'L171344', 'L171345']
u801	u803	m51	['L170689', 'L170690']
u801	u803	m51	['L170713', 'L170714', 'L170715', 'L170716', 'L170717', 'L170718']
u802	u813	m51	['L170785', 'L170786', 'L170787', 'L170788', 'L170789', 'L170790', 'L170791']
u802	u813	m51	['L171228', 'L171229']
u803	u808	m51	['L170823', 'L170824', 'L170825', 'L170826']
u803	u808	m51	['L170829', 'L170830']
u803	u808	m51	['L170836', 'L170837', 'L170838']
u803	u808	m51	['L171233', 'L171234']
u803	u808	m51	['L171267', 'L171268', 'L171269']
u803	u808	m51	['L171272', 'L171273', 'L171274', 'L171275']
u803	u806	m51	['L170695', 'L170696']
u803	u806	m51	['L170698', 'L170699', 'L170700']
u803	u806	m51	['L170701', 'L170702']
u803	u806	m51	['L170703', 'L170704']
u803	u806	m51	['L170705', 'L170706']
u803	u806	m51	['L170707', 'L170708', 'L170709']
u803	u806	m51	['L170711', 'L170712']
u803	u806	m51	['L170778', 'L170779', 'L170780', 'L170781']
u803	u806	m51	['L171013', 'L171014', 'L171015']
u803	u806	m51	['L171255', 'L171256', 'L171257', 'L171258', 'L171259', 'L171260', 'L171261']
u804	u805	m51	['L170851', 'L170852']
u804	u805	m51	['L170853', 'L170854', 'L170855', 'L170856']
u804	u805	m51	['L171036', 'L171037', 'L171038']
u804	u805	m51	['L171188', 'L171189']
u804	u805	m51	['L171237', 'L171238', 'L171239', 'L171240', 'L171241']
u811	u815	m51	['L170748', 'L170749', 'L170750', 'L170751']
u811	u815	m51	['L170754', 'L170755', 'L170756', 'L170757']
