chId	chId2	mId	lines
u1136	u1141	m75	['L239783', 'L239784', 'L239785']
u1136	u1141	m75	['L239787', 'L239788', 'L239789']
u1136	u1141	m75	['L239790', 'L239791', 'L239792']
u1136	u1141	m75	['L239794', 'L239795', 'L239796']
u1137	u1152	m75	['L239545', 'L239546']
u1137	u1152	m75	['L239550', 'L239551', 'L239552', 'L239553', 'L239554']
u1137	u1152	m75	['L239567', 'L239568', 'L239569']
u1137	u1152	m75	['L239575', 'L239576', 'L239577']
u1138	u1144	m75	['L239667', 'L239668', 'L239669', 'L239670']
u1138	u1144	m75	['L239671', 'L239672', 'L239673', 'L239674', 'L239675', 'L239676']
u1138	u1144	m75	['L240009', 'L240010', 'L240011', 'L240012', 'L240013', 'L240014', 'L240015']
u1138	u1144	m75	['L240219', 'L240220']
u1138	u1144	m75	['L240308', 'L240309', 'L240310']
u1138	u1152	m75	['L239708', 'L239709', 'L239710', 'L239711']
u1138	u1152	m75	['L239714', 'L239715']
u1138	u1152	m75	['L239719', 'L239720']
u1138	u1152	m75	['L239727', 'L239728']
u1138	u1152	m75	['L239731', 'L239732']
u1138	u1152	m75	['L239733', 'L239734']
u1138	u1152	m75	['L239735', 'L239736', 'L239737', 'L239738', 'L239739']
u1138	u1152	m75	['L239740', 'L239741', 'L239742', 'L239743']
u1138	u1152	m75	['L239745', 'L239746', 'L239747']
u1138	u1152	m75	['L239748', 'L239749', 'L239750']
u1138	u1152	m75	['L239751', 'L239752', 'L239753']
u1138	u1152	m75	['L239755', 'L239756', 'L239757']
u1138	u1152	m75	['L239758', 'L239759', 'L239760', 'L239761', 'L239762', 'L239763', 'L239764', 'L239765', 'L239766', 'L239767', 'L239768', 'L239769', 'L239770', 'L239771', 'L239772', 'L239773', 'L239774', 'L239775', 'L239776']
u1138	u1152	m75	['L239921', 'L239922', 'L239923', 'L239924', 'L239925', 'L239926', 'L239927', 'L239928', 'L239929']
u1138	u1152	m75	['L239930', 'L239931', 'L239932', 'L239933', 'L239934', 'L239935', 'L239936', 'L239937', 'L239938', 'L239939', 'L239940', 'L239941', 'L239942', 'L239943', 'L239944']
u1138	u1152	m75	['L240047', 'L240048']
u1138	u1152	m75	['L240050', 'L240051', 'L240052', 'L240053']
u1138	u1152	m75	['L240054', 'L240055', 'L240056']
u1138	u1152	m75	['L240058', 'L240059', 'L240060', 'L240061', 'L240062', 'L240063', 'L240064']
u1138	u1152	m75	['L240311', 'L240312', 'L240313', 'L240314']
u1138	u1152	m75	['L240315', 'L240316']
u1139	u1152	m75	['L239634', 'L239635', 'L239636', 'L239637', 'L239638', 'L239639', 'L239640']
u1140	u1147	m75	['L240030', 'L240031', 'L240032']
u1140	u1147	m75	['L240319', 'L240320', 'L240321', 'L240322', 'L240323']
u1142	u1152	m75	['L239590', 'L239591', 'L239592', 'L239593']
u1142	u1152	m75	['L239601', 'L239602']
u1142	u1152	m75	['L239620', 'L239621']
u1143	u1149	m75	['L239699', 'L239700', 'L239701', 'L239702', 'L239703', 'L239704', 'L239705', 'L239706', 'L239707']
