chId	chId2	mId	lines
u4645	u4646	m308	['L145939', 'L145940', 'L145941']
u4645	u4646	m308	['L145942', 'L145943', 'L145944', 'L145945']
u4645	u4646	m308	['L145946', 'L145947', 'L145948', 'L145949']
u4645	u4646	m308	['L145950', 'L145951', 'L145952', 'L145953', 'L145954']
u4645	u4646	m308	['L146036', 'L146037']
u4645	u4646	m308	['L146114', 'L146115']
u4645	u4646	m308	['L146116', 'L146117']
u4645	u4646	m308	['L146184', 'L146185', 'L146186', 'L146187', 'L146188', 'L146189', 'L146190', 'L146191']
u4645	u4646	m308	['L146192', 'L146193', 'L146194']
u4645	u4646	m308	['L146195', 'L146196']
u4645	u4646	m308	['L146371', 'L146372', 'L146373', 'L146374', 'L146375', 'L146376', 'L146377']
u4645	u4646	m308	['L146389', 'L146390', 'L146391', 'L146392', 'L146393']
u4646	u4653	m308	['L145719', 'L145720']
u4646	u4653	m308	['L145724', 'L145725']
u4646	u4653	m308	['L145728', 'L145729']
u4646	u4653	m308	['L145764', 'L145765']
u4646	u4653	m308	['L145766', 'L145767', 'L145768']
u4646	u4653	m308	['L145769', 'L145770']
u4646	u4653	m308	['L145771', 'L145772', 'L145773']
u4646	u4653	m308	['L145774', 'L145775']
u4646	u4653	m308	['L145776', 'L145777', 'L145778']
u4646	u4653	m308	['L145828', 'L145829']
u4646	u4653	m308	['L145830', 'L145831']
u4646	u4653	m308	['L145833', 'L145834']
u4646	u4653	m308	['L145835', 'L145836', 'L145837', 'L145838']
u4646	u4653	m308	['L145840', 'L145841', 'L145842', 'L145843']
u4646	u4653	m308	['L145844', 'L145845']
u4646	u4653	m308	['L145854', 'L145855']
u4646	u4653	m308	['L145875', 'L145876', 'L145877']
u4646	u4653	m308	['L145880', 'L145881']
u4646	u4653	m308	['L145884', 'L145885', 'L145886', 'L145887']
u4646	u4653	m308	['L145895', 'L145896']
u4646	u4653	m308	['L146125', 'L146126', 'L146127', 'L146128', 'L146129', 'L146130']
u4646	u4653	m308	['L146131', 'L146132', 'L146133']
u4646	u4653	m308	['L146134', 'L146135']
u4646	u4653	m308	['L146139', 'L146140']
u4646	u4653	m308	['L146532', 'L146533']
u4646	u4653	m308	['L146576', 'L146577']
u4646	u4653	m308	['L146580', 'L146581', 'L146582', 'L146583', 'L146584']
u4646	u4653	m308	['L146585', 'L146586']
u4646	u4649	m308	['L145715', 'L145716', 'L145717', 'L145718']
u4646	u4649	m308	['L145726', 'L145727']
u4646	u4649	m308	['L145732', 'L145733']
u4646	u4649	m308	['L145735', 'L145736']
u4646	u4649	m308	['L145847', 'L145848']
u4646	u4649	m308	['L145850', 'L145851', 'L145852', 'L145853']
u4646	u4649	m308	['L145858', 'L145859']
