chId	chId2	mId	lines
u2079	u2082	m135	['L384685', 'L384686']
u2079	u2082	m135	['L384696', 'L384697']
u2079	u2082	m135	['L384701', 'L384702', 'L384703']
u2079	u2082	m135	['L384722', 'L384723']
u2080	u2081	m135	['L384226', 'L384227']
u2080	u2081	m135	['L384233', 'L384234']
u2080	u2081	m135	['L384236', 'L384237']
u2080	u2081	m135	['L384613', 'L384614', 'L384615']
u2080	u2084	m135	['L384339', 'L384340']
u2080	u2084	m135	['L384350', 'L384351']
u2080	u2084	m135	['L384361', 'L384362']
u2080	u2084	m135	['L384365', 'L384366', 'L384367']
u2080	u2084	m135	['L384369', 'L384370']
u2080	u2084	m135	['L384371', 'L384372']
u2080	u2082	m135	['L384075', 'L384076']
u2080	u2082	m135	['L384212', 'L384213']
u2080	u2082	m135	['L384416', 'L384417']
u2080	u2082	m135	['L384558', 'L384559']
u2080	u2082	m135	['L384588', 'L384589']
u2080	u2082	m135	['L384668', 'L384669']
u2080	u2092	m135	['L384131', 'L384132']
u2080	u2092	m135	['L384175', 'L384176']
u2080	u2092	m135	['L384178', 'L384179']
u2080	u2092	m135	['L384509', 'L384510']
u2080	u2092	m135	['L384583', 'L384584']
u2080	u2092	m135	['L384687', 'L384688']
u2081	u2094	m135	['L384092', 'L384093', 'L384094', 'L384095']
u2081	u2094	m135	['L384151', 'L384152']
u2081	u2094	m135	['L384407', 'L384408', 'L384409']
u2081	u2094	m135	['L384489', 'L384490']
u2081	u2094	m135	['L384716', 'L384717']
u2082	u2084	m135	['L384347', 'L384348', 'L384349']
u2082	u2084	m135	['L384375', 'L384376']
u2082	u2084	m135	['L384500', 'L384501', 'L384502']
u2082	u2087	m135	['L384171', 'L384172']
u2082	u2087	m135	['L384279', 'L384280']
u2082	u2087	m135	['L384571', 'L384572']
u2082	u2087	m135	['L384580', 'L384581']
u2082	u2087	m135	['L384631', 'L384632']
u2082	u2087	m135	['L384653', 'L384654']
u2082	u2090	m135	['L384531', 'L384532']
