chId	chId2	mId	lines
u115	u121	m7	['L8029', 'L8030', 'L8031', 'L8032']
u115	u121	m7	['L8033', 'L8034', 'L8035']
u115	u121	m7	['L8036', 'L8037']
u115	u121	m7	['L8094', 'L8095', 'L8096', 'L8097']
u115	u121	m7	['L8155', 'L8156']
u115	u121	m7	['L8196', 'L8197', 'L8198', 'L8199']
u115	u121	m7	['L8200', 'L8201', 'L8202']
u115	u121	m7	['L8203', 'L8204']
u115	u121	m7	['L8206', 'L8207', 'L8208']
u115	u119	m7	['L8048', 'L8049', 'L8050', 'L8051']
u115	u119	m7	['L8052', 'L8053']
u115	u119	m7	['L8054', 'L8055', 'L8056', 'L8057']
u115	u119	m7	['L8058', 'L8059', 'L8060']
u115	u119	m7	['L8062', 'L8063']
u115	u119	m7	['L8100', 'L8101']
u115	u122	m7	['L8083', 'L8084', 'L8085', 'L8086', 'L8087']
u115	u122	m7	['L8173', 'L8174', 'L8175']
u115	u122	m7	['L8176', 'L8177', 'L8178', 'L8179']
u115	u116	m7	['L8076', 'L8077', 'L8078', 'L8079', 'L8080']
u115	u116	m7	['L8161', 'L8162']
u115	u116	m7	['L8165', 'L8166']
u115	u116	m7	['L8189', 'L8190']
u115	u116	m7	['L8210', 'L8211', 'L8212']
u115	u116	m7	['L8213', 'L8214']
u115	u116	m7	['L8215', 'L8216']
u115	u116	m7	['L8217', 'L8218']
u115	u116	m7	['L8246', 'L8247', 'L8248']
u115	u116	m7	['L8250', 'L8251', 'L8252', 'L8253', 'L8254', 'L8255']
u115	u116	m7	['L8273', 'L8274', 'L8275', 'L8276']
u115	u116	m7	['L8277', 'L8278']
u115	u116	m7	['L8287', 'L8288']
u115	u116	m7	['L8289', 'L8290']
u115	u116	m7	['L8294', 'L8295']
u115	u116	m7	['L8323', 'L8324']
u115	u117	m7	['L7995', 'L7996']
u115	u117	m7	['L8091', 'L8092']
u115	u117	m7	['L8184', 'L8185', 'L8186', 'L8187']
u116	u121	m7	['L7993', 'L7994']
u116	u121	m7	['L8098', 'L8099']
u116	u121	m7	['L8119', 'L8120']
u116	u121	m7	['L8121', 'L8122', 'L8123', 'L8124', 'L8125', 'L8126']
u116	u121	m7	['L8158', 'L8159']
u116	u121	m7	['L8225', 'L8226', 'L8227', 'L8228', 'L8229']
u118	u119	m7	['L8134', 'L8135', 'L8136']
u118	u119	m7	['L8137', 'L8138']
u118	u119	m7	['L8140', 'L8141', 'L8142', 'L8143']
u119	u121	m7	['L7981', 'L7982', 'L7983', 'L7984']
u119	u121	m7	['L8064', 'L8065']
u119	u121	m7	['L8104', 'L8105', 'L8106']
u119	u121	m7	['L8115', 'L8116', 'L8117', 'L8118']
u119	u120	m7	['L8066', 'L8067', 'L8068']
u119	u120	m7	['L8069', 'L8070', 'L8071', 'L8072']
u123	u129	m8	['L8419', 'L8420']
u123	u129	m8	['L8717', 'L8718']
u123	u129	m8	['L8721', 'L8722']
u123	u129	m8	['L8724', 'L8725']
u123	u129	m8	['L8728', 'L8729']
u123	u127	m8	['L8535', 'L8536']
u123	u127	m8	['L8538', 'L8539', 'L8540']
u123	u127	m8	['L8541', 'L8542', 'L8543']
u123	u127	m8	['L8644', 'L8645']
u123	u127	m8	['L8648', 'L8649']
u123	u127	m8	['L8650', 'L8651', 'L8652']
u123	u127	m8	['L8653', 'L8654']
u123	u127	m8	['L8656', 'L8657']
u123	u127	m8	['L8792', 'L8793']
u123	u127	m8	['L8801', 'L8802']
u123	u127	m8	['L8803', 'L8804']
u123	u127	m8	['L8805', 'L8806']
u123	u125	m8	['L8395', 'L8396', 'L8397']
u123	u125	m8	['L8400', 'L8401', 'L8402']
u123	u125	m8	['L8403', 'L8404', 'L8405']
u123	u125	m8	['L8407', 'L8408']
u123	u125	m8	['L8409', 'L8410', 'L8411', 'L8412', 'L8413', 'L8414']
u123	u124	m8	['L8439', 'L8440', 'L8441', 'L8442']
u123	u124	m8	['L8443', 'L8444']
u123	u124	m8	['L8446', 'L8447']
u123	u124	m8	['L8449', 'L8450', 'L8451']
u123	u124	m8	['L8524', 'L8525']
u123	u124	m8	['L8573', 'L8574', 'L8575', 'L8576', 'L8577', 'L8578', 'L8579', 'L8580']
u123	u124	m8	['L8779', 'L8780', 'L8781', 'L8782', 'L8783']
u123	u130	m8	['L8362', 'L8363', 'L8364', 'L8365']
u123	u130	m8	['L8393', 'L8394']
u123	u130	m8	['L8522', 'L8523']
u123	u130	m8	['L8545', 'L8546', 'L8547']
u123	u130	m8	['L8551', 'L8552']
u123	u130	m8	['L8564', 'L8565']
u123	u130	m8	['L8613', 'L8614']
u123	u130	m8	['L8620', 'L8621']
u123	u130	m8	['L8672', 'L8673']
u123	u130	m8	['L8674', 'L8675']
u123	u130	m8	['L8676', 'L8677']
u123	u130	m8	['L8695', 'L8696', 'L8697', 'L8698']
u123	u130	m8	['L8699', 'L8700']
u123	u130	m8	['L8704', 'L8705']
u123	u130	m8	['L8759', 'L8760']
u123	u130	m8	['L8769', 'L8770']
u123	u130	m8	['L8775', 'L8776']
u123	u130	m8	['L8777', 'L8778']
u123	u130	m8	['L8816', 'L8817']
u123	u130	m8	['L8818', 'L8819']
u123	u128	m8	['L8376', 'L8377']
u123	u128	m8	['L8382', 'L8383']
u123	u128	m8	['L8423', 'L8424']
u123	u128	m8	['L8556', 'L8557']
u123	u128	m8	['L8609', 'L8610']
u123	u128	m8	['L8611', 'L8612']
u123	u128	m8	['L8616', 'L8617']
u123	u128	m8	['L8626', 'L8627']
u123	u128	m8	['L8633', 'L8634']
u123	u128	m8	['L8637', 'L8638']
u123	u128	m8	['L8639', 'L8640']
u123	u128	m8	['L8663', 'L8664', 'L8665']
u123	u128	m8	['L8667', 'L8668']
u123	u128	m8	['L8670', 'L8671']
u123	u128	m8	['L8710', 'L8711']
u123	u128	m8	['L8732', 'L8733']
u123	u128	m8	['L8734', 'L8735', 'L8736']
u123	u128	m8	['L8737', 'L8738', 'L8739']
u123	u128	m8	['L8740', 'L8741']
u123	u128	m8	['L8742', 'L8743']
u126	u128	m8	['L8373', 'L8374', 'L8375']
u126	u128	m8	['L8380', 'L8381']
u126	u128	m8	['L8421', 'L8422']
