chId	chId2	mId	lines
u2279	u2285	m147	['L413414', 'L413415', 'L413416', 'L413417']
u2279	u2285	m147	['L413418', 'L413419', 'L413420', 'L413421']
u2280	u2289	m147	['L413390', 'L413391', 'L413392', 'L413393', 'L413394', 'L413395']
u2280	u2289	m147	['L413396', 'L413397', 'L413398', 'L413399']
u2280	u2289	m147	['L413400', 'L413401', 'L413402', 'L413403']
u2280	u2289	m147	['L413404', 'L413405', 'L413406', 'L413407', 'L413408', 'L413409', 'L413410', 'L413411']
u2280	u2287	m147	['L413356', 'L413357', 'L413358']
u2280	u2287	m147	['L413363', 'L413364']
u2280	u2287	m147	['L413365', 'L413366', 'L413367', 'L413368']
u2280	u2287	m147	['L413369', 'L413370', 'L413371', 'L413372']
u2281	u2287	m147	['L413458', 'L413459', 'L413460']
u2281	u2287	m147	['L413462', 'L413463', 'L413464']
u2281	u2287	m147	['L413543', 'L413544', 'L413545', 'L413546', 'L413547']
u2281	u2287	m147	['L413548', 'L413549', 'L413550']
u2281	u2287	m147	['L413551', 'L413552', 'L413553']
u2281	u2287	m147	['L413652', 'L413653']
u2281	u2287	m147	['L413654', 'L413655']
u2281	u2287	m147	['L413656', 'L413657', 'L413658']
u2281	u2287	m147	['L413662', 'L413663']
u2281	u2287	m147	['L413897', 'L413898', 'L413899']
u2282	u2290	m147	['L413983', 'L413984', 'L413985']
u2282	u2290	m147	['L414114', 'L414115']
u2282	u2290	m147	['L414122', 'L414123']
u2282	u2290	m147	['L414169', 'L414170']
u2283	u2293	m147	['L413606', 'L413607', 'L413608', 'L413609']
u2283	u2293	m147	['L413615', 'L413616', 'L413617', 'L413618', 'L413619', 'L413620']
u2284	u2290	m147	['L413992', 'L413993', 'L413994', 'L413995', 'L413996', 'L413997']
u2286	u2292	m147	['L413477', 'L413478']
u2286	u2292	m147	['L413693', 'L413694']
u2286	u2292	m147	['L413706', 'L413707', 'L413708', 'L413709', 'L413710', 'L413711', 'L413712', 'L413713', 'L413714', 'L413715', 'L413716']
u2286	u2292	m147	['L413733', 'L413734']
u2286	u2292	m147	['L413735', 'L413736', 'L413737']
u2286	u2292	m147	['L413738', 'L413739']
u2286	u2292	m147	['L413740', 'L413741']
u2286	u2292	m147	['L413742', 'L413743']
u2286	u2292	m147	['L413745', 'L413746']
u2286	u2292	m147	['L413920', 'L413921', 'L413922', 'L413923', 'L413924']
