chId	chId2	mId	lines
u12	u23	m1	['L2170', 'L2171', 'L2172']
u12	u23	m1	['L2173', 'L2174', 'L2175']
u12	u23	m1	['L2176', 'L2177']
u12	u23	m1	['L2179', 'L2180', 'L2181']
u13	u16	m1	['L1989', 'L1990', 'L1991', 'L1992', 'L1993']
u13	u16	m1	['L2005', 'L2006']
u13	u16	m1	['L2010', 'L2011', 'L2012']
u13	u16	m1	['L2014', 'L2015', 'L2016']
u13	u16	m1	['L2019', 'L2020']
u13	u16	m1	['L2022', 'L2023']
u13	u16	m1	['L2024', 'L2025']
u13	u24	m1	['L2027', 'L2028', 'L2029']
u13	u24	m1	['L2030', 'L2031']
u13	u24	m1	['L2274', 'L2275']
u13	u24	m1	['L2522', 'L2523', 'L2524']
u14	u16	m1	['L1979', 'L1980', 'L1981', 'L1982', 'L1983', 'L1984']
u14	u16	m1	['L1985', 'L1986']
u14	u16	m1	['L2118', 'L2119']
u14	u16	m1	['L2121', 'L2122', 'L2123']
u14	u16	m1	['L2318', 'L2319', 'L2320']
u14	u16	m1	['L2471', 'L2472']
u14	u16	m1	['L2473', 'L2474']
u14	u16	m1	['L2537', 'L2538']
u14	u16	m1	['L2539', 'L2540']
u15	u16	m1	['L2290', 'L2291', 'L2292', 'L2293']
u15	u16	m1	['L2421', 'L2422']
u15	u16	m1	['L2423', 'L2424', 'L2425', 'L2426']
u15	u16	m1	['L2429', 'L2430', 'L2431', 'L2432']
u16	u17	m1	['L2127', 'L2128', 'L2129']
u16	u17	m1	['L2130', 'L2131']
u16	u17	m1	['L2439', 'L2440']
u16	u17	m1	['L2484', 'L2485']
u16	u17	m1	['L2500', 'L2501']
u16	u17	m1	['L2541', 'L2542']
u16	u17	m1	['L2547', 'L2548', 'L2549']
u16	u17	m1	['L2550', 'L2551', 'L2552']
u16	u24	m1	['L2103', 'L2104', 'L2105']
u16	u24	m1	['L2106', 'L2107', 'L2108']
u16	u24	m1	['L2109', 'L2110']
u16	u24	m1	['L2281', 'L2282']
u16	u24	m1	['L2286', 'L2287']
u16	u24	m1	['L2295', 'L2296', 'L2297']
u16	u24	m1	['L2299', 'L2300', 'L2301']
u16	u24	m1	['L2463', 'L2464']
u16	u24	m1	['L2465', 'L2466']
u16	u24	m1	['L2467', 'L2468', 'L2469']
