chId	chId2	mId	lines
u241	u242	m16	['L31162', 'L31163', 'L31164', 'L31165', 'L31166', 'L31167']
u243	u255	m16	['L30085', 'L30086']
u243	u255	m16	['L30087', 'L30088', 'L30089', 'L30090', 'L30091']
u244	u260	m16	['L30223', 'L30224', 'L30225', 'L30226', 'L30227', 'L30228', 'L30229', 'L30230', 'L30231', 'L30232', 'L30233', 'L30234', 'L30235', 'L30236', 'L30237', 'L30238', 'L30239', 'L30240', 'L30241', 'L30242', 'L30243', 'L30244']
u244	u260	m16	['L30245', 'L30246']
u244	u260	m16	['L30247', 'L30248', 'L30249', 'L30250', 'L30251']
u244	u260	m16	['L30312', 'L30313', 'L30314', 'L30315', 'L30316']
u244	u260	m16	['L30317', 'L30318', 'L30319', 'L30320', 'L30321']
u244	u255	m16	['L30301', 'L30302', 'L30303', 'L30304', 'L30305']
u244	u255	m16	['L30322', 'L30323', 'L30324', 'L30325']
u244	u255	m16	['L30330', 'L30331', 'L30332']
u244	u255	m16	['L30336', 'L30337']
u245	u252	m16	['L30345', 'L30346', 'L30347', 'L30348', 'L30349', 'L30350', 'L30351', 'L30352', 'L30353', 'L30354', 'L30355', 'L30356']
u245	u255	m16	['L30095', 'L30096', 'L30097', 'L30098']
u245	u255	m16	['L30099', 'L30100', 'L30101', 'L30102']
u246	u261	m16	['L30950', 'L30951', 'L30952', 'L30953', 'L30954']
u246	u261	m16	['L30982', 'L30983']
u247	u256	m16	['L31239', 'L31240', 'L31241', 'L31242', 'L31243', 'L31244', 'L31245', 'L31246', 'L31247']
u247	u255	m16	['L30049', 'L30050']
u247	u255	m16	['L30051', 'L30052', 'L30053', 'L30054', 'L30055']
u247	u255	m16	['L30056', 'L30057', 'L30058', 'L30059', 'L30060', 'L30061', 'L30062', 'L30063']
u247	u255	m16	['L30064', 'L30065', 'L30066', 'L30067', 'L30068', 'L30069', 'L30070', 'L30071', 'L30072', 'L30073', 'L30074', 'L30075', 'L30076']
u247	u255	m16	['L30077', 'L30078', 'L30079', 'L30080', 'L30081', 'L30082']
u247	u255	m16	['L30334', 'L30335']
u247	u255	m16	['L30398', 'L30399', 'L30400', 'L30401', 'L30402', 'L30403', 'L30404', 'L30405', 'L30406', 'L30407', 'L30408', 'L30409', 'L30410', 'L30411', 'L30412']
u247	u255	m16	['L30501', 'L30502', 'L30503', 'L30504', 'L30505', 'L30506', 'L30507', 'L30508']
u247	u255	m16	['L30653', 'L30654', 'L30655']
u247	u255	m16	['L30663', 'L30664', 'L30665', 'L30666', 'L30667']
u247	u255	m16	['L30697', 'L30698', 'L30699', 'L30700', 'L30701', 'L30702']
u247	u255	m16	['L30728', 'L30729', 'L30730']
u247	u255	m16	['L30931', 'L30932', 'L30933', 'L30934', 'L30935', 'L30936', 'L30937', 'L30938']
u247	u255	m16	['L31018', 'L31019']
u247	u255	m16	['L31022', 'L31023', 'L31024', 'L31025', 'L31026', 'L31027', 'L31028', 'L31029', 'L31030']
u247	u255	m16	['L31064', 'L31065', 'L31066']
u247	u255	m16	['L31068', 'L31069', 'L31070', 'L31071']
u247	u255	m16	['L31078', 'L31079']
u247	u255	m16	['L31135', 'L31136', 'L31137']
u247	u255	m16	['L31140', 'L31141', 'L31142', 'L31143']
u247	u255	m16	['L31146', 'L31147']
u247	u260	m16	['L30418', 'L30419']
u247	u260	m16	['L30420', 'L30421', 'L30422', 'L30423', 'L30424']
u247	u260	m16	['L30425', 'L30426', 'L30427', 'L30428', 'L30429', 'L30430', 'L30431', 'L30432', 'L30433', 'L30434']
u247	u260	m16	['L30438', 'L30439']
u247	u260	m16	['L30440', 'L30441', 'L30442', 'L30443']
u247	u260	m16	['L30444', 'L30445']
u247	u260	m16	['L30450', 'L30451']
u247	u260	m16	['L30453', 'L30454']
u247	u260	m16	['L30455', 'L30456', 'L30457', 'L30458', 'L30459', 'L30460', 'L30461']
u247	u260	m16	['L30462', 'L30463', 'L30464']
u247	u260	m16	['L30480', 'L30481', 'L30482']
u247	u260	m16	['L31309', 'L31310', 'L31311', 'L31312', 'L31313', 'L31314', 'L31315', 'L31316', 'L31317']
u247	u260	m16	['L31322', 'L31323', 'L31324']
u247	u260	m16	['L31329', 'L31330']
u247	u261	m16	['L31016', 'L31017']
u247	u261	m16	['L31081', 'L31082', 'L31083', 'L31084', 'L31085']
u247	u261	m16	['L31106', 'L31107', 'L31108', 'L31109', 'L31110', 'L31111', 'L31112', 'L31113', 'L31114', 'L31115']
u247	u252	m16	['L30656', 'L30657', 'L30658', 'L30659']
u247	u252	m16	['L30721', 'L30722', 'L30723']
u247	u252	m16	['L30736', 'L30737', 'L30738', 'L30739', 'L30740']
u248	u263	m16	['L30956', 'L30957']
u248	u263	m16	['L30962', 'L30963']
u248	u263	m16	['L30975', 'L30976']
u248	u263	m16	['L30990', 'L30991']
u248	u263	m16	['L30997', 'L30998']
u249	u254	m16	['L30260', 'L30261', 'L30262', 'L30263', 'L30264']
u249	u254	m16	['L30267', 'L30268']
u250	u262	m16	['L30573', 'L30574', 'L30575']
u250	u262	m16	['L30578', 'L30579', 'L30580', 'L30581', 'L30582']
u250	u262	m16	['L30605', 'L30606']
u250	u262	m16	['L30616', 'L30617']
u250	u255	m16	['L30583', 'L30584']
u250	u255	m16	['L30587', 'L30588', 'L30589']
u250	u255	m16	['L30599', 'L30600', 'L30601', 'L30602']
u251	u260	m16	['L30123', 'L30124']
u251	u260	m16	['L30148', 'L30149', 'L30150', 'L30151']
u251	u260	m16	['L30152', 'L30153', 'L30154']
u251	u260	m16	['L30155', 'L30156']
u251	u260	m16	['L30169', 'L30170']
u251	u260	m16	['L30178', 'L30179']
u251	u260	m16	['L30202', 'L30203', 'L30204']
u251	u260	m16	['L30364', 'L30365']
u251	u260	m16	['L30367', 'L30368']
u251	u260	m16	['L30369', 'L30370', 'L30371', 'L30372', 'L30373', 'L30374', 'L30375', 'L30376', 'L30377', 'L30378']
u251	u260	m16	['L30510', 'L30511', 'L30512', 'L30513', 'L30514']
u251	u260	m16	['L30515', 'L30516', 'L30517', 'L30518', 'L30519', 'L30520', 'L30521']
u251	u260	m16	['L30887', 'L30888', 'L30889']
u251	u255	m16	['L30161', 'L30162']
u251	u255	m16	['L30166', 'L30167', 'L30168']
u251	u255	m16	['L30176', 'L30177']
u251	u255	m16	['L30180', 'L30181']
u251	u255	m16	['L30186', 'L30187']
u251	u255	m16	['L30191', 'L30192']
u251	u255	m16	['L30193', 'L30194', 'L30195']
u251	u255	m16	['L30211', 'L30212', 'L30213']
u251	u255	m16	['L30270', 'L30271', 'L30272', 'L30273', 'L30274', 'L30275', 'L30276', 'L30277']
u251	u255	m16	['L30280', 'L30281']
u251	u255	m16	['L30284', 'L30285']
u251	u255	m16	['L30289', 'L30290']
u251	u255	m16	['L30292', 'L30293']
u251	u255	m16	['L30294', 'L30295', 'L30296']
u251	u255	m16	['L30761', 'L30762']
u251	u255	m16	['L30765', 'L30766', 'L30767', 'L30768']
u251	u255	m16	['L30802', 'L30803', 'L30804', 'L30805', 'L30806', 'L30807', 'L30808', 'L30809']
u251	u255	m16	['L30812', 'L30813', 'L30814']
u251	u255	m16	['L30815', 'L30816', 'L30817', 'L30818', 'L30819', 'L30820', 'L30821']
u251	u255	m16	['L30831', 'L30832', 'L30833']
u251	u267	m16	['L30113', 'L30114', 'L30115']
u251	u267	m16	['L30118', 'L30119']
u251	u267	m16	['L30125', 'L30126']
u251	u267	m16	['L30142', 'L30143', 'L30144', 'L30145', 'L30146']
u252	u255	m16	['L30358', 'L30359']
u252	u255	m16	['L30619', 'L30620', 'L30621']
u252	u255	m16	['L30623', 'L30624', 'L30625']
u252	u255	m16	['L30626', 'L30627']
u252	u255	m16	['L30630', 'L30631', 'L30632', 'L30633', 'L30634', 'L30635', 'L30636', 'L30637', 'L30638', 'L30639', 'L30640', 'L30641', 'L30642', 'L30643', 'L30644', 'L30645', 'L30646']
u252	u255	m16	['L30647', 'L30648', 'L30649', 'L30650', 'L30651', 'L30652']
u252	u255	m16	['L30660', 'L30661', 'L30662']
u252	u255	m16	['L30668', 'L30669']
u252	u255	m16	['L30672', 'L30673']
u252	u255	m16	['L30678', 'L30679']
u252	u255	m16	['L30682', 'L30683']
u252	u255	m16	['L30713', 'L30714']
u252	u255	m16	['L30715', 'L30716']
u252	u255	m16	['L30731', 'L30732', 'L30733', 'L30734', 'L30735']
u252	u255	m16	['L30774', 'L30775']
u253	u260	m16	['L30128', 'L30129', 'L30130']
u253	u260	m16	['L30131', 'L30132']
u253	u260	m16	['L30133', 'L30134', 'L30135']
u253	u260	m16	['L30221', 'L30222']
u253	u260	m16	['L30747', 'L30748', 'L30749', 'L30750', 'L30751', 'L30752', 'L30753', 'L30754']
u253	u260	m16	['L30756', 'L30757']
u253	u260	m16	['L30759', 'L30760']
u253	u260	m16	['L31117', 'L31118', 'L31119', 'L31120', 'L31121', 'L31122', 'L31123', 'L31124', 'L31125', 'L31126', 'L31127', 'L31128', 'L31129', 'L31130', 'L31131']
u253	u255	m16	['L30703', 'L30704', 'L30705', 'L30706', 'L30707', 'L30708']
u253	u255	m16	['L30711', 'L30712']
u255	u261	m16	['L30494', 'L30495', 'L30496']
u255	u261	m16	['L30680', 'L30681']
u255	u261	m16	['L30918', 'L30919', 'L30920']
u255	u261	m16	['L31003', 'L31004', 'L31005']
u255	u261	m16	['L31006', 'L31007', 'L31008', 'L31009', 'L31010']
u255	u261	m16	['L31011', 'L31012', 'L31013', 'L31014', 'L31015']
u255	u261	m16	['L31089', 'L31090', 'L31091', 'L31092', 'L31093', 'L31094', 'L31095', 'L31096', 'L31097', 'L31098', 'L31099', 'L31100', 'L31101']
u255	u261	m16	['L31102', 'L31103', 'L31104']
u255	u262	m16	['L30566', 'L30567', 'L30568']
u255	u262	m16	['L30570', 'L30571', 'L30572']
u255	u262	m16	['L30576', 'L30577']
u255	u262	m16	['L30585', 'L30586']
u255	u262	m16	['L30597', 'L30598']
u255	u262	m16	['L30614', 'L30615']
u255	u262	m16	['L31031', 'L31032', 'L31033', 'L31034', 'L31035', 'L31036', 'L31037', 'L31038', 'L31039', 'L31040']
u255	u262	m16	['L31041', 'L31042', 'L31043']
u255	u260	m16	['L30171', 'L30172', 'L30173', 'L30174', 'L30175']
u255	u260	m16	['L30205', 'L30206']
u255	u260	m16	['L30282', 'L30283']
u255	u260	m16	['L30326', 'L30327', 'L30328', 'L30329']
u255	u260	m16	['L30527', 'L30528', 'L30529', 'L30530', 'L30531', 'L30532']
u255	u260	m16	['L30533', 'L30534', 'L30535', 'L30536', 'L30537', 'L30538', 'L30539', 'L30540', 'L30541', 'L30542', 'L30543']
u255	u260	m16	['L30544', 'L30545', 'L30546', 'L30547', 'L30548', 'L30549', 'L30550', 'L30551', 'L30552', 'L30553', 'L30554', 'L30555', 'L30556', 'L30557', 'L30558', 'L30559', 'L30560', 'L30561', 'L30562', 'L30563', 'L30564', 'L30565']
u255	u260	m16	['L30867', 'L30868', 'L30869', 'L30870', 'L30871', 'L30872', 'L30873', 'L30874', 'L30875', 'L30876', 'L30877', 'L30878', 'L30879', 'L30880']
u255	u260	m16	['L30903', 'L30904', 'L30905', 'L30906', 'L30907', 'L30908', 'L30909', 'L30910', 'L30911', 'L30912', 'L30913', 'L30914', 'L30915']
u255	u260	m16	['L30922', 'L30923', 'L30924', 'L30925', 'L30926', 'L30927', 'L30928', 'L30929']
u255	u260	m16	['L31052', 'L31053', 'L31054', 'L31055', 'L31056', 'L31057', 'L31058', 'L31059']
u255	u260	m16	['L31061', 'L31062']
u255	u260	m16	['L31132', 'L31133', 'L31134']
u255	u260	m16	['L31181', 'L31182', 'L31183']
u255	u260	m16	['L31187', 'L31188', 'L31189', 'L31190', 'L31191', 'L31192']
u255	u260	m16	['L31193', 'L31194', 'L31195', 'L31196', 'L31197', 'L31198', 'L31199', 'L31200', 'L31201', 'L31202']
u255	u260	m16	['L31203', 'L31204', 'L31205', 'L31206', 'L31207']
u255	u260	m16	['L31209', 'L31210', 'L31211']
u255	u260	m16	['L31230', 'L31231', 'L31232', 'L31233', 'L31234', 'L31235', 'L31236', 'L31237', 'L31238']
u255	u260	m16	['L31248', 'L31249', 'L31250', 'L31251', 'L31252', 'L31253', 'L31254', 'L31255', 'L31256', 'L31257']
u255	u260	m16	['L31258', 'L31259', 'L31260', 'L31261']
u255	u260	m16	['L31262', 'L31263', 'L31264']
u255	u260	m16	['L31265', 'L31266', 'L31267', 'L31268', 'L31269']
u255	u260	m16	['L31270', 'L31271', 'L31272']
u255	u260	m16	['L31273', 'L31274']
u255	u260	m16	['L31275', 'L31276', 'L31277', 'L31278', 'L31279']
u255	u260	m16	['L31280', 'L31281']
u255	u260	m16	['L31283', 'L31284', 'L31285']
u255	u260	m16	['L31287', 'L31288']
u255	u260	m16	['L31289', 'L31290', 'L31291', 'L31292']
u255	u260	m16	['L31295', 'L31296', 'L31297', 'L31298', 'L31299']
u255	u260	m16	['L31300', 'L31301', 'L31302', 'L31303', 'L31304', 'L31305', 'L31306', 'L31307', 'L31308']
u255	u258	m16	['L30188', 'L30189', 'L30190']
u255	u258	m16	['L30196', 'L30197', 'L30198', 'L30199']
u255	u258	m16	['L30810', 'L30811']
u255	u258	m16	['L30836', 'L30837']
u255	u258	m16	['L30853', 'L30854']
