chId	chId2	mId	lines
u49	u55	m3	['L3712', 'L3713']
u49	u55	m3	['L3720', 'L3721']
u49	u55	m3	['L3728', 'L3729']
u49	u55	m3	['L3749', 'L3750']
u49	u55	m3	['L3756', 'L3757']
u49	u55	m3	['L3770', 'L3771']
u49	u55	m3	['L3777', 'L3778']
u50	u60	m3	['L3942', 'L3943', 'L3944', 'L3945']
u50	u60	m3	['L3963', 'L3964', 'L3965', 'L3966', 'L3967', 'L3968', 'L3969']
u50	u60	m3	['L3972', 'L3973', 'L3974', 'L3975', 'L3976']
u50	u60	m3	['L3979', 'L3980', 'L3981', 'L3982', 'L3983', 'L3984']
u50	u60	m3	['L3987', 'L3988', 'L3989', 'L3990', 'L3991', 'L3992']
u50	u60	m3	['L3995', 'L3996', 'L3997', 'L3998', 'L3999', 'L4000', 'L4001']
u50	u60	m3	['L4011', 'L4012', 'L4013', 'L4014', 'L4015', 'L4016', 'L4017']
u50	u60	m3	['L4159', 'L4160', 'L4161', 'L4162', 'L4163']
u50	u60	m3	['L4188', 'L4189', 'L4190', 'L4191', 'L4192', 'L4193']
u50	u60	m3	['L4196', 'L4197', 'L4198', 'L4199']
u50	u60	m3	['L4208', 'L4209']
u50	u60	m3	['L4282', 'L4283']
u50	u60	m3	['L4296', 'L4297', 'L4298', 'L4299', 'L4300']
u50	u56	m3	['L4006', 'L4007']
u50	u56	m3	['L4068', 'L4069', 'L4070']
u50	u56	m3	['L4079', 'L4080']
u50	u56	m3	['L4219', 'L4220', 'L4221', 'L4222', 'L4223', 'L4224']
u50	u56	m3	['L4227', 'L4228', 'L4229', 'L4230']
u50	u56	m3	['L4265', 'L4266', 'L4267', 'L4268', 'L4269', 'L4270', 'L4271']
u50	u56	m3	['L4333', 'L4334', 'L4335']
u50	u56	m3	['L4346', 'L4347', 'L4348', 'L4349', 'L4350']
u50	u56	m3	['L4353', 'L4354', 'L4355', 'L4356', 'L4357']
u50	u56	m3	['L4360', 'L4361', 'L4362', 'L4363']
u50	u56	m3	['L4366', 'L4367', 'L4368']
u50	u51	m3	['L3970', 'L3971']
u50	u51	m3	['L3977', 'L3978']
u50	u51	m3	['L3993', 'L3994']
u50	u51	m3	['L4002', 'L4003']
u50	u51	m3	['L4009', 'L4010']
u50	u51	m3	['L4018', 'L4019']
u52	u55	m3	['L3668', 'L3669']
u52	u55	m3	['L3672', 'L3673', 'L3674', 'L3675', 'L3676', 'L3677']
u52	u55	m3	['L3679', 'L3680', 'L3681', 'L3682', 'L3683', 'L3684', 'L3685']
u52	u55	m3	['L3688', 'L3689', 'L3690', 'L3691', 'L3692', 'L3693']
u53	u59	m3	['L3797', 'L3798', 'L3799']
u53	u59	m3	['L3805', 'L3806', 'L3807', 'L3808', 'L3809', 'L3810']
u54	u55	m3	['L3730', 'L3731', 'L3732', 'L3733', 'L3734', 'L3735']
u54	u55	m3	['L3758', 'L3759']
u54	u55	m3	['L3774', 'L3775', 'L3776']
u54	u55	m3	['L3779', 'L3780']
u55	u58	m3	['L3622', 'L3623']
u55	u58	m3	['L3626', 'L3627', 'L3628', 'L3629', 'L3630', 'L3631']
u55	u58	m3	['L3651', 'L3652', 'L3653']
u55	u61	m3	['L3724', 'L3725', 'L3726']
u55	u61	m3	['L3738', 'L3739', 'L3740']
u55	u61	m3	['L3745', 'L3746', 'L3747', 'L3748']
u55	u61	m3	['L3751', 'L3752', 'L3753', 'L3754']
u55	u61	m3	['L3760', 'L3761', 'L3762', 'L3763']
u55	u61	m3	['L3766', 'L3767', 'L3768']
u55	u61	m3	['L3772', 'L3773']
u55	u57	m3	['L3868', 'L3869']
u55	u57	m3	['L3889', 'L3890', 'L3891', 'L3892', 'L3893']
u55	u57	m3	['L3896', 'L3897']
u55	u57	m3	['L3904', 'L3905', 'L3906', 'L3907']
u55	u59	m3	['L3817', 'L3818', 'L3819', 'L3820', 'L3821']
u55	u59	m3	['L3824', 'L3825', 'L3826', 'L3827', 'L3828', 'L3829']
u55	u59	m3	['L3832', 'L3833', 'L3834']
u55	u59	m3	['L3837', 'L3838', 'L3839']
u56	u60	m3	['L4020', 'L4021', 'L4022', 'L4023', 'L4024', 'L4025']
u56	u60	m3	['L4028', 'L4029', 'L4030', 'L4031', 'L4032', 'L4033']
u56	u60	m3	['L4096', 'L4097']
u56	u60	m3	['L4108', 'L4109', 'L4110', 'L4111', 'L4112', 'L4113']
u56	u60	m3	['L4118', 'L4119']
u56	u60	m3	['L4169', 'L4170']
u56	u60	m3	['L4174', 'L4175']
u56	u60	m3	['L4181', 'L4182', 'L4183']
u100	u114	m6	['L6335', 'L6336']
u100	u114	m6	['L6337', 'L6338', 'L6339', 'L6340', 'L6341', 'L6342', 'L6343', 'L6344']
u100	u114	m6	['L6347', 'L6348', 'L6349', 'L6350']
u100	u114	m6	['L6351', 'L6352']
u100	u114	m6	['L6361', 'L6362', 'L6363', 'L6364', 'L6365']
u100	u114	m6	['L6429', 'L6430', 'L6431', 'L6432', 'L6433', 'L6434', 'L6435']
u100	u114	m6	['L6957', 'L6958', 'L6959']
u100	u114	m6	['L6960', 'L6961', 'L6962', 'L6963', 'L6964']
u100	u114	m6	['L6971', 'L6972', 'L6973', 'L6974', 'L6975', 'L6976']
u100	u114	m6	['L6977', 'L6978', 'L6979']
u100	u114	m6	['L6980', 'L6981', 'L6982', 'L6983', 'L6984', 'L6985']
u100	u114	m6	['L6986', 'L6987', 'L6988', 'L6989', 'L6990', 'L6991', 'L6992', 'L6993']
u100	u114	m6	['L6996', 'L6997', 'L6998', 'L6999', 'L7000']
u100	u114	m6	['L7001', 'L7002']
u101	u114	m6	['L6605', 'L6606']
u101	u114	m6	['L6607', 'L6608', 'L6609', 'L6610', 'L6611', 'L6612']
u102	u105	m6	['L6707', 'L6708', 'L6709', 'L6710', 'L6711', 'L6712', 'L6713', 'L6714', 'L6715', 'L6716', 'L6717']
u102	u105	m6	['L6909', 'L6910']
u103	u114	m6	['L6779', 'L6780']
u103	u114	m6	['L6781', 'L6782', 'L6783', 'L6784']
u103	u114	m6	['L6789', 'L6790']
u103	u114	m6	['L6791', 'L6792', 'L6793', 'L6794', 'L6795', 'L6796', 'L6797', 'L6798', 'L6799']
u103	u114	m6	['L6800', 'L6801', 'L6802']
u103	u114	m6	['L6803', 'L6804', 'L6805', 'L6806', 'L6807', 'L6808']
u103	u114	m6	['L6810', 'L6811', 'L6812']
u103	u114	m6	['L6814', 'L6815']
u103	u114	m6	['L6828', 'L6829']
u103	u114	m6	['L6830', 'L6831', 'L6832']
u103	u114	m6	['L6833', 'L6834', 'L6835']
u103	u114	m6	['L6840', 'L6841', 'L6842']
u103	u114	m6	['L6844', 'L6845', 'L6846']
u103	u114	m6	['L6852', 'L6853']
u103	u114	m6	['L6858', 'L6859', 'L6860', 'L6861', 'L6862']
u103	u114	m6	['L6863', 'L6864']
u103	u105	m6	['L6847', 'L6848']
u103	u105	m6	['L6865', 'L6866']
u103	u105	m6	['L6906', 'L6907', 'L6908']
u103	u105	m6	['L6911', 'L6912']
u103	u105	m6	['L6935', 'L6936']
u104	u114	m6	['L6437', 'L6438', 'L6439', 'L6440', 'L6441', 'L6442']
u104	u114	m6	['L6443', 'L6444', 'L6445', 'L6446', 'L6447', 'L6448', 'L6449', 'L6450', 'L6451', 'L6452']
u104	u114	m6	['L6453', 'L6454']
u104	u114	m6	['L6460', 'L6461', 'L6462', 'L6463', 'L6464']
u105	u114	m6	['L6693', 'L6694', 'L6695', 'L6696', 'L6697', 'L6698', 'L6699', 'L6700', 'L6701', 'L6702']
u105	u114	m6	['L6919', 'L6920']
u105	u114	m6	['L7013', 'L7014', 'L7015']
u105	u114	m6	['L7016', 'L7017']
u105	u114	m6	['L7018', 'L7019', 'L7020', 'L7021', 'L7022', 'L7023', 'L7024', 'L7025']
u105	u114	m6	['L7026', 'L7027', 'L7028', 'L7029', 'L7030', 'L7031', 'L7032', 'L7033']
u105	u114	m6	['L7034', 'L7035', 'L7036', 'L7037', 'L7038', 'L7039']
u105	u114	m6	['L7043', 'L7044', 'L7045']
u105	u114	m6	['L7048', 'L7049', 'L7050', 'L7051', 'L7052', 'L7053', 'L7054', 'L7055', 'L7056', 'L7057']
u105	u114	m6	['L7059', 'L7060']
u105	u114	m6	['L7061', 'L7062', 'L7063', 'L7064', 'L7065', 'L7066', 'L7067']
u105	u114	m6	['L7070', 'L7071', 'L7072', 'L7073', 'L7074', 'L7075', 'L7076']
u105	u107	m6	['L6686', 'L6687', 'L6688', 'L6689', 'L6690', 'L6691', 'L6692']
u106	u114	m6	['L6374', 'L6375', 'L6376', 'L6377', 'L6378', 'L6379', 'L6380']
u106	u114	m6	['L6868', 'L6869', 'L6870', 'L6871', 'L6872', 'L6873', 'L6874', 'L6875', 'L6876', 'L6877', 'L6878', 'L6879', 'L6880']
u106	u114	m6	['L6881', 'L6882', 'L6883', 'L6884', 'L6885']
u106	u114	m6	['L6886', 'L6887', 'L6888', 'L6889']
u106	u114	m6	['L6890', 'L6891', 'L6892', 'L6893', 'L6894']
u106	u114	m6	['L6898', 'L6899']
u106	u114	m6	['L6900', 'L6901']
u106	u114	m6	['L6902', 'L6903']
u106	u114	m6	['L6921', 'L6922']
u108	u114	m6	['L6546', 'L6547', 'L6548', 'L6549', 'L6550', 'L6551', 'L6552', 'L6553']
u108	u114	m6	['L6556', 'L6557']
u108	u114	m6	['L6558', 'L6559', 'L6560', 'L6561']
u108	u114	m6	['L6568', 'L6569']
u108	u114	m6	['L6570', 'L6571']
u108	u114	m6	['L6574', 'L6575']
u108	u114	m6	['L6576', 'L6577', 'L6578', 'L6579', 'L6580', 'L6581', 'L6582', 'L6583', 'L6584', 'L6585', 'L6586', 'L6587', 'L6588', 'L6589', 'L6590', 'L6591', 'L6592', 'L6593', 'L6594', 'L6595', 'L6596']
u108	u114	m6	['L6597', 'L6598']
u108	u114	m6	['L6614', 'L6615', 'L6616', 'L6617', 'L6618', 'L6619', 'L6620', 'L6621', 'L6622']
u108	u114	m6	['L6623', 'L6624', 'L6625', 'L6626', 'L6627', 'L6628', 'L6629', 'L6630', 'L6631', 'L6632', 'L6633', 'L6634', 'L6635', 'L6636', 'L6637']
u108	u114	m6	['L6722', 'L6723', 'L6724', 'L6725', 'L6726', 'L6727', 'L6728', 'L6729', 'L6730', 'L6731', 'L6732', 'L6733', 'L6734', 'L6735', 'L6736', 'L6737']
u108	u114	m6	['L6750', 'L6751', 'L6752']
u108	u114	m6	['L6753', 'L6754']
u108	u114	m6	['L6757', 'L6758']
u108	u114	m6	['L6762', 'L6763', 'L6764', 'L6765']
u108	u114	m6	['L6768', 'L6769']
u108	u114	m6	['L6787', 'L6788']
u108	u114	m6	['L6816', 'L6817', 'L6818', 'L6819']
u108	u114	m6	['L6821', 'L6822']
u108	u114	m6	['L6823', 'L6824']
u109	u114	m6	['L6368', 'L6369']
u109	u114	m6	['L6372', 'L6373']
u109	u114	m6	['L6382', 'L6383']
u109	u114	m6	['L6384', 'L6385']
u109	u114	m6	['L6386', 'L6387', 'L6388']
u109	u114	m6	['L6389', 'L6390', 'L6391', 'L6392']
u109	u114	m6	['L6395', 'L6396', 'L6397', 'L6398']
u109	u114	m6	['L6399', 'L6400', 'L6401']
u109	u114	m6	['L6402', 'L6403', 'L6404', 'L6405', 'L6406']
u109	u114	m6	['L6407', 'L6408', 'L6409']
u109	u114	m6	['L6410', 'L6411']
u109	u114	m6	['L6412', 'L6413', 'L6414', 'L6415', 'L6416', 'L6417', 'L6418']
u109	u114	m6	['L6419', 'L6420', 'L6421', 'L6422', 'L6423', 'L6424']
u109	u114	m6	['L6425', 'L6426', 'L6427', 'L6428']
u109	u114	m6	['L6639', 'L6640', 'L6641', 'L6642']
u109	u114	m6	['L6643', 'L6644', 'L6645', 'L6646', 'L6647']
u109	u114	m6	['L6648', 'L6649', 'L6650', 'L6651', 'L6652', 'L6653', 'L6654', 'L6655']
u109	u114	m6	['L6738', 'L6739', 'L6740', 'L6741', 'L6742', 'L6743', 'L6744', 'L6745', 'L6746']
u109	u114	m6	['L6747', 'L6748', 'L6749']
u110	u114	m6	['L6466', 'L6467']
u110	u114	m6	['L6468', 'L6469', 'L6470', 'L6471', 'L6472']
u110	u114	m6	['L6473', 'L6474', 'L6475', 'L6476', 'L6477']
u110	u114	m6	['L6479', 'L6480', 'L6481']
u110	u114	m6	['L6482', 'L6483']
u110	u114	m6	['L6485', 'L6486', 'L6487', 'L6488', 'L6489', 'L6490', 'L6491', 'L6492', 'L6493', 'L6494', 'L6495', 'L6496', 'L6497', 'L6498', 'L6499', 'L6500', 'L6501', 'L6502']
u110	u114	m6	['L6503', 'L6504']
u110	u114	m6	['L6507', 'L6508']
u110	u114	m6	['L6511', 'L6512', 'L6513', 'L6514', 'L6515']
u110	u114	m6	['L6516', 'L6517', 'L6518', 'L6519', 'L6520', 'L6521', 'L6522', 'L6523', 'L6524']
u110	u114	m6	['L6525', 'L6526', 'L6527', 'L6528']
u110	u114	m6	['L6531', 'L6532']
u110	u114	m6	['L6534', 'L6535', 'L6536']
u110	u114	m6	['L7081', 'L7082', 'L7083', 'L7084']
u110	u114	m6	['L7085', 'L7086', 'L7087']
u110	u114	m6	['L7088', 'L7089', 'L7090', 'L7091', 'L7092', 'L7093', 'L7094', 'L7095', 'L7096', 'L7097', 'L7098']
u111	u114	m6	['L6657', 'L6658', 'L6659']
u111	u114	m6	['L6661', 'L6662']
u111	u114	m6	['L6665', 'L6666', 'L6667', 'L6668']
u111	u114	m6	['L6669', 'L6670', 'L6671']
u112	u114	m6	['L6354', 'L6355', 'L6356', 'L6357']
u112	u114	m6	['L6358', 'L6359', 'L6360']
u113	u114	m6	['L6676', 'L6677', 'L6678']
u113	u114	m6	['L6679', 'L6680', 'L6681']
u113	u114	m6	['L6682', 'L6683', 'L6684']
u139	u154	m10	['L12735', 'L12736', 'L12737']
u139	u154	m10	['L12738', 'L12739', 'L12740', 'L12741', 'L12742', 'L12743', 'L12744', 'L12745', 'L12746', 'L12747']
u139	u154	m10	['L12748', 'L12749', 'L12750', 'L12751', 'L12752', 'L12753', 'L12754']
u139	u154	m10	['L12756', 'L12757', 'L12758', 'L12759', 'L12760', 'L12761', 'L12762']
u140	u154	m10	['L12140', 'L12141']
u140	u154	m10	['L12772', 'L12773', 'L12774', 'L12775', 'L12776', 'L12777', 'L12778', 'L12779', 'L12780']
u141	u154	m10	['L12666', 'L12667', 'L12668', 'L12669', 'L12670', 'L12671', 'L12672', 'L12673', 'L12674', 'L12675', 'L12676', 'L12677', 'L12678', 'L12679', 'L12680']
u142	u144	m10	['L12379', 'L12380', 'L12381']
u142	u144	m10	['L12388', 'L12389', 'L12390']
u142	u144	m10	['L12398', 'L12399', 'L12400', 'L12401', 'L12402']
u142	u144	m10	['L12728', 'L12729', 'L12730', 'L12731', 'L12732', 'L12733']
u142	u153	m10	['L12237', 'L12238', 'L12239', 'L12240', 'L12241']
u142	u153	m10	['L12242', 'L12243', 'L12244', 'L12245', 'L12246', 'L12247', 'L12248', 'L12249', 'L12250', 'L12251', 'L12252', 'L12253', 'L12254']
u142	u153	m10	['L12264', 'L12265']
u142	u153	m10	['L12266', 'L12267', 'L12268', 'L12269', 'L12270', 'L12271', 'L12272', 'L12273', 'L12274', 'L12275', 'L12276', 'L12277', 'L12278']
u142	u153	m10	['L12280', 'L12281', 'L12282', 'L12283', 'L12284']
u142	u153	m10	['L12299', 'L12300']
u142	u154	m10	['L12146', 'L12147', 'L12148']
u142	u154	m10	['L12149', 'L12150']
u142	u154	m10	['L12180', 'L12181', 'L12182', 'L12183', 'L12184']
u142	u154	m10	['L12186', 'L12187', 'L12188', 'L12189', 'L12190']
u142	u154	m10	['L12193', 'L12194', 'L12195', 'L12196']
u142	u154	m10	['L12197', 'L12198']
u142	u154	m10	['L12203', 'L12204']
u142	u154	m10	['L12403', 'L12404', 'L12405', 'L12406', 'L12407', 'L12408', 'L12409', 'L12410', 'L12411', 'L12412', 'L12413', 'L12414', 'L12415', 'L12416', 'L12417', 'L12418', 'L12419', 'L12420', 'L12421', 'L12422', 'L12423', 'L12424']
u142	u154	m10	['L12425', 'L12426', 'L12427', 'L12428']
