chId	chId2	mId	lines
u49	u55	m3	['L3712', 'L3713']
u49	u55	m3	['L3720', 'L3721']
u49	u55	m3	['L3728', 'L3729']
u49	u55	m3	['L3749', 'L3750']
u49	u55	m3	['L3756', 'L3757']
u49	u55	m3	['L3770', 'L3771']
u49	u55	m3	['L3777', 'L3778']
u50	u60	m3	['L3942', 'L3943', 'L3944', 'L3945']
u50	u60	m3	['L3963', 'L3964', 'L3965', 'L3966', 'L3967', 'L3968', 'L3969']
u50	u60	m3	['L3972', 'L3973', 'L3974', 'L3975', 'L3976']
u50	u60	m3	['L3979', 'L3980', 'L3981', 'L3982', 'L3983', 'L3984']
u50	u60	m3	['L3987', 'L3988', 'L3989', 'L3990', 'L3991', 'L3992']
u50	u60	m3	['L3995', 'L3996', 'L3997', 'L3998', 'L3999', 'L4000', 'L4001']
u50	u60	m3	['L4011', 'L4012', 'L4013', 'L4014', 'L4015', 'L4016', 'L4017']
u50	u60	m3	['L4159', 'L4160', 'L4161', 'L4162', 'L4163']
u50	u60	m3	['L4188', 'L4189', 'L4190', 'L4191', 'L4192', 'L4193']
u50	u60	m3	['L4196', 'L4197', 'L4198', 'L4199']
u50	u60	m3	['L4208', 'L4209']
u50	u60	m3	['L4282', 'L4283']
u50	u60	m3	['L4296', 'L4297', 'L4298', 'L4299', 'L4300']
u50	u56	m3	['L4006', 'L4007']
u50	u56	m3	['L4068', 'L4069', 'L4070']
u50	u56	m3	['L4079', 'L4080']
u50	u56	m3	['L4219', 'L4220', 'L4221', 'L4222', 'L4223', 'L4224']
u50	u56	m3	['L4227', 'L4228', 'L4229', 'L4230']
u50	u56	m3	['L4265', 'L4266', 'L4267', 'L4268', 'L4269', 'L4270', 'L4271']
u50	u56	m3	['L4333', 'L4334', 'L4335']
u50	u56	m3	['L4346', 'L4347', 'L4348', 'L4349', 'L4350']
u50	u56	m3	['L4353', 'L4354', 'L4355', 'L4356', 'L4357']
u50	u56	m3	['L4360', 'L4361', 'L4362', 'L4363']
u50	u56	m3	['L4366', 'L4367', 'L4368']
u50	u51	m3	['L3970', 'L3971']
u50	u51	m3	['L3977', 'L3978']
u50	u51	m3	['L3993', 'L3994']
u50	u51	m3	['L4002', 'L4003']
u50	u51	m3	['L4009', 'L4010']
u50	u51	m3	['L4018', 'L4019']
u52	u55	m3	['L3668', 'L3669']
u52	u55	m3	['L3672', 'L3673', 'L3674', 'L3675', 'L3676', 'L3677']
u52	u55	m3	['L3679', 'L3680', 'L3681', 'L3682', 'L3683', 'L3684', 'L3685']
u52	u55	m3	['L3688', 'L3689', 'L3690', 'L3691', 'L3692', 'L3693']
u53	u59	m3	['L3797', 'L3798', 'L3799']
u53	u59	m3	['L3805', 'L3806', 'L3807', 'L3808', 'L3809', 'L3810']
u54	u55	m3	['L3730', 'L3731', 'L3732', 'L3733', 'L3734', 'L3735']
u54	u55	m3	['L3758', 'L3759']
u54	u55	m3	['L3774', 'L3775', 'L3776']
u54	u55	m3	['L3779', 'L3780']
u55	u58	m3	['L3622', 'L3623']
u55	u58	m3	['L3626', 'L3627', 'L3628', 'L3629', 'L3630', 'L3631']
u55	u58	m3	['L3651', 'L3652', 'L3653']
u55	u61	m3	['L3724', 'L3725', 'L3726']
u55	u61	m3	['L3738', 'L3739', 'L3740']
u55	u61	m3	['L3745', 'L3746', 'L3747', 'L3748']
u55	u61	m3	['L3751', 'L3752', 'L3753', 'L3754']
u55	u61	m3	['L3760', 'L3761', 'L3762', 'L3763']
u55	u61	m3	['L3766', 'L3767', 'L3768']
u55	u61	m3	['L3772', 'L3773']
u55	u57	m3	['L3868', 'L3869']
u55	u57	m3	['L3889', 'L3890', 'L3891', 'L3892', 'L3893']
u55	u57	m3	['L3896', 'L3897']
u55	u57	m3	['L3904', 'L3905', 'L3906', 'L3907']
u55	u59	m3	['L3817', 'L3818', 'L3819', 'L3820', 'L3821']
u55	u59	m3	['L3824', 'L3825', 'L3826', 'L3827', 'L3828', 'L3829']
u55	u59	m3	['L3832', 'L3833', 'L3834']
u55	u59	m3	['L3837', 'L3838', 'L3839']
u56	u60	m3	['L4020', 'L4021', 'L4022', 'L4023', 'L4024', 'L4025']
u56	u60	m3	['L4028', 'L4029', 'L4030', 'L4031', 'L4032', 'L4033']
u56	u60	m3	['L4096', 'L4097']
u56	u60	m3	['L4108', 'L4109', 'L4110', 'L4111', 'L4112', 'L4113']
u56	u60	m3	['L4118', 'L4119']
u56	u60	m3	['L4169', 'L4170']
u56	u60	m3	['L4174', 'L4175']
u56	u60	m3	['L4181', 'L4182', 'L4183']
u78	u85	m5	['L5643', 'L5644', 'L5645']
u78	u85	m5	['L5673', 'L5674']
u78	u85	m5	['L5678', 'L5679', 'L5680']
u78	u85	m5	['L5692', 'L5693']
u78	u85	m5	['L5875', 'L5876']
u78	u85	m5	['L5889', 'L5890']
u78	u99	m5	['L5710', 'L5711']
u78	u99	m5	['L5737', 'L5738', 'L5739', 'L5740', 'L5741', 'L5742', 'L5743', 'L5744', 'L5745']
u78	u99	m5	['L5746', 'L5747', 'L5748']
u78	u99	m5	['L5751', 'L5752']
u78	u99	m5	['L5754', 'L5755', 'L5756']
u78	u99	m5	['L5760', 'L5761']
u78	u84	m5	['L5613', 'L5614']
u78	u84	m5	['L5615', 'L5616', 'L5617']
u78	u84	m5	['L5620', 'L5621', 'L5622']
u78	u84	m5	['L5624', 'L5625', 'L5626', 'L5627', 'L5628']
u78	u84	m5	['L5648', 'L5649', 'L5650', 'L5651']
u78	u84	m5	['L5652', 'L5653', 'L5654', 'L5655']
u78	u84	m5	['L5656', 'L5657', 'L5658']
u78	u84	m5	['L5826', 'L5827', 'L5828', 'L5829', 'L5830', 'L5831', 'L5832', 'L5833']
u78	u84	m5	['L5839', 'L5840']
u78	u84	m5	['L6168', 'L6169', 'L6170', 'L6171', 'L6172']
u78	u84	m5	['L6258', 'L6259']
u78	u84	m5	['L6263', 'L6264', 'L6265', 'L6266']
u78	u91	m5	['L5463', 'L5464']
u78	u91	m5	['L5468', 'L5469', 'L5470']
u78	u91	m5	['L5508', 'L5509', 'L5510']
u78	u91	m5	['L5511', 'L5512']
u78	u91	m5	['L5515', 'L5516']
u78	u91	m5	['L5521', 'L5522']
u78	u91	m5	['L5556', 'L5557']
u78	u79	m5	['L5630', 'L5631', 'L5632']
u78	u79	m5	['L5636', 'L5637']
u78	u79	m5	['L5646', 'L5647']
u78	u79	m5	['L5671', 'L5672']
u78	u79	m5	['L5675', 'L5676']
u78	u79	m5	['L5686', 'L5687']
u78	u79	m5	['L5688', 'L5689']
u78	u79	m5	['L5730', 'L5731']
u78	u79	m5	['L5911', 'L5912', 'L5913']
u78	u79	m5	['L6251', 'L6252']
u80	u84	m5	['L6105', 'L6106', 'L6107']
u80	u84	m5	['L6108', 'L6109', 'L6110']
u80	u84	m5	['L6114', 'L6115', 'L6116', 'L6117', 'L6118', 'L6119', 'L6120']
u80	u84	m5	['L6123', 'L6124']
u81	u84	m5	['L5488', 'L5489']
u81	u84	m5	['L5490', 'L5491', 'L5492']
u81	u84	m5	['L5493', 'L5494', 'L5495', 'L5496']
u81	u84	m5	['L5497', 'L5498', 'L5499']
u81	u84	m5	['L5501', 'L5502', 'L5503', 'L5504', 'L5505', 'L5506']
u81	u84	m5	['L5664', 'L5665', 'L5666', 'L5667', 'L5668']
u81	u84	m5	['L5669', 'L5670']
u82	u84	m5	['L5596', 'L5597']
u82	u84	m5	['L5605', 'L5606']
u82	u84	m5	['L5609', 'L5610']
u82	u84	m5	['L5611', 'L5612']
u82	u84	m5	['L5633', 'L5634']
u82	u84	m5	['L5638', 'L5639', 'L5640', 'L5641']
u83	u92	m5	['L5420', 'L5421']
u83	u92	m5	['L5422', 'L5423', 'L5424', 'L5425']
u83	u92	m5	['L5426', 'L5427']
u84	u88	m5	['L5777', 'L5778', 'L5779', 'L5780']
u84	u88	m5	['L5782', 'L5783']
u84	u88	m5	['L5785', 'L5786']
u84	u88	m5	['L5787', 'L5788', 'L5789']
u84	u88	m5	['L5790', 'L5791', 'L5792']
u84	u88	m5	['L5880', 'L5881', 'L5882']
u84	u88	m5	['L6029', 'L6030', 'L6031', 'L6032']
u84	u98	m5	['L5543', 'L5544']
u84	u98	m5	['L5545', 'L5546', 'L5547', 'L5548']
u84	u98	m5	['L5834', 'L5835']
u84	u98	m5	['L6208', 'L6209']
u84	u98	m5	['L6211', 'L6212']
u84	u86	m5	['L5922', 'L5923']
u84	u86	m5	['L5924', 'L5925']
u84	u86	m5	['L5933', 'L5934']
u84	u86	m5	['L6020', 'L6021', 'L6022', 'L6023', 'L6024', 'L6025', 'L6026']
u84	u86	m5	['L6132', 'L6133']
u84	u86	m5	['L6156', 'L6157', 'L6158']
u84	u86	m5	['L6183', 'L6184']
u84	u86	m5	['L6190', 'L6191']
u84	u86	m5	['L6206', 'L6207']
u84	u86	m5	['L6213', 'L6214']
u84	u86	m5	['L6215', 'L6216']
u84	u86	m5	['L6278', 'L6279', 'L6280']
u84	u86	m5	['L6282', 'L6283']
u84	u90	m5	['L5794', 'L5795', 'L5796', 'L5797', 'L5798', 'L5799', 'L5800']
u84	u90	m5	['L5801', 'L5802', 'L5803']
u84	u90	m5	['L5804', 'L5805', 'L5806']
u84	u90	m5	['L5809', 'L5810', 'L5811', 'L5812', 'L5813']
u84	u90	m5	['L5815', 'L5816']
u84	u90	m5	['L5817', 'L5818', 'L5819']
u84	u90	m5	['L5820', 'L5821', 'L5822']
u84	u85	m5	['L5824', 'L5825']
u84	u85	m5	['L5858', 'L5859']
u84	u85	m5	['L5869', 'L5870', 'L5871']
u84	u85	m5	['L5900', 'L5901']
u84	u85	m5	['L5943', 'L5944']
u84	u85	m5	['L5946', 'L5947']
u84	u85	m5	['L5949', 'L5950']
u84	u85	m5	['L5954', 'L5955', 'L5956', 'L5957']
u84	u85	m5	['L5958', 'L5959', 'L5960', 'L5961', 'L5962', 'L5963', 'L5964', 'L5965']
u84	u85	m5	['L6051', 'L6052', 'L6053', 'L6054', 'L6055', 'L6056']
u84	u85	m5	['L6057', 'L6058', 'L6059']
u84	u85	m5	['L6062', 'L6063', 'L6064']
u84	u85	m5	['L6066', 'L6067']
u84	u85	m5	['L6237', 'L6238', 'L6239', 'L6240', 'L6241']
u84	u85	m5	['L6267', 'L6268', 'L6269', 'L6270']
u84	u85	m5	['L6289', 'L6290', 'L6291', 'L6292', 'L6293']
u84	u85	m5	['L6297', 'L6298', 'L6299', 'L6300', 'L6301']
u84	u85	m5	['L6302', 'L6303', 'L6304', 'L6305']
u84	u85	m5	['L6308', 'L6309']
u84	u97	m5	['L5722', 'L5723', 'L5724', 'L5725', 'L5726']
u84	u97	m5	['L5728', 'L5729']
u84	u89	m5	['L5531', 'L5532', 'L5533']
u84	u89	m5	['L5534', 'L5535', 'L5536']
u84	u89	m5	['L5537', 'L5538']
u84	u89	m5	['L5539', 'L5540']
u87	u90	m5	['L5560', 'L5561', 'L5562', 'L5563', 'L5564', 'L5565', 'L5566', 'L5567']
u87	u90	m5	['L5568', 'L5569', 'L5570']
u87	u90	m5	['L5573', 'L5574']
u87	u90	m5	['L5585', 'L5586']
u87	u90	m5	['L6313', 'L6314']
u90	u91	m5	['L5767', 'L5768', 'L5769', 'L5770']
u90	u91	m5	['L5773', 'L5774']
u90	u91	m5	['L6254', 'L6255']
u91	u96	m5	['L5441', 'L5442']
u91	u96	m5	['L5443', 'L5444', 'L5445', 'L5446', 'L5447']
u91	u96	m5	['L5448', 'L5449', 'L5450', 'L5451', 'L5452', 'L5453']
u91	u96	m5	['L5479', 'L5480']
u92	u93	m5	['L5396', 'L5397', 'L5398']
u92	u93	m5	['L5399', 'L5400']
u92	u93	m5	['L5404', 'L5405']
u92	u93	m5	['L5406', 'L5407']
u94	u99	m5	['L6219', 'L6220', 'L6221', 'L6222', 'L6223', 'L6224', 'L6225']
u95	u99	m5	['L6002', 'L6003']
u95	u99	m5	['L6004', 'L6005']
u95	u99	m5	['L6006', 'L6007', 'L6008', 'L6009']
u95	u99	m5	['L6011', 'L6012']
u131	u135	m9	['L55383', 'L55384', 'L55385', 'L55386', 'L55387']
u131	u135	m9	['L55389', 'L55390']
u131	u135	m9	['L55443', 'L55444', 'L55445', 'L55446']
u131	u135	m9	['L55447', 'L55448']
u131	u135	m9	['L55449', 'L55450']
u131	u135	m9	['L55451', 'L55452', 'L55453', 'L55454', 'L55455', 'L55456', 'L55457', 'L55458']
u131	u135	m9	['L55537', 'L55538']
u131	u135	m9	['L55665', 'L55666']
u131	u135	m9	['L55667', 'L55668']
u131	u135	m9	['L55850', 'L55851', 'L55852']
u131	u135	m9	['L55853', 'L55854', 'L55855', 'L55856', 'L55857']
u132	u135	m9	['L55321', 'L55322', 'L55323']
u132	u135	m9	['L55350', 'L55351', 'L55352', 'L55353', 'L55354', 'L55355']
u132	u135	m9	['L55424', 'L55425', 'L55426']
u132	u135	m9	['L55428', 'L55429', 'L55430', 'L55431', 'L55432', 'L55433']
u132	u135	m9	['L55434', 'L55435', 'L55436']
u132	u135	m9	['L55570', 'L55571']
u132	u135	m9	['L55643', 'L55644']
u132	u135	m9	['L55660', 'L55661', 'L55662']
u132	u135	m9	['L55688', 'L55689']
u132	u135	m9	['L55696', 'L55697', 'L55698', 'L55699']
u132	u135	m9	['L55726', 'L55727']
u132	u135	m9	['L55728', 'L55729']
u132	u135	m9	['L55732', 'L55733']
u132	u135	m9	['L55734', 'L55735']
u132	u135	m9	['L55748', 'L55749']
u132	u135	m9	['L55756', 'L55757', 'L55758', 'L55759']
u132	u135	m9	['L55761', 'L55762']
u132	u135	m9	['L55769', 'L55770']
u132	u135	m9	['L55791', 'L55792']
u132	u138	m9	['L55379', 'L55380']
u132	u138	m9	['L55468', 'L55469', 'L55470', 'L55471']
u132	u138	m9	['L55521', 'L55522']
u132	u138	m9	['L55621', 'L55622']
u132	u138	m9	['L55626', 'L55627']
u132	u138	m9	['L55670', 'L55671', 'L55672', 'L55673', 'L55674']
u133	u138	m9	['L55544', 'L55545', 'L55546']
u133	u138	m9	['L55709', 'L55710', 'L55711', 'L55712', 'L55713', 'L55714']
u134	u138	m9	['L55703', 'L55704', 'L55705']
u134	u138	m9	['L55740', 'L55741']
u134	u138	m9	['L55824', 'L55825', 'L55826', 'L55827']
u134	u137	m9	['L55465', 'L55466', 'L55467']
u134	u137	m9	['L55494', 'L55495', 'L55496']
u134	u137	m9	['L55557', 'L55558', 'L55559']
u134	u137	m9	['L55563', 'L55564']
u134	u137	m9	['L55716', 'L55717']
u134	u137	m9	['L55742', 'L55743', 'L55744']
u134	u137	m9	['L55832', 'L55833']
u135	u138	m9	['L55359', 'L55360', 'L55361']
u135	u138	m9	['L55373', 'L55374', 'L55375']
u135	u138	m9	['L55376', 'L55377', 'L55378']
u135	u138	m9	['L55417', 'L55418']
u135	u138	m9	['L55513', 'L55514']
u135	u138	m9	['L55596', 'L55597']
u135	u138	m9	['L55614', 'L55615']
u135	u138	m9	['L55628', 'L55629', 'L55630', 'L55631']
u135	u138	m9	['L55645', 'L55646', 'L55647']
u135	u138	m9	['L55652', 'L55653', 'L55654']
u135	u138	m9	['L55822', 'L55823']
u135	u138	m9	['L55837', 'L55838']
u135	u136	m9	['L55764', 'L55765']
u135	u136	m9	['L55775', 'L55776', 'L55777']
u135	u136	m9	['L55784', 'L55785']
u135	u136	m9	['L55787', 'L55788']
u135	u136	m9	['L55789', 'L55790']
u135	u136	m9	['L55796', 'L55797', 'L55798', 'L55799']
u135	u136	m9	['L55803', 'L55804', 'L55805']
u135	u136	m9	['L55806', 'L55807', 'L55808']
u137	u138	m9	['L55366', 'L55367']
u137	u138	m9	['L55481', 'L55482']
u137	u138	m9	['L55518', 'L55519']
u137	u138	m9	['L55531', 'L55532']
u137	u138	m9	['L55548', 'L55549']
u137	u138	m9	['L55554', 'L55555']
u137	u138	m9	['L55718', 'L55719']
u137	u138	m9	['L55828', 'L55829']
u178	u184	m12	['L18372', 'L18373']
u178	u184	m12	['L18374', 'L18375']
u178	u184	m12	['L18379', 'L18380']
u178	u184	m12	['L18381', 'L18382']
u178	u184	m12	['L18584', 'L18585', 'L18586', 'L18587', 'L18588']
