chId	chId2	mId	lines
u2126	u2127	m138	['L391750', 'L391751', 'L391752', 'L391753', 'L391754']
u2126	u2127	m138	['L391780', 'L391781', 'L391782', 'L391783', 'L391784']
u2126	u2127	m138	['L391785', 'L391786', 'L391787', 'L391788', 'L391789']
u2126	u2127	m138	['L391790', 'L391791', 'L391792', 'L391793']
u2127	u2130	m138	['L391703', 'L391704', 'L391705']
u2127	u2130	m138	['L391706', 'L391707']
u2127	u2130	m138	['L391709', 'L391710', 'L391711', 'L391712', 'L391713', 'L391714']
u2127	u2130	m138	['L391720', 'L391721', 'L391722', 'L391723', 'L391724', 'L391725', 'L391726', 'L391727', 'L391728', 'L391729', 'L391730', 'L391731', 'L391732', 'L391733', 'L391734', 'L391735', 'L391736', 'L391737']
u2127	u2130	m138	['L391820', 'L391821']
u2127	u2130	m138	['L391825', 'L391826']
u2127	u2130	m138	['L391831', 'L391832', 'L391833', 'L391834']
u2127	u2130	m138	['L391840', 'L391841', 'L391842', 'L391843', 'L391844', 'L391845', 'L391846', 'L391847']
u2127	u2130	m138	['L391848', 'L391849']
u2127	u2130	m138	['L391850', 'L391851', 'L391852', 'L391853', 'L391854']
u2127	u2130	m138	['L391855', 'L391856', 'L391857', 'L391858']
u2127	u2130	m138	['L391859', 'L391860', 'L391861', 'L391862']
u2127	u2128	m138	['L391760', 'L391761', 'L391762', 'L391763']
u2127	u2128	m138	['L391764', 'L391765']
u2127	u2128	m138	['L391766', 'L391767', 'L391768', 'L391769', 'L391770', 'L391771']
u2127	u2128	m138	['L391772', 'L391773', 'L391774', 'L391775']
u2127	u2128	m138	['L391777', 'L391778']
u2127	u2129	m138	['L391666', 'L391667', 'L391668', 'L391669']
u2127	u2129	m138	['L391671', 'L391672', 'L391673', 'L391674', 'L391675', 'L391676', 'L391677', 'L391678', 'L391679', 'L391680', 'L391681', 'L391682', 'L391683', 'L391684']
u2127	u2129	m138	['L391687', 'L391688', 'L391689']
u2127	u2129	m138	['L391690', 'L391691', 'L391692', 'L391693']
u2767	u2784	m181	['L507911', 'L507912', 'L507913', 'L507914', 'L507915', 'L507916', 'L507917']
u2767	u2784	m181	['L507918', 'L507919']
u2767	u2784	m181	['L507926', 'L507927', 'L507928', 'L507929', 'L507930', 'L507931']
u2768	u2783	m181	['L507762', 'L507763', 'L507764', 'L507765', 'L507766', 'L507767', 'L507768']
u2768	u2783	m181	['L507769', 'L507770', 'L507771', 'L507772', 'L507773', 'L507774', 'L507775']
u2768	u2783	m181	['L507776', 'L507777', 'L507778', 'L507779', 'L507780']
u2768	u2784	m181	['L507048', 'L507049']
u2768	u2784	m181	['L507052', 'L507053']
u2768	u2784	m181	['L507054', 'L507055']
u2768	u2784	m181	['L507056', 'L507057', 'L507058', 'L507059', 'L507060']
u2768	u2784	m181	['L507061', 'L507062', 'L507063', 'L507064', 'L507065', 'L507066', 'L507067', 'L507068', 'L507069', 'L507070', 'L507071', 'L507072', 'L507073', 'L507074', 'L507075']
u2768	u2784	m181	['L507076', 'L507077']
u2768	u2784	m181	['L507079', 'L507080', 'L507081', 'L507082', 'L507083', 'L507084', 'L507085']
u2768	u2784	m181	['L507202', 'L507203', 'L507204', 'L507205']
u2768	u2784	m181	['L507207', 'L507208', 'L507209', 'L507210', 'L507211', 'L507212', 'L507213', 'L507214', 'L507215', 'L507216', 'L507217', 'L507218']
u2768	u2784	m181	['L507346', 'L507347', 'L507348']
u2768	u2784	m181	['L507351', 'L507352', 'L507353', 'L507354', 'L507355', 'L507356']
