chId	chId2	mId	lines
u1412	u1416	m94	['L295064', 'L295065', 'L295066', 'L295067', 'L295068', 'L295069', 'L295070']
u1412	u1416	m94	['L295073', 'L295074']
u1412	u1416	m94	['L295081', 'L295082']
u1412	u1416	m94	['L295286', 'L295287', 'L295288']
u1412	u1416	m94	['L295296', 'L295297', 'L295298']
u1412	u1416	m94	['L295481', 'L295482']
u1412	u1416	m94	['L295488', 'L295489']
u1413	u1420	m94	['L295708', 'L295709', 'L295710', 'L295711', 'L295712', 'L295713', 'L295714']
u1413	u1420	m94	['L295720', 'L295721']
u1413	u1420	m94	['L295731', 'L295732']
u1413	u1420	m94	['L295734', 'L295735']
u1413	u1420	m94	['L295739', 'L295740', 'L295741', 'L295742']
u1413	u1420	m94	['L295760', 'L295761']
u1413	u1420	m94	['L295762', 'L295763', 'L295764', 'L295765', 'L295766', 'L295767', 'L295768', 'L295769', 'L295770', 'L295771', 'L295772']
u1413	u1420	m94	['L295773', 'L295774']
u1413	u1420	m94	['L295775', 'L295776', 'L295777']
u1413	u1420	m94	['L295789', 'L295790']
u1413	u1420	m94	['L295905', 'L295906']
u1413	u1420	m94	['L295907', 'L295908', 'L295909', 'L295910', 'L295911']
u1413	u1418	m94	['L295804', 'L295805']
u1413	u1418	m94	['L295812', 'L295813']
u1413	u1418	m94	['L295829', 'L295830']
u1413	u1418	m94	['L295833', 'L295834']
u1413	u1418	m94	['L295846', 'L295847', 'L295848', 'L295849', 'L295850']
u1413	u1418	m94	['L295853', 'L295854']
u1413	u1418	m94	['L295860', 'L295861']
u1413	u1418	m94	['L295885', 'L295886', 'L295887', 'L295888']
u1413	u1416	m94	['L295211', 'L295212', 'L295213']
u1413	u1416	m94	['L295229', 'L295230']
u1413	u1416	m94	['L295491', 'L295492']
u1413	u1416	m94	['L295497', 'L295498', 'L295499']
u1413	u1416	m94	['L295500', 'L295501']
u1413	u1416	m94	['L295502', 'L295503', 'L295504', 'L295505', 'L295506', 'L295507', 'L295508', 'L295509', 'L295510', 'L295511', 'L295512', 'L295513', 'L295514', 'L295515', 'L295516', 'L295517', 'L295518', 'L295519', 'L295520', 'L295521', 'L295522', 'L295523']
u1413	u1416	m94	['L295524', 'L295525', 'L295526', 'L295527', 'L295528', 'L295529']
u1413	u1416	m94	['L295530', 'L295531', 'L295532', 'L295533', 'L295534', 'L295535', 'L295536', 'L295537', 'L295538', 'L295539', 'L295540', 'L295541', 'L295542', 'L295543', 'L295544', 'L295545', 'L295546', 'L295547', 'L295548', 'L295549', 'L295550', 'L295551', 'L295552', 'L295553', 'L295554', 'L295555', 'L295556', 'L295557']
u1413	u1416	m94	['L295558', 'L295559', 'L295560', 'L295561', 'L295562']
u1413	u1416	m94	['L295639', 'L295640', 'L295641', 'L295642', 'L295643', 'L295644', 'L295645', 'L295646', 'L295647', 'L295648', 'L295649', 'L295650', 'L295651', 'L295652', 'L295653', 'L295654', 'L295655', 'L295656', 'L295657', 'L295658', 'L295659', 'L295660', 'L295661']
u1413	u1416	m94	['L295704', 'L295705']
u1413	u1416	m94	['L295715', 'L295716', 'L295717', 'L295718', 'L295719']
u1413	u1416	m94	['L295722', 'L295723', 'L295724', 'L295725']
u1413	u1416	m94	['L295726', 'L295727']
u1413	u1416	m94	['L295728', 'L295729', 'L295730']
u1413	u1416	m94	['L295736', 'L295737', 'L295738']
u1413	u1416	m94	['L295752', 'L295753']
u1413	u1416	m94	['L295784', 'L295785', 'L295786']
u1413	u1416	m94	['L295787', 'L295788']
u1413	u1416	m94	['L295799', 'L295800']
u1413	u1416	m94	['L295818', 'L295819']
u1413	u1416	m94	['L295826', 'L295827', 'L295828']
u1413	u1416	m94	['L295831', 'L295832']
u1413	u1416	m94	['L295837', 'L295838', 'L295839', 'L295840', 'L295841', 'L295842', 'L295843']
u1413	u1416	m94	['L295851', 'L295852']
u1413	u1416	m94	['L295856', 'L295857', 'L295858', 'L295859']
u1413	u1416	m94	['L295862', 'L295863']
u1413	u1416	m94	['L295864', 'L295865', 'L295866']
u1413	u1416	m94	['L295873', 'L295874', 'L295875']
u1413	u1416	m94	['L295898', 'L295899', 'L295900', 'L295901', 'L295902', 'L295903']
u1413	u1416	m94	['L295944', 'L295945', 'L295946', 'L295947', 'L295948', 'L295949', 'L295950']
u1413	u1416	m94	['L295952', 'L295953', 'L295954', 'L295955', 'L295956', 'L295957', 'L295958', 'L295959', 'L295960', 'L295961', 'L295962']
