chId	chId2	mId	lines
u454	u473	m28	['L64601', 'L64602', 'L64603', 'L64604', 'L64605', 'L64606']
u455	u463	m28	['L64523', 'L64524']
u455	u463	m28	['L64528', 'L64529', 'L64530']
u455	u463	m28	['L64573', 'L64574', 'L64575']
u455	u466	m28	['L64496', 'L64497', 'L64498', 'L64499', 'L64500', 'L64501']
u456	u473	m28	['L64723', 'L64724', 'L64725', 'L64726']
u456	u473	m28	['L64728', 'L64729', 'L64730']
u456	u473	m28	['L64731', 'L64732', 'L64733']
u456	u473	m28	['L64736', 'L64737']
u456	u473	m28	['L64738', 'L64739', 'L64740', 'L64741', 'L64742']
u456	u473	m28	['L64759', 'L64760']
u456	u473	m28	['L64761', 'L64762', 'L64763', 'L64764']
u456	u473	m28	['L64767', 'L64768', 'L64769']
u456	u473	m28	['L64807', 'L64808']
u456	u473	m28	['L64822', 'L64823']
u456	u473	m28	['L64826', 'L64827', 'L64828']
u457	u473	m28	['L64505', 'L64506']
u457	u473	m28	['L64509', 'L64510']
u457	u473	m28	['L64534', 'L64535', 'L64536', 'L64537', 'L64538', 'L64539', 'L64540']
u457	u473	m28	['L64549', 'L64550', 'L64551', 'L64552']
u457	u473	m28	['L64554', 'L64555', 'L64556', 'L64557']
u457	u473	m28	['L64558', 'L64559', 'L64560', 'L64561', 'L64562', 'L64563']
u457	u473	m28	['L64571', 'L64572']
u457	u473	m28	['L64680', 'L64681', 'L64682', 'L64683']
u457	u473	m28	['L64684', 'L64685', 'L64686', 'L64687', 'L64688', 'L64689', 'L64690', 'L64691', 'L64692']
u458	u473	m28	['L64633', 'L64634', 'L64635', 'L64636', 'L64637', 'L64638', 'L64639']
u458	u473	m28	['L64657', 'L64658', 'L64659', 'L64660', 'L64661']
u459	u471	m28	['L64797', 'L64798', 'L64799', 'L64800', 'L64801', 'L64802', 'L64803']
u459	u472	m28	['L64830', 'L64831']
u459	u472	m28	['L64832', 'L64833', 'L64834', 'L64835', 'L64836', 'L64837', 'L64838', 'L64839']
u459	u472	m28	['L64842', 'L64843']
u459	u473	m28	['L64772', 'L64773']
u459	u473	m28	['L64774', 'L64775', 'L64776', 'L64777', 'L64778', 'L64779', 'L64780', 'L64781']
u459	u473	m28	['L64787', 'L64788']
u459	u473	m28	['L64790', 'L64791', 'L64792']
u459	u473	m28	['L64813', 'L64814', 'L64815', 'L64816', 'L64817', 'L64818', 'L64819']
u459	u473	m28	['L64844', 'L64845']
u459	u473	m28	['L64873', 'L64874']
u459	u473	m28	['L64908', 'L64909', 'L64910', 'L64911', 'L64912']
u460	u473	m28	['L64893', 'L64894', 'L64895', 'L64896', 'L64897', 'L64898', 'L64899', 'L64900', 'L64901']
u461	u473	m28	['L64941', 'L64942', 'L64943', 'L64944', 'L64945', 'L64946', 'L64947', 'L64948', 'L64949', 'L64950', 'L64951', 'L64952', 'L64953', 'L64954', 'L64955', 'L64956', 'L64957', 'L64958', 'L64959', 'L64960', 'L64961', 'L64962']
u461	u473	m28	['L64963', 'L64964', 'L64965', 'L64966', 'L64967', 'L64968', 'L64969']
u461	u473	m28	['L64970', 'L64971']
u461	u473	m28	['L64972', 'L64973', 'L64974', 'L64975', 'L64976', 'L64977']
u461	u473	m28	['L64978', 'L64979', 'L64980', 'L64981', 'L64982', 'L64983', 'L64984']
u461	u473	m28	['L64985', 'L64986']
u461	u473	m28	['L64989', 'L64990', 'L64991', 'L64992']
u461	u473	m28	['L65163', 'L65164']
u461	u473	m28	['L65193', 'L65194']
u462	u473	m28	['L64444', 'L64445', 'L64446']
u462	u473	m28	['L64449', 'L64450']
u462	u473	m28	['L64451', 'L64452']
u462	u473	m28	['L64460', 'L64461', 'L64462', 'L64463', 'L64464', 'L64465', 'L64466', 'L64467']
u462	u473	m28	['L64468', 'L64469', 'L64470', 'L64471', 'L64472']
u462	u473	m28	['L64493', 'L64494']
u464	u473	m28	['L65070', 'L65071', 'L65072', 'L65073', 'L65074', 'L65075']
u464	u473	m28	['L65078', 'L65079']
u465	u473	m28	['L65045', 'L65046', 'L65047', 'L65048']
u465	u473	m28	['L65101', 'L65102', 'L65103']
u467	u473	m28	['L64770', 'L64771']
u467	u473	m28	['L64804', 'L64805', 'L64806']
u467	u473	m28	['L64809', 'L64810']
u467	u473	m28	['L64820', 'L64821']
u467	u473	m28	['L64824', 'L64825']
u468	u473	m28	['L64613', 'L64614']
u468	u473	m28	['L64617', 'L64618']
u468	u473	m28	['L64622', 'L64623', 'L64624', 'L64625']
u468	u473	m28	['L64626', 'L64627']
u468	u473	m28	['L64628', 'L64629']
u469	u473	m28	['L65169', 'L65170', 'L65171', 'L65172', 'L65173', 'L65174', 'L65175', 'L65176', 'L65177', 'L65178', 'L65179']
u470	u473	m28	['L65117', 'L65118', 'L65119', 'L65120']
u470	u473	m28	['L65122', 'L65123', 'L65124', 'L65125', 'L65126', 'L65127']
u470	u473	m28	['L65132', 'L65133']
u470	u473	m28	['L65143', 'L65144', 'L65145', 'L65146']
u473	u474	m28	['L64929', 'L64930']
u473	u474	m28	['L64932', 'L64933', 'L64934', 'L64935', 'L64936']
u473	u474	m28	['L64993', 'L64994', 'L64995', 'L64996', 'L64997']
u473	u474	m28	['L64998', 'L64999', 'L65000']
u473	u474	m28	['L65001', 'L65002', 'L65003', 'L65004', 'L65005', 'L65006']
u473	u475	m28	['L64877', 'L64878', 'L64879', 'L64880', 'L64881', 'L64882', 'L64883', 'L64884', 'L64885', 'L64886', 'L64887', 'L64888']
u628	u632	m40	['L109838', 'L109839', 'L109840', 'L109841', 'L109842', 'L109843']
