chId	chId2	mId	lines
u306	u309	m19	['L35642', 'L35643']
u306	u309	m19	['L35691', 'L35692']
u306	u309	m19	['L35842', 'L35843']
u306	u309	m19	['L36302', 'L36303', 'L36304']
u306	u308	m19	['L35589', 'L35590']
u306	u308	m19	['L35621', 'L35622']
u306	u308	m19	['L35662', 'L35663']
u306	u308	m19	['L35746', 'L35747']
u306	u308	m19	['L35919', 'L35920']
u306	u308	m19	['L35964', 'L35965', 'L35966']
u306	u308	m19	['L36033', 'L36034']
u306	u308	m19	['L36042', 'L36043']
u306	u308	m19	['L36130', 'L36131', 'L36132']
u306	u308	m19	['L36176', 'L36177']
u306	u308	m19	['L36291', 'L36292']
u306	u308	m19	['L36394', 'L36395', 'L36396', 'L36397', 'L36398', 'L36399']
u306	u308	m19	['L36417', 'L36418', 'L36419', 'L36420']
u306	u308	m19	['L36421', 'L36422', 'L36423', 'L36424']
u306	u308	m19	['L36426', 'L36427']
u306	u308	m19	['L36519', 'L36520', 'L36521']
u306	u312	m19	['L35618', 'L35619']
u306	u312	m19	['L35655', 'L35656']
u306	u312	m19	['L35666', 'L35667', 'L35668']
u306	u312	m19	['L35680', 'L35681']
u306	u312	m19	['L35689', 'L35690']
u306	u312	m19	['L35828', 'L35829', 'L35830']
u306	u312	m19	['L35833', 'L35834', 'L35835', 'L35836']
u306	u313	m19	['L35658', 'L35659']
u306	u313	m19	['L35831', 'L35832']
u306	u313	m19	['L35923', 'L35924']
u306	u313	m19	['L35972', 'L35973']
u306	u313	m19	['L36035', 'L36036', 'L36037']
u306	u313	m19	['L36066', 'L36067', 'L36068']
u306	u313	m19	['L36170', 'L36171']
u306	u313	m19	['L36172', 'L36173']
u306	u313	m19	['L36178', 'L36179']
u306	u313	m19	['L36269', 'L36270', 'L36271', 'L36272', 'L36273', 'L36274', 'L36275', 'L36276']
u307	u313	m19	['L36479', 'L36480']
u307	u313	m19	['L36481', 'L36482', 'L36483', 'L36484']
u307	u313	m19	['L36485', 'L36486']
u308	u313	m19	['L35614', 'L35615']
u308	u313	m19	['L35644', 'L35645', 'L35646']
u308	u313	m19	['L35652', 'L35653']
u308	u313	m19	['L35664', 'L35665']
u308	u313	m19	['L35676', 'L35677', 'L35678']
