lineId	chId	mId	chName	dialogue
L2181	u12	m1	ALONSO	Can't be that far, I say.  Also, I don't like the smell of the sea around here.  Smells like a cunt. Bad sign...
L2180	u23	m1	SAILOR	We left three weeks ago, Alonso. Can't be that near.
L2179	u12	m1	ALONSO	We should have seen land.
L2177	u23	m1	SAILOR	We'll all go crazy...
L2176	u12	m1	ALONSO	He's the devil's child...
L2175	u12	m1	ALONSO	With a face like that?  I don't want you looking at me.  You hear?
L2174	u23	m1	SAILOR	Ah, leave him alone.  He's doing no harm.
L2173	u12	m1	ALONSO	What are you listening to, chicken ass?
L2172	u12	m1	ALONSO	You'll be drinking your own piss... For the glory of Spain... and Admiral Colon...!  Bastard!
L2171	u23	m1	SAILOR	The water's going putrid in the barrels.
L2170	u12	m1	ALONSO	I never seen heat like this!  Not even in Las Minas!
L2025	u13	m1	AROJAZ	IF-GOD-WILLS-IT!
L2024	u16	m1	COLUMBUS	Asia can be found to the west -- and I will prove it.
L2023	u16	m1	COLUMBUS	Blind faith is what I consider heresy!
L2022	u13	m1	AROJAZ	Don't you realize your words could be considered heretical?
L2020	u16	m1	COLUMBUS	Did He not choose a carpenter's son to reveal Himself to the world?
L2019	u13	m1	AROJAZ	If God intended our proximity to Asia, do you believe he would have waited for you to show it to the world?
L2016	u16	m1	COLUMBUS	No.  The Portuguese have already discovered black-skinned people.  I, too, will find other populations -- and bring them to the word of God.
L2015	u13	m1	AROJAZ	Is that all that interests you? Gold?
L2014	u16	m1	COLUMBUS	Trade, Your Excellency.  According to Marco Polo, the Kingdom of China is one of the richest of the world. Even the meanest buildings are roofed with gold.
L2012	u16	m1	COLUMBUS	If they agree to follow me, yes.
L2011	u13	m1	AROJAZ	Your life, and that of others!
L2010	u16	m1	COLUMBUS	Your Eminence, there is only one way to settle the matter.  And that is to make the journey.  I am ready to risk my life to prove it possible.
L2006	u16	m1	COLUMBUS	Excellency, you are right.
L2005	u13	m1	AROJAZ	Senor Colon, an experienced captain such as yourself will understand our concern with the crew.  I am not willing to have on my conscience the loss of men who would have relied upon our judgment.
L1993	u13	m1	AROJAZ	Then you cannot ignore that according to their calculations, the circumference of the Earth is approximately...  22,000 leagues or more.  Which makes the ocean... uncrossable.
L1992	u16	m1	COLUMBUS	I am, Your Eminence
L1991	u13	m1	AROJAZ	Unfortunately, Don Colon, that is precisely where our opinions differ...  Are you familiar with the work of Aristotle?  Erathostene?  Ptolemeus?
L1990	u16	m1	COLUMBUS	Yes, your Eminence.  The voyage should not take more than six or seven weeks.
L1989	u13	m1	AROJAZ	You say Asia can be found by sailing west?
L2524	u24	m1	SANCHEZ	A waste...?  Let me tell you something, Arojaz.  If your name, or mine, is ever remembered -- it will only be because of his.
L2523	u13	m1	AROJAZ	What a tragedy... what a waste of a life...
L2522	u24	m1	SANCHEZ	You can see for yourself.
L2275	u24	m1	SANCHEZ	On the contrary, Your Eminence.  It seems to me the man is preparing his own cross.
L2274	u13	m1	AROJAZ	It won't be easy to get rid of your prophet now, Don Sanchez.
L2031	u24	m1	SANCHEZ	Indeed.  The world is full of mercenaries -- and states often make use of them, when it benefits them.  My only concern is the welfare and prosperity of Spain.
L2030	u13	m1	AROJAZ	He is a mercenary!  Did he not already try to convince the King of Portugal of his absurd notions?
L2029	u24	m1	SANCHEZ	Naturally.  But I would really deplore the loss of such a potential opportunity for Spain for a... dispute over a point of geography.
L2028	u13	m1	AROJAZ	The Judgment is ours!
L2027	u24	m1	SANCHEZ	The State has some reason to be interested in this man's proposition, Your Eminence...
L2540	u16	m1	COLUMBUS	I can't keep my eyes off you.  I would like to catch up with all the moments I didn't spend with you.
L2539	u14	m1	BEATRIX	What is it, now?  Tell me...
L2538	u14	m1	BEATRIX	I am busy inside.
L2537	u16	m1	COLUMBUS	Can't you stay with us a little?
L2474	u16	m1	COLUMBUS	Not everything... Do you think I care?  I'm a free man again.  Riches don't make a man rich, they only make him busier...
L2473	u14	m1	BEATRIX	They took everything...
L2472	u14	m1	BEATRIX	They tried... but I didn't let them.
L2471	u16	m1	COLUMBUS	God... you're so beautiful!  I can't believe no other man has ever taken you away from me...
L2320	u16	m1	COLUMBUS	I can arrange for the Queen to take Fernando and Diego into her service.
L2319	u14	m1	BEATRIX	You don't usually ask.
L2318	u16	m1	COLUMBUS	Beatrix, I want to ask you something.
L2123	u14	m1	BEATRIX	That's something you can't decide.
L2122	u16	m1	COLUMBUS	I don't want you to wait for me.
L2121	u14	m1	BEATRIX	I'm not asking you to swear to anything.
L2119	u14	m1	BEATRIX	Thank God...
L2118	u16	m1	COLUMBUS	She said yes.
L1986	u14	m1	BEATRIX	I find that hard to believe.
L1985	u16	m1	COLUMBUS	Perhaps I was never meant to live with a woman...
L1984	u14	m1	BEATRIX	I'd love to argue with you sometimes.  But you're never here!
L1983	u16	m1	COLUMBUS	Are we going to argue?
L1982	u14	m1	BEATRIX	Well... that's true.  I have a child by a man who won't marry me!  Who's always leaving...
L1981	u16	m1	COLUMBUS	I haven't given you much of a life.
L1980	u14	m1	BEATRIX	I know.
L1979	u16	m1	COLUMBUS	I could be gone for years.
L2432	u15	m1	BOBADILLA	I am afraid this is not the worst news.
L2431	u16	m1	COLUMBUS	How could I be?  The mainland has been found.  Exactly as I said it would.
L2430	u15	m1	BOBADILLA	I am not a seaman.  But I heard it is no more than a week at sea.  I hope you are not too disappointed.
L2429	u16	m1	COLUMBUS	How far from here?
L2426	u16	m1	COLUMBUS	Congratulations.  Then I am free to search for the mainland.
L2425	u15	m1	BOBADILLA	Viceroy of the West Indies.
L2424	u16	m1	COLUMBUS	Appointment to what?
L2423	u15	m1	BOBADILLA	My letters of appointment.
L2422	u16	m1	COLUMBUS	Yes... I remember...
L2421	u15	m1	BOBADILLA	Don Alonso de Bobadilla.
L2293	u16	m1	COLUMBUS	Bartolome and Giacomo Colon.
L2292	u15	m1	BOBADILLA	May I ask by whom?
L2291	u16	m1	COLUMBUS	Forgive me, Don Bobadilla -- those positions have already been taken.
L2290	u15	m1	BOBADILLA	I understand that you will soon be appointing Governors for the islands?  Is it not so?
L2552	u17	m1	FERNANDO	Tell me the first thing that comes to your mind.
L2551	u16	m1	COLUMBUS	Really?  God... I wouldn't know where to start... and yet...
L2550	u17	m1	FERNANDO	I want you to tell me everything you remember, Father.  From the beginning.  Everything.
L2549	u16	m1	COLUMBUS	He never had one... except aboard my ships!
L2548	u17	m1	FERNANDO	He asks when he can come to visit you.  He left his address.
L2547	u16	m1	COLUMBUS	What does he say?
L2542	u17	m1	FERNANDO	I am not listening, Father.  But I can't help hearing.
L2541	u16	m1	COLUMBUS	What are you listening to?
L2501	u16	m1	COLUMBUS	There must be a passage to that other ocean.
L2500	u17	m1	FERNANDO	Father...
L2485	u17	m1	FERNANDO	Not bad.
L2484	u16	m1	COLUMBUS	How are you feeling, Fernando?
L2440	u17	m1	FERNANDO	This time with me!
L2439	u16	m1	COLUMBUS	I have to explore the mainland.
L2131	u16	m1	COLUMBUS	Yes... Yes, I do... On all of them!
L2130	u17	m1	FERNANDO	Do you swear on all the Holy Saints in heaven?
