lineId	chId	mId	chName	dialogue
L239796	u1136	m75	BRIDE	What's the matter, dear?
L239795	u1141	m75	GROOM	Uuuuuuugh!!
L239794	u1136	m75	BRIDE	Hey, sweetheart, will you CUT THAT OUT!!!
L239792	u1136	m75	BRIDE	Have I done the right thing?
L239791	u1141	m75	GROOM	To the bathroom, where do you think?
L239790	u1136	m75	BRIDE	Now where are you going?
L239789	u1136	m75	BRIDE	I didn't break your precious clock, Roy!
L239788	u1141	m75	GROOM	Nice going, honey.  It was brand new.
L239787	u1136	m75	BRIDE	Roy?  Your clock broke.
L239785	u1136	m75	BRIDE	Well, thanks a lot.
L239784	u1141	m75	GROOM	I don't know.  It probably would've been the same.
L239783	u1136	m75	BRIDE	Aren't you glad we waited?
L239577	u1152	m75	VENKMAN	"I was just going to say ""eight.""  You're fantastic!"
L239576	u1137	m75	COED	Eight o'clock?
L239575	u1152	m75	VENKMAN	Okay.  Just give me a second here.  I have to leave now but if you've got some time I'd like you to come back this evening and do some more work with me.
L239569	u1152	m75	VENKMAN	Definitely.  I think you may be a very gifted telepath.
L239568	u1137	m75	COED	Do you think I have it, Dr. Venkman?
L239567	u1152	m75	VENKMAN	Well, I guess some people have it and some don't.
L239554	u1152	m75	VENKMAN	Well, you're doing great.  Keep it up.
L239553	u1137	m75	COED	No.  They're just coming to me.
L239552	u1152	m75	VENKMAN	Incredible!  Five for five.  You're not cheating on me here, are you?
L239551	u1137	m75	COED	Ummm -- figure eight?
L239550	u1152	m75	VENKMAN	Ready?  What is it?
L239546	u1152	m75	VENKMAN	It is a star!  That's great.  You're very good.
L239545	u1137	m75	COED	Is it a star?
L240310	u1138	m75	DANA	All right, what happened to me?
L240309	u1144	m75	LOUIS	I'm innocent!  Honest, Dana.  I never touched you.  Not that I remember anyway.
L240308	u1138	m75	DANA	Oh, sure.  I'm getting used to this.
L240220	u1138	m75	DANA	I am Zuul.
L240219	u1144	m75	LOUIS	Are you the Gatekeeper?
L240015	u1144	m75	LOUIS	I got the Twister game for later ...
L240014	u1138	m75	DANA	Fine, Louis.  We'll stop in for a drink.
L240013	u1144	m75	LOUIS	Great!  Bring her, too.  But you better hurry.  I made nachos with non-fat cheese and they're almost gone.  I'll make some more though.
L240012	u1138	m75	DANA	Well, actually Louis I have a friend coming by.
L240011	u1144	m75	LOUIS	Hey, it's crazy in here.  You're missing a classic party.
L240010	u1138	m75	DANA	Hi, Louis.
L240009	u1144	m75	LOUIS	Oh, Dana, it's you.
L239676	u1138	m75	DANA	I thought I turned it off.  I guess I forgot.
L239675	u1144	m75	LOUIS	You know you shouldn't leave your TV on so loud when you go out.  That creep down the hall phoned the manager.
L239674	u1138	m75	DANA	Oh, that's nice, Louis.  I'll stop by if I'm around.
L239673	u1144	m75	LOUIS	Okay.  I'll take a raincheck.  I always have plenty of mineral water and other nutritious health foods, but you know that.  Listen, that reminds me, I'm having a party for all my clients.  It's gonna be my fourth anniversary as an accountant.  I know you fill out your own tax return, but I'd like you to come being that you're my next door neighbor and all ...
L239672	u1138	m75	DANA	No thanks, Louis.  I'm really tired.  I've been rehearsing all morning.
L239671	u1144	m75	LOUIS	"Oh, no, I feel great.  I just ordered some more vitamins.  I see you were exercising. So was I.  I taped ""20 Minute Workout"" and played it back at high speed so it only took ten minutes and I got a really good workout. You wanna have a mineral water with me?"
L239670	u1138	m75	DANA	Are you sick, Louis?
L239669	u1144	m75	LOUIS	... I thought it was the drug store.
L239668	u1138	m75	DANA	Hi, Louis.
L239667	u1144	m75	LOUIS	Oh, Dana, it's you ...
L240316	u1138	m75	DANA	Talk to my accountant. 
L240315	u1152	m75	VENKMAN	This is going to cost you, you know.  Our fees are ridiculously high.
L240314	u1138	m75	DANA	Thank you.  Next time I want to break a lease I'll know who to call.
L240313	u1152	m75	VENKMAN	Yeah, along with most of your furniture and a lot of your personal possessions.  This one took some work.
L240312	u1138	m75	DANA	Really!  Is it gone?
L240311	u1152	m75	VENKMAN	Nothing!  We just got rid of that thing in your kitchen.
L240064	u1152	m75	VENKMAN	Whoa!! Nice voice.
L240063	u1138	m75	DANA	There is no Dana.  I am Zuul.
L240062	u1152	m75	VENKMAN	Right ... You're the Gatekeeper.  But I want Dana.  Dana, speak to me ...
L240061	u1138	m75	DANA	I am Zuul.  I am ...
L240060	u1152	m75	VENKMAN	I don't know.  You've got two people in there already.  It could get a little crowded.  I want you to close your eyes and relax.  Now I'm going to speak to Dana and I want Dana to answer.
L240059	u1138	m75	DANA	I want you inside me.
L240058	u1152	m75	VENKMAN	Actually, it's more of a policy than a rule.
L240056	u1138	m75	DANA	Take me now.
L240055	u1152	m75	VENKMAN	Well, I'll just use it for a while and get it right back to you.
L240054	u1138	m75	DANA	Do you want this body?
L240053	u1152	m75	VENKMAN	Really?  Can't wait to meet him.  As long as we're waiting for him, I'd really like to try something with you -- in the bedroom.
L240052	u1138	m75	DANA	He is the Destructor.
