lineId	chId	mId	chName	dialogue
L413421	u2279	m147	BART	He took the secret with him when I dropped him.
L413420	u2285	m147	GUARD	What do you figure he done with it?
L413419	u2279	m147	BART	No.
L413418	u2285	m147	GUARD	He never told about the money.
L413417	u2279	m147	BART	He carried on some; kicked.
L413416	u2285	m147	GUARD	He was a cool one, that Harper. Never broke.
L413415	u2279	m147	BART	No.
L413414	u2285	m147	GUARD	Any trouble?
L413411	u2280	m147	BEN HARPER	Keep talkin', Preacher.
L413410	u2289	m147	PREACHER	If you was to let that money serve the Lord's purposes, He might feel kindly turned towards you.
L413409	u2280	m147	BEN HARPER	Keep talkin', Preacher.
L413408	u2289	m147	PREACHER	Salvation is a last-minute business, boy.
L413407	u2280	m147	BEN HARPER	I'll bet.
L413406	u2289	m147	PREACHER	The religion the Almighty and me worked out betwixt us.
L413405	u2280	m147	BEN HARPER	What religion do you profess, Preacher?
L413404	u2289	m147	PREACHER	That Sword has served me through many an evil time, Ben Harper.
L413403	u2280	m147	BEN HARPER	You, Preacher?
L413402	u2289	m147	PREACHER	I come not with Peace but with a Sword.
L413401	u2280	m147	BEN HARPER	How come you got that stickknife hid in your bed-blankets, Preacher?
L413400	u2289	m147	PREACHER	Think of it, Ben! With that cursed, bloodied gold!
L413399	u2280	m147	BEN HARPER	Would you have free candy for the kids, Preacher?
L413398	u2289	m147	PREACHER	With that ten thousand dollars I could build a Tabernacle that'd make the Wheeling Island Tabernacle look like a chicken-house!
L413397	u2280	m147	BEN HARPER	That's right, Preacher. I robbed that bank because I got tired of seein' children roamin' the woodlands without food, children roamin' the highways in this year of Depression; children sleepin' in old abandoned car bodies on junk-heaps; and I promised myself I'd never see the day when my youngins'd want.
L413396	u2289	m147	PREACHER	You killed two men, Ben Harper.
L413395	u2280	m147	BEN HARPER	Hm!
L413394	u2289	m147	PREACHER	"You was quotin' Scripture. You said -- you said, ""And a little child shall lead them."""
L413393	u2280	m147	BEN HARPER	What'd I say?  What? What? What? What?
L413392	u2289	m147	PREACHER	No, Ben.
L413391	u2280	m147	BEN HARPER	Tryin' to make me talk about it in my sleep!
L413390	u2289	m147	PREACHER	Ben, I'm a Man of God.
L413372	u2287	m147	JOHN HARPER	And I won't never tell about the money.
L413371	u2280	m147	BEN HARPER	"...""and I won't never tell about the money."""
L413370	u2287	m147	JOHN HARPER	I will guard Pearl with my life...
L413369	u2280	m147	BEN HARPER	"You got common sense. She ain't. When you grow up that money'll be yours. Now swear. ""I will guard Pearl with my life..."""
L413368	u2287	m147	JOHN HARPER	Not even her?
L413367	u2280	m147	BEN HARPER	You understand?
L413366	u2287	m147	JOHN HARPER	Yes, Dad.
L413365	u2280	m147	BEN HARPER	Listen to me son. You got to swear. Swear means promise. First swear you'll take care of little Pearl. Guard her with your life, boy. Then swear you won't never tell where that money's hid. Not even your Mom.
L413364	u2287	m147	JOHN HARPER	Dad, you're bleeding...
L413363	u2280	m147	BEN HARPER	Here they come.
L413358	u2280	m147	BEN HARPER	Listen to me John.
L413357	u2287	m147	JOHN HARPER	Out shopping -- you're bleeding, Dad --
L413356	u2280	m147	BEN HARPER	Where's your Mom?
L413899	u2287	m147	JOHN HARPER	Hide us Uncle Birdie! He's a-comin' with his knife!
L413898	u2281	m147	BIRDIE STEPTOE	Don't!
L413897	u2287	m147	JOHN HARPER	Uncle Birdie!
L413663	u2281	m147	BIRDIE STEPTOE	If you got an appetite for bones and bitterness.
L413662	u2287	m147	JOHN HARPER	Can we eat him, Uncle Birdie?
L413658	u2281	m147	BIRDIE STEPTOE	Tell you why I ask -- your step-pa being' a Preacher an' all...
L413657	u2287	m147	JOHN HARPER	No.
L413656	u2281	m147	BIRDIE STEPTOE	Do you mind me cussin', boy?
L413655	u2281	m147	BIRDIE STEPTOE	Shoot, a horse-hair'll hold a lumpin' whale.
L413654	u2287	m147	JOHN HARPER	Won't he bust it, Uncle Birdie?
L413653	u2281	m147	BIRDIE STEPTOE	There hain't nary hook in the land smart enough to hook Mister Gar. What a feller needs is mother-wit -- and a horse-hair.
L413652	u2287	m147	JOHN HARPER	Here's your can o' hooks, Uncle Birdie.
L413553	u2281	m147	BIRDIE STEPTOE	Well goodnight, boy. Come again -- any time.
L413552	u2287	m147	JOHN HARPER	Yep; gotta watch out for Pearl, Uncle Birdie.
L413551	u2281	m147	BIRDIE STEPTOE	Leavin', boy?
L413550	u2287	m147	JOHN HARPER	Just fine.
L413549	u2281	m147	BIRDIE STEPTOE	How's your sister Pearl?
L413548	u2287	m147	JOHN HARPER	O, she's all right.
L413547	u2281	m147	BIRDIE STEPTOE	And the times that are gone by. I'll have her ready inside of a week; and then we'll go fishin'. How's your Maw?
L413546	u2287	m147	JOHN HARPER	When'll the skiff be ready?
L413545	u2281	m147	BIRDIE STEPTOE	Can't hear ye, boy.  ...So the big boats heave a sigh, They blow for Uncle Birdie...
L413544	u2287	m147	JOHN HARPER	When'll Dad's skiff be ready?
L413543	u2281	m147	BIRDIE STEPTOE	'Twas down at Cresap's Landing, Along the River Shore, Birdie Steptoe was a Pilot in the good old days of yore. Now he sets in his old wharf-boat...
L413464	u2281	m147	BIRDIE STEPTOE	Pshaw now! Ain't it a caution what women'll load onto a feller's back when he ain't lookin'?
L413463	u2287	m147	JOHN HARPER	I been mindin' Pearl.
L413462	u2281	m147	BIRDIE STEPTOE	Ain't seen you in a coon's age, Johnny.
L413460	u2281	m147	BIRDIE STEPTOE	Ain't nobody goin' to neither, long as Uncle Birdie's around.
L413459	u2287	m147	JOHN HARPER	Ain't nobody stole Dad's skiff.
L413458	u2281	m147	BIRDIE STEPTOE	She don't put in at Cresap's Landing no more, but she still blows as she passes. Come on in and have a cup of coffee.
L414170	u2282	m147	CLARY	She went.
L414169	u2290	m147	RACHEL COOPER	Where's Ruby?
L414123	u2282	m147	CLARY	They hid in a broom closet!
L414122	u2290	m147	RACHEL COOPER	And when little King Jesus' Ma and Pa heard about that plan, what do you reckon they went and done?
