lineId	chId	mId	chName	dialogue
L172529	u820	m52	GROUCHO	They think I should - They think I should - They think I should - They think I should be king.
L172528	u816	m52	ALL	We really think he should be king and wear a crown and everything.
L172527	u820	m52	GROUCHO	King Solomon was game he gave each Girl his name to number them would make a list that long I'll bet his thousand wives led miserable lives if the king can do no wrong.
L172526	u816	m52	ALL	The king can do to wrong! 
L172525	u820	m52	GROUCHO	Suppose a pretty dame Into my castle came - And let us say that I was going strong.  She might be stuck on me, but what good would it be, if the king can do no wrong.
L172524	u816	m52	ALL	The king can do no wrong! 
L172523	u820	m52	GROUCHO	Of course you're All aware a king must have an heir some one to pass the family name along will some one tell me where I'd ever get an heir if a king can do no wrong
L172519	u816	m52	ALL	And everything.  He should be king!
L172518	u820	m52	GROUCHO	And wear a crown and everything.
L172517	u816	m52	ALL	He should be king!
L172516	u820	m52	GROUCHO	From what I have been gathering, I think they think I should be king: I think they think I should be king!
L172356	u820	m52	GROUCHO	Gloria, much as I hate to leave, I'd be crazy to stay here.
L172355	u817	m52	BOB	Yes, sir. 
L172354	u820	m52	GROUCHO	They'll know I mean business then they get that letter...  see that that gets out immediately and that goes for you too.
L172353	u817	m52	BOB	Eureka Ammunition Company, Gentlemen. Your shipment of sailor hats arrived this morning by freight.  Gloria, I could go for you in a big way. However, the rifles you sent were a little rusty and I don't say that to everybody.  Have not received last month's drawing account; how come your neck is like a swan.  Yours very truly...
L172352	u820	m52	GROUCHO	Eureka Ammunition Company -- Gentlemen -- Your shipment of sailor hats arrived this morning by freight --  Gloria, I could go for you in a big way --  However, the rifles you sent were a little rusty --  -- and I don't say that to everybody --  Have not received last month's drawing account.  How come?  Your neck is like a swan...  Yours very truly.  Now read it back. 
L172351	u820	m52	GROUCHO	None of your business...  Take another letter.
L172350	u817	m52	BOB	Who to?
L172349	u820	m52	GROUCHO	Take a letter...
L172348	u817	m52	BOB	Father...
L172169	u820	m52	GROUCHO	We'll start a fire --  -- and get rid of these microbes.
L172168	u817	m52	BOB	About - thirty-four seconds.
L172167	u820	m52	GROUCHO	In case of fire, how long will it take to empty this place?
L172142	u820	m52	GROUCHO	Never mind then, I'll get in touch with him myself -
L172141	u817	m52	BOB	But you're my father -
L172140	u820	m52	GROUCHO	He won't eh? - We'll see about that - send for your father immediately.
L172139	u817	m52	BOB	I've tried to chase him but it's no use - he won't go -
L172138	u820	m52	GROUCHO	Go out and chase that peanut vendor away from the building -- Get rid of him if you have to use violence - if necessary call out the militia and if he isn't looking get me a bag of peanuts.
L172120	u817	m52	BOB	His Excellency's car!
L172119	u820	m52	GROUCHO	Send for my car...
L172118	u817	m52	BOB	Here I am, Father...
L172095	u820	m52	GROUCHO	You do and I'll fire you.
L172094	u817	m52	BOB	I'll have to enclose the check first.
L172093	u820	m52	GROUCHO	Dear Sir... enclosed find check for $100.  Yours very truly...  Send that immediately.
L172092	u820	m52	GROUCHO	Take another letter...  to my tailor.
L172091	u817	m52	BOB	Is that all?
L172090	u820	m52	GROUCHO	That's what I wanted in the first place.  Tear it up and send it airmail.
L172089	u817	m52	BOB	My dear President...
L172088	u820	m52	GROUCHO	"You can't say that to the President... Put back ""President""... Now let's hear how sounds."
L172087	u817	m52	BOB	My dear...
L172086	u820	m52	GROUCHO	"Now we're on the right track... Put back ""dear""... How does it read?"
L172085	u817	m52	BOB	My...
L172084	u820	m52	GROUCHO	"There's still something wrong with it... take out ""President"" ...now what've you got?"
L172083	u817	m52	BOB	My President...
L172082	u820	m52	GROUCHO	"That's not right yet... put back ""President"" and take out ""dear""... How does it read now?"
