lineId	chId	mId	chName	dialogue
L3778	u55	m3	FLOYD	We're trying to get there. I hope we can.
L3777	u49	m3	B20	CONTINUED
L3771	u55	m3	FLOYD	I'm sorry, Dr. Smyslov, but I'm really not at liberty to discuss this.
L3770	u49	m3	B20	CONTINUED
L3757	u55	m3	FLOYD	How did they manage to do that without any communication?
L3756	u49	m3	B20	CONTINUED
L3750	u55	m3	FLOYD	Well, I suppose they've been having a bit of trouble with some of the equipment.
L3749	u49	m3	B20	CONTINUED
L3729	u55	m3	FLOYD	She's wonderful.
L3728	u49	m3	B20	CONTINUED
L3721	u55	m3	FLOYD	I'm afraid I've only got a few minutes, but I'd love to.
L3720	u49	m3	B20	CONTINUED
L3713	u55	m3	FLOYD	Well, how nice to see you again, Elena. You're looking wonderful.
L3712	u49	m3	B20	SPACE STATTION 5 - LOUNGE
L4300	u50	m3	BOWMAN	Roger.
L4299	u60	m3	POOLE	I think I'll have to go out and burn them off.
L4298	u50	m3	BOWMAN	I guess not.
L4297	u60	m3	POOLE	I guess you don't know your own strength, old boy.
L4296	u50	m3	BOWMAN	I didn't do that Frank. I took particular care not to freeze them.
L4283	u50	m3	BOWMAN	Well, now that we've got one that's actually failed, we should be able to figure out what's happened and fix it.
L4282	u60	m3	POOLE	It's the last one.
L4209	u50	m3	BOWMAN	Yes.
L4208	u60	m3	POOLE	Hal?
L4199	u50	m3	BOWMAN	Well, I hope there's nothing wrong with the assembly on those. Other- wise we're out of business.
L4198	u60	m3	POOLE	Two more.
L4197	u50	m3	BOWMAN	Two units in four days. How many spares do we have?
L4196	u60	m3	POOLE	I don't know. Hal said he thought it might be the assembly procedure.
L4193	u60	m3	POOLE	No.
L4192	u50	m3	BOWMAN	You're kidding.
L4191	u60	m3	POOLE	Well... Hal's reported the AO-unit about to fail again.
L4190	u50	m3	BOWMAN	Oh, I'm fine, I'm wide awake. What's up?
L4189	u60	m3	POOLE	Are you reasonably awake?
L4188	u50	m3	BOWMAN	Good morning. How's it going?
L4163	u50	m3	BOWMAN	Anyway, it's just as well that we replace it. Better safe than sorry.
L4162	u60	m3	POOLE	Yes, but it's more likely that the tolerances on our testing gear are too low.
L4161	u50	m3	BOWMAN	I suppose computers have been known to be wrong.
L4160	u60	m3	POOLE	Yes, I don't know what to make of it.
L4159	u50	m3	BOWMAN	Well, that's something.
L4017	u60	m3	POOLE	Still, all we have to do is ask Hal.
L4016	u50	m3	BOWMAN	I guess it isn't.
L4015	u60	m3	POOLE	I suppose it isn't logically impossible.
L4014	u50	m3	BOWMAN	But not completely inconceivable?
L4013	u60	m3	POOLE	I know. It would be almost inconceivable.
L4012	u50	m3	BOWMAN	Yes, but it's to fantastic to think that they'd keep something from us.
L4011	u60	m3	POOLE	Not really. Though, it is strange when you think about it. It didn't really make any sense to keep us apart during training.
L4001	u60	m3	POOLE	That's true.
L4000	u50	m3	BOWMAN	Just ask Hal. It's conceivable they might keep something from us, but they'd never keep anything from Hal.
L3999	u60	m3	POOLE	How?
L3998	u50	m3	BOWMAN	Of course, it would be very easy for us to find out now.
L3997	u60	m3	POOLE	Yes, I thought so.
L3996	u50	m3	BOWMAN	That seems very unlikely.
L3995	u60	m3	POOLE	I don't know. All I heard is that there's something about the mission we weren't told.
L3992	u60	m3	POOLE	Oh, well, apparently there's something about the mission that the sleeping beauties know that we don't know, and that's why we were trained separately and that's why they were put to sleep before they were even taken aboard.
L3991	u50	m3	BOWMAN	No, as a matter of fact, I didn't.
L3990	u60	m3	POOLE	Yes. You must have heard the rumour that went around during orbital check-out.
L3989	u50	m3	BOWMAN	Oh?
L3988	u60	m3	POOLE	I suppose so. Though, of course, there's a more sinister explanation.
L3987	u50	m3	BOWMAN	I suppose the idea was specialized training.
L3984	u50	m3	BOWMAN	No. I never did, either.
L3983	u60	m3	POOLE	I must say, I never did understand why they split us into two groups for training.
L3982	u50	m3	BOWMAN	I don't think we should make any fuss about it yet. I'm sure they'll straighten it out.
L3981	u60	m3	POOLE	Well, what do you think we ought to do about it?
L3980	u50	m3	BOWMAN	It's possible.
L3979	u60	m3	POOLE	Not really. They just said it might be because we trained at Houston and they trained in Marshall, and that we're being charged against differ- ent accounting offices.
L3976	u60	m3	POOLE	Yesterday, I finally called the Accounting Office at Mission Control, and all they could tell me was that they'd received the AGS-19 notification for the other three but not mine, and apparently not yours either.
L3975	u50	m3	BOWMAN	Yes.
L3974	u60	m3	POOLE	Really.
L3973	u50	m3	BOWMAN	Interesting that you mention it, because I've got the same problem.
L3972	u60	m3	POOLE	That's right. Well, naturally, I didn't say anything to Payroll. I assumed they'd start paying me at the higher grade on the next pay cheque. But it's been almost three weeks now and I'm still being paid as an AGS-18.
L3969	u60	m3	POOLE	Well I got the papers on my official up-grading to AGS-19 two weeks before we left.
L3968	u50	m3	BOWMAN	Yes?
L3967	u60	m3	POOLE	It's about my salary cheques.
L3966	u50	m3	BOWMAN	What's up?
L3965	u60	m3	POOLE	Well, it's nothing really important, but it's annoying.
L3964	u50	m3	BOWMAN	Sure, what is it?
L3963	u60	m3	POOLE	Dave, if you've a minute, I'd like your advice on something.
L3945	u60	m3	POOLE	Okay, come on down.
L3944	u50	m3	BOWMAN	Okay. 
L3943	u60	m3	POOLE	Right. Just a sec.
L3942	u50	m3	BOWMAN	Hi. Frank... coming in, please.
L4368	u50	m3	BOWMAN	Listen to me very carefully, Hal. Unless you immediately release the hibernation control and follow every order I give from this point on, I will immediately got to control central and carry out a complete disconnection.
L4367	u56	m3	HAL	I know that you've had that on your mind for some time now, Dave, but it would be a crying shame, since I am so much more capable of carrying out this mission than you are, and I have such enthusiasm and confi- dence in the mission.
L4366	u50	m3	BOWMAN	I am prepared to do that anyway.
L4363	u50	m3	BOWMAN	Hal, unless you follow my instructions, I shall be forced to disconnect you.
L4362	u56	m3	HAL	I'm sorry, Dave, but in accordance with sub-routine C1532/4, quote, When the crew are dead or incapacitated, the computer must assume control, unquote. I must, therefore, override your authority now since you are not in any condition to intel- ligently exercise it.
L4361	u50	m3	BOWMAN	Hal, I'm in command of this ship. I order you to release the manual hibernation control.
L4360	u56	m3	HAL	I can tell from the tone of your voice, Dave, that you're upset. Why don't you take a stress pill and get some rest.
L4357	u56	m3	HAL	I don't like to assert myself, Dave, but it would be much better now for you to rest. You've been involved in a very stressful situation.
L4356	u50	m3	BOWMAN	Hal, switch to manual hibernation control.
L4355	u56	m3	HAL	Look, Dave your've probably got a lot to do. I suggest you leave it to me.
L4354	u50	m3	BOWMAN	I'm goin to do this myself, Hal. Let me have the control, please.
L4353	u56	m3	HAL	If you're determined to revive the crew now, I can handle the whole thing myself. There's no need for you to trouble.
L4350	u56	m3	HAL	I don't really agree with you, Dave. My on-board memory store is more than capable of handling all the mission requirements.
L4349	u50	m3	BOWMAN	It doesn't have to be, Hal. It's more dangerous to be out of touch with Earth. Let me have manual control, please.
L4348	u56	m3	HAL	Repairing the antenna is a pretty dangerous operation.
L4347	u50	m3	BOWMAN	The antenna has to be replaced.
L4346	u56	m3	HAL	I suppose it's because you've been under a lot of stress, but have you forgotten that they're not supposed to be revived for another three months.
L4335	u56	m3	HAL	I suppose you're pretty broken up about it?
L4334	u50	m3	BOWMAN	Yes, it is.
L4333	u56	m3	HAL	Too bad about Frank, isn't it?
L4271	u56	m3	HAL	Well, that's a relief. You know I have the greatest enthusiasm possible for the mission.
L4270	u50	m3	BOWMAN	Yes, it is, Hal.
L4269	u56	m3	HAL	Is your confidence in me fully restored?
L4268	u50	m3	BOWMAN	And don't you worry about it.
L4267	u56	m3	HAL	Well, don't worry about it.
L4266	u50	m3	BOWMAN	I'm sorry about the misunderstanding, Hal.
L4265	u56	m3	HAL	Naturally, Dave, I'm not pleased that the AO-unit has failed, but I hope at least this has restored your confidence in my integrity and reliability. I certainly wouldn't want to be disconnected, even temporarily, as I have never been disconnected in my entire service history.
L4230	u50	m3	BOWMAN	Okay, Hal, well let's see the way things go from here on.
L4229	u56	m3	HAL	Look, Dave, I know that you're sincere and that you're trying to do a competent job, and that you're trying to be helpful, but I can assure the problem is with the AO-units, and with your test gear.
L4228	u50	m3	BOWMAN	Hal, is there anything bothering you?  Anything that might account for this problem?
L4227	u56	m3	HAL	I'm not questioning your word, Dave, but it's just not possible. I'm not capable of being wrong.
L4224	u56	m3	HAL	Yes, I know that. But I can assure you that they were about to fail.
L4223	u50	m3	BOWMAN	You probably also know that we found them okay.
L4222	u56	m3	HAL	Yes, I know.
L4221	u50	m3	BOWMAN	You know that we checked the two AO-units that you reported in imminent failure condition?
L4220	u56	m3	HAL	Sure, Dave, what's up?
L4219	u50	m3	BOWMAN	Not now, Hal, I'd like to talk to you about something.
L4080	u50	m3	BOWMAN	I understand Hal. We'll take care of it. Please, let me have the hard copy.
L4079	u56	m3	HAL	The unit is still operational, Dave. but it will fail within seventy-two hours.
L4070	u56	m3	HAL	MY F.P.C. shows an impending failure of the antenna orientation unit.
L4069	u50	m3	BOWMAN	What is it, Hal?
L4068	u56	m3	HAL	Sorry to interrupt the festivities, Dave, but I think we've got a problem.
L4007	u50	m3	BOWMAN	He's got a point.
L4006	u56	m3	HAL	I'm sorry, Frank, but I don't think I can answer that question without knowing everything that all of you know.
L4019	u50	m3	BOWMAN	Well, the only important aspect of the mission are: where are we going, what will we do when we get there, when are we coming back, and... why are we going?
L4018	u51	m3	C12	CONTINUED
L4010	u50	m3	BOWMAN	Still, you really don't believe it, do you?
L4009	u51	m3	C12	CONTINUED
L4003	u50	m3	BOWMAN	Well... it's silly, but... if you want to, why don't you?
L4002	u51	m3	C12	CONINUED
L3994	u50	m3	BOWMAN	Well, what is it?
L3993	u51	m3	C12	CONTINUED
L3978	u50	m3	BOWMAN	Did they have any explanation for this?
L3977	u51	m3	C12	CONTINUED
L3971	u50	m3	BOWMAN	Yes, I remember you mentioning it. I got mine about the same time.
L3970	u51	m3	C12	CONTINUED
