lineId	chId	mId	chName	dialogue
L295489	u1412	m94	BARTENDER	It's open...  What'll you have?
L295488	u1416	m94	EDDIE	Huh?
L295482	u1412	m94	BARTENDER	Right.
L295481	u1416	m94	EDDIE	Give me a bottle of beer.
L295298	u1416	m94	EDDIE	You look different... More relaxed.
L295297	u1412	m94	BARTENDER	Check!
L295296	u1416	m94	EDDIE	Hey, another one for me and another one for the lady.
L295288	u1416	m94	EDDIE	No.
L295287	u1412	m94	BARTENDER	You want a chaser?
L295286	u1416	m94	EDDIE	Give me some bourbon. J. T. S. Brown.
L295082	u1416	m94	EDDIE	Next game, ten bucks.
L295081	u1412	m94	BARTENDER	About sixty, seventy bucks.
L295074	u1416	m94	EDDIE	Hey, he's right!  Whaddya say, Charlie, huh? Play a little pool? Wait out the heat?
L295073	u1412	m94	BARTENDER	Thanks. Sure is a hot day for driving. Late afternoon is better. You guys have plenty of time. Make Pittsburgh in two, maybe three hours.
L295070	u1412	m94	BARTENDER	What do you guys sell?
L295069	u1416	m94	EDDIE	Goin' in. We got a sales convention. Gotta be there tomorrow.
L295068	u1412	m94	BARTENDER	Comin' in or goin' out?
L295067	u1416	m94	EDDIE	Mm hmm.
L295066	u1412	m94	BARTENDER	Pittsburgh?
L295065	u1416	m94	EDDIE	Yep.
L295064	u1412	m94	BARTENDER	Boys just passing through?
L295911	u1420	m94	SARAH	Sure, sure, just the money, and the aristocratic pleasure of seeing him fall apart. You're a Roman, Bert. You have to win them all.
L295910	u1413	m94	BERT	All I want's the money.
L295909	u1420	m94	SARAH	And the way you're looking at me, is that the way you look at a man you've just beaten? As if you'd just taken his money, and now all you want is... his pride?
L295908	u1413	m94	BERT	That's the way it's done.
L295907	u1420	m94	SARAH	Put it on the bed. That's the way it's done, isn't it?
L295906	u1413	m94	BERT	It's what Eddie wants. He, uh, told me to give you some money.
L295905	u1420	m94	SARAH	In a little while. That's what you want, isn't it?
L295790	u1420	m94	SARAH	Thank you.
L295789	u1413	m94	BERT	Are you ready for another?
L295777	u1413	m94	BERT	You tell me.
L295776	u1420	m94	SARAH	How?
L295775	u1413	m94	BERT	I'll make it up to you.
L295774	u1413	m94	BERT	Listen, Miss Ladybird, you're here on a rain check and I know it. You're hanging on by your nails. You let that glory whistle blow loud and clear for Eddie and you're a wreck on a railroad track. You're a horse that finished last. So don't make trouble, Miss Ladybird. Live and let live. While you can.
L295773	u1420	m94	SARAH	You bastard.
L295772	u1413	m94	BERT	Well, nobody has to sell.
L295771	u1420	m94	SARAH	No, there's no tomorrow. Not with you. You own all the tomorrows because you buy them today, and you buy cheap.
L295770	u1413	m94	BERT	All right. Today for me, tomorrow for himself.
L295769	u1420	m94	SARAH	You didn't answer my first question. For whom?
L295768	u1413	m94	BERT	For what makes the world go round. For money, and for glory.
L295767	u1420	m94	SARAH	For whom and for what?
L295766	u1413	m94	BERT	To win.
L295765	u1420	m94	SARAH	You know what's good for him?
L295764	u1413	m94	BERT	Yeah, I think we do. We could try to cut each other up. But that would be bad for everybody. Bad for me, bad for you. And worst of all, be bad for Eddie.
L295763	u1420	m94	SARAH	Do we need words?
L295762	u1413	m94	BERT	I want to talk to you.
L295761	u1420	m94	SARAH	We're neighbors now. You can call me Sarah.
L295760	u1413	m94	BERT	Oh, wait a minute, Miss Packard.
L295742	u1413	m94	BERT	She's a smart girl, Eddie.
L295741	u1420	m94	SARAH	And a fact is a fact.
L295740	u1413	m94	BERT	That's right, Miss Packard.
L295739	u1420	m94	SARAH	It's all right, Eddie. I'm sure Mr. Gordon meant no offense. It was a figure of speech.
L295735	u1413	m94	BERT	Oh, I forgot all about it.  How's the hands?
L295734	u1420	m94	SARAH	Doesn't your lighter work, Mr. Gordon?
L295732	u1413	m94	BERT	I know. Been there myself. We've all been there, haven't we, Miss Packard?
L295731	u1420	m94	SARAH	What makes you know so much? How do you know what Eddie was thinking?
L295721	u1413	m94	BERT	Soon as I finish my coffee.
L295720	u1420	m94	SARAH	I'm ready.
L295714	u1413	m94	BERT	Lots of action. Lots of money.  Lots of class. You'll see some of the best-dressed and most beautiful women in the world at the races. Knock your eye out.
L295713	u1420	m94	SARAH	I've never been to Louisville.
L295712	u1413	m94	BERT	You, uh, you ever been to Louisville during Derby week, Miss, ah, Packard?
L295711	u1420	m94	SARAH	No, I'm fine.
L295710	u1413	m94	BERT	It always takes me a little while to get a name fixed in my mind. Are you sure you don't want anything?
L295709	u1420	m94	SARAH	Packard. Sarah Packard.
L295708	u1413	m94	BERT	You sure you going to be comfortable enough there, Miss... ah... ?
L295888	u1413	m94	BERT	Twelve thousand.
L295887	u1418	m94	FINDLEY	How much do I owe you?
L295886	u1413	m94	BERT	Cash.
L295885	u1418	m94	FINDLEY	Will you take a check, Bert?
L295861	u1413	m94	BERT	The night is two thousand dollars old.
L295860	u1418	m94	FINDLEY	That seems a shame. The night is young.
L295854	u1413	m94	BERT	It's possible.
