lineId	chId	mId	chName	dialogue
L36304	u306	m19	BOB	Now you tell us.
L36303	u309	m19	COMANCHE TOM	Sometimes a wound will kill.
L36302	u306	m19	BOB	This is healing?
L35843	u306	m19	BOB	Jim Younger, I told you--
L35842	u309	m19	COMANCHE TOM	I couldn't lose him.
L35692	u306	m19	BOB	Tom, I'm this close to coming with you...
L35691	u309	m19	COMANCHE TOM	I think I may just go on to the reservation.
L35643	u309	m19	COMANCHE TOM	I said like a Comanche, not this Comanche.
L35642	u306	m19	BOB	You can ride like that?
L36521	u306	m19	BOB	It's tougher than it looks.
L36520	u308	m19	COLE	He's not bad at it.
L36519	u306	m19	BOB	"Things changed when you quit the gang. For example, I'm now the one who says ""Let's ride."""
L36427	u308	m19	COLE	You're just upset about Jesse. We all are.
L36426	u306	m19	BOB	I'm sorry, Cole.
L36424	u306	m19	BOB	Swear on Jimmy's grave.
L36423	u308	m19	COLE	I swear --
L36422	u306	m19	BOB	Swear.
L36421	u308	m19	COLE	Bob. I didn't...
L36420	u306	m19	BOB	WHAT HAVE YOU DONE?!
L36419	u308	m19	COLE	I ain't done --
L36418	u306	m19	BOB	What have you done?
L36417	u308	m19	COLE	How'd they --
L36399	u308	m19	COLE	Leave me alone, Bob.
L36398	u306	m19	BOB	Cole, we're outlaws. Not exactly the most respectable job, if you know what I mean.
L36397	u308	m19	COLE	As long as people think Jesse's still riding, we will never get the respect we deserve.
L36396	u306	m19	BOB	That was because of... the reputation the gang had.
L36395	u308	m19	COLE	It's still taking too long. The people used to snap to.
L36394	u306	m19	BOB	This is the best score yet.
L36292	u306	m19	BOB	What?
L36291	u308	m19	COLE	That's what the newspapers say. Weren't for Jesse James, this gang wouldn't be able to find a goat's ass with a stick.
L36177	u306	m19	BOB	Frankly, yes. I'm feeling a little left out.
L36176	u308	m19	COLE	We got a problem here, brother?
L36132	u306	m19	BOB	"Say we bust into a bank. We yell ""We're the Younger-James Gang!"" People are gonna be thinking, ""The younger James Gang? Is there an older James Gang? How come we never heard of the older James gang?"" So people are trying to figure that out instead of raising their arms."
L36131	u308	m19	COLE	How?
L36130	u306	m19	BOB	No, Jimmy has a point. The Younger-James Gang could be confusing.
L36043	u308	m19	COLE	You stay out of this, Bob.
L36042	u306	m19	BOB	Uhh, yeah it does.
L36034	u306	m19	BOB	Better pass them over here before something happens to 'em.
L36033	u308	m19	COLE	These are deeds and mortgages of farms the bank was holding for the railroad.
L35966	u308	m19	COLE	I say we ride into town and kill us some Pinkertons and railroad men.
L35965	u306	m19	BOB	The sheriff says it was a gang of drunk Kansas boys.
L35964	u308	m19	COLE	Our place, Clell Miller's, Sammy Johnston, the Creeders. Will Hite.
L35920	u306	m19	BOB	Zee, I'm pleased you came.
L35919	u308	m19	COLE	Here's Liberty's favorite son!  I'll never forget what you did, cousin.
L35747	u308	m19	COLE	That was two hours ago.
L35746	u306	m19	BOB	Your Ma wouldn't let us leave until we ate something.
L35663	u306	m19	BOB	Anywhere nobody's shooting at me is pretty.
L35662	u308	m19	COLE	Never thought that pissant town would look so pretty.
L35622	u308	m19	COLE	Never a good thing.
L35621	u306	m19	BOB	He's smiling.
L35590	u306	m19	BOB	Dammit, this stopped being fun about two years ago!
L35589	u308	m19	COLE	Gatling! They've got a Gatling!
L35836	u306	m19	BOB	Tomorrow.
L35835	u312	m19	FRANK	The Army can hang him.
L35834	u306	m19	BOB	They said because the detectives were working for the Department of the Interior --
L35833	u312	m19	FRANK	Damn!
L35830	u306	m19	BOB	He just lost his temper a little.
L35829	u312	m19	FRANK	Oh no...
L35828	u306	m19	BOB	They came up, made the same offer they made you folks. Our little brother Jim tried to chase 'em off, one of those detectives hit him in the head, knocked him out. Cole lost his temper.
L35690	u312	m19	FRANK	Stop by our spread after that, tell our Ma we're all right. We'll go to Doc Mimms.
L35689	u306	m19	BOB	Cole, I want to get to the farm, make sure Little Jim and the girls are okay.
L35681	u306	m19	BOB	... Will Perry ...
L35680	u312	m19	FRANK	Jesus mercy, that's Charlie Higgins, Dave Laller ...
L35668	u306	m19	BOB	Then I love it.
L35667	u312	m19	FRANK	Nope.
L35666	u306	m19	BOB	Corn gonna shoot at me?
L35656	u306	m19	BOB	Well, somebody better go tell THE DAMN YANKEES!
L35655	u312	m19	FRANK	Yesterday.
L35619	u312	m19	FRANK	I can hit those boys from here. We just need a distraction.
L35618	u306	m19	BOB	My plan of lying here pissing myself seems to be working mighty fine, thank you.
L36276	u313	m19	JESSE	Tell me.
L36275	u306	m19	BOB	Listen, he's my brother and I don't want to start trouble...
L36274	u313	m19	JESSE	What?
L36273	u306	m19	BOB	He's planning a job.
