mId,movieTitle,movieYear,rating,geners
m2,15 minutes,2001,6.1,"['action', 'crime', 'drama', 'thriller']"
m4,48 hrs.,1982,6.9,"['action', 'comedy', 'crime', 'drama', 'thriller']"
m5,the fifth element,1997,7.5,"['action', 'adventure', 'romance', 'sci-fi', 'thriller']"
m11,air force one,1997,6.3,"['action', 'drama', 'thriller']"
m15,aliens,1986,8.5,"['action', 'sci-fi', 'thriller']"
m19,american outlaws,2001,5.7,"['action', 'western']"
m22,austin powers: international man of mystery,1997,7.1,"['action', 'adventure', 'comedy', 'crime']"
m23,the avengers,1998,3.4,"['action', 'adventure', 'thriller']"
m25,backdraft,1991,6.6,"['action', 'crime', 'drama', 'mystery', 'thriller']"
m33,black rain,1989,6.4,"['action', 'crime', 'drama', 'thriller']"
m37,the boondock saints,1999,7.8,"['action', 'crime', 'drama', 'thriller']"
m39,the bourne supremacy,2004,7.6,"['action', 'adventure', 'mystery', 'thriller']"
m40,braveheart,1995,8.4,"['action', 'biography', 'drama', 'history', 'war']"
m48,dark angel,1990,5.3,"['action', 'crime', 'drama', 'horror', 'sci-fi', 'thriller']"
m58,fantastic four,2005,5.7,"['action', 'adventure', 'fantasy', 'sci-fi', 'fantasy']"
m61,feast,2005,6.4,"['action', 'comedy', 'horror', 'thriller']"
m65,from dusk till dawn,1996,7.1,"['action', 'crime', 'horror', 'thriller']"
m66,g.i. jane,1997,5.6,"['action', 'drama']"
m67,godzilla,1998,4.9,"['action', 'horror', 'sci-fi', 'thriller']"
m68,galaxy quest,1999,7.2,"['action', 'adventure', 'comedy', 'sci-fi']"
m74,ghostbusters ii,1989,6.1,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'action', 'adventure', 'comedy', 'sci-fi']"
m76,gladiator,2000,8.4,"['action', 'adventure', 'drama']"
m86,hellboy,2004,6.8,"['action', 'adventure', 'fantasy']"
m89,highlander,1986,7.2,"['action', 'fantasy']"
m97,independence day,1996,6.6,"['action', 'adventure', 'sci-fi', 'thriller']"
m98,indiana jones and the last crusade,1989,8.3,"['action', 'adventure', 'thriller', 'action', 'adventure', 'fantasy']"
m99,indiana jones and the temple of doom,1984,7.5,"['action', 'adventure']"
m100,innerspace,1987,6.5,"['action', 'adventure', 'comedy', 'crime', 'sci-fi']"
m113,krull,1983,5.9,"['fantasy', 'action', 'adventure', 'sci-fi']"
m122,logan's run,1976,6.7,"['action', 'sci-fi']"
m125,men in black,1997,7.0,"['action', 'adventure', 'comedy', 'sci-fi']"
m126,minority report,2002,7.7,"['action', 'crime', 'mystery', 'sci-fi', 'thriller', 'action', 'animation', 'drama', 'mystery', 'sci-fi', 'thriller']"
m129,man on fire,2004,7.7,"['action', 'crime', 'drama', 'thriller']"
m133,metro,1997,5.3,"['action', 'comedy', 'crime', 'drama', 'thriller']"
m135,mighty morphin power rangers,1994,8.2,"['action', 'family']"
m142,the mummy,1999,6.9,"['action', 'adventure', 'fantasy']"
m143,mystery men,1999,5.9,"['action', 'comedy', 'fantasy']"
m157,the patriot,2000,6.9,"['action', 'drama', 'war']"
m169,reindeer games,2000,5.5,"['action', 'crime', 'drama', 'thriller']"
m171,roughshod,1949,6.9,"['action', 'drama', 'romance', 'western']"
m180,silverado,1985,7.0,"['action', 'western']"
m185,smokey and the bandit,1977,6.6,"['action', 'comedy', 'crime', 'romance']"
m186,smokin' aces,2006,6.6,"['action', 'crime', 'drama', 'thriller']"
m188,someone to watch over me,1987,6.1,"['action', 'crime', 'drama', 'romance', 'thriller']"
m189,spider-man,2002,7.4,"['action', 'adventure', 'fantasy', 'sci-fi', 'action', 'adventure', 'sci-fi', 'thriller']"
