mId,movieTitle,movieYear,rating,geners
m1,1492: conquest of paradise,1992,6.2,"['adventure', 'biography', 'drama', 'history']"
m3,2001: a space odyssey,1968,8.4,"['adventure', 'mystery', 'sci-fi']"
m5,the fifth element,1997,7.5,"['action', 'adventure', 'romance', 'sci-fi', 'thriller']"
m22,austin powers: international man of mystery,1997,7.1,"['action', 'adventure', 'comedy', 'crime']"
m23,the avengers,1998,3.4,"['action', 'adventure', 'thriller']"
m30,big fish,2003,8.1,"['adventure', 'drama', 'fantasy']"
m39,the bourne supremacy,2004,7.6,"['action', 'adventure', 'mystery', 'thriller']"
m43,cast away,2000,7.5,"['adventure', 'drama']"
m54,erik the viking,1989,5.9,"['comedy', 'adventure', 'fantasy']"
m58,fantastic four,2005,5.7,"['action', 'adventure', 'fantasy', 'sci-fi', 'fantasy']"
m68,galaxy quest,1999,7.2,"['action', 'adventure', 'comedy', 'sci-fi']"
m73,the ghost and the darkness,1996,6.6,"['adventure', 'drama', 'thriller']"
m74,ghostbusters ii,1989,6.1,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'action', 'adventure', 'comedy', 'sci-fi']"
m76,gladiator,2000,8.4,"['action', 'adventure', 'drama']"
m86,hellboy,2004,6.8,"['action', 'adventure', 'fantasy']"
m97,independence day,1996,6.6,"['action', 'adventure', 'sci-fi', 'thriller']"
m98,indiana jones and the last crusade,1989,8.3,"['action', 'adventure', 'thriller', 'action', 'adventure', 'fantasy']"
m99,indiana jones and the temple of doom,1984,7.5,"['action', 'adventure']"
m100,innerspace,1987,6.5,"['action', 'adventure', 'comedy', 'crime', 'sci-fi']"
m113,krull,1983,5.9,"['fantasy', 'action', 'adventure', 'sci-fi']"
m118,legend,1985,6.2,"['fantasy', 'adventure', 'romance']"
m124,lost horizon,1937,7.8,"['adventure', 'drama', 'fantasy', 'mystery']"
m125,men in black,1997,7.0,"['action', 'adventure', 'comedy', 'sci-fi']"
m134,metropolis,1927,8.4,"['adventure', 'drama', 'sci-fi']"
m142,the mummy,1999,6.9,"['action', 'adventure', 'fantasy']"
m144,napoleon,1995,5.5,"['family', 'adventure']"
m153,"o brother, where art thou?",2000,7.8,"['comedy', 'adventure', 'crime', 'music']"
m159,pirates of the caribbean,2003,7.2,"['adventure', 'fantasy', 'horror']"
m189,spider-man,2002,7.4,"['action', 'adventure', 'fantasy', 'sci-fi', 'action', 'adventure', 'sci-fi', 'thriller']"
