mId,movieTitle,movieYear,rating,geners
m75,ghostbusters,1986,6.9,"['animation', 'comedy', 'fantasy', 'sci-fi', 'horror']"
m121,little nicky,2000,5.0,"['fantasy', 'comedy', 'romance', 'animation', 'comedy', 'fantasy', 'horror']"
m126,minority report,2002,7.7,"['action', 'crime', 'mystery', 'sci-fi', 'thriller', 'action', 'animation', 'drama', 'mystery', 'sci-fi', 'thriller']"
m137,monkeybone,2001,4.5,"['animation', 'comedy', 'fantasy', 'romance']"
m242,anastasia,1997,6.6,"['animation', 'adventure', 'drama', 'family', 'musical', 'animation', 'family']"
m245,antz,1998,6.8,"['animation', 'adventure', 'comedy', 'family']"
m259,batman returns,1992,6.9,"['action', 'crime', 'fantasy', 'thriller', 'animation', 'crime', 'fantasy', 'action', 'thriller']"
m264,beavis and butt-head do america,1996,6.6,"['animation', 'adventure', 'comedy', 'crime']"
m337,star wars: the empire strikes back,1982,8.0,"['animation', 'adventure', 'action', 'fantasy']"
m410,the lost world: jurassic park,1997,6.0,"['action', 'adventure', 'sci-fi', 'thriller', 'action', 'adventure', 'animation', 'horror', 'sci-fi', 'thriller']"
m457,neuromancer,1988,9.3,"['action', 'adventure', 'animation', 'sci-fi']"
m459,the nightmare before christmas,1993,8.0,"['animation', 'family', 'fantasy', 'musical']"
m473,planet of the apes,2001,5.5,"['action', 'adventure', 'sci-fi', 'thriller', 'animation', 'action', 'adventure', 'sci-fi']"
m492,who framed roger rabbit,1988,7.6,"['animation', 'comedy', 'crime', 'family', 'fantasy', 'mystery', 'animation', 'adventure', 'action', 'fantasy']"
m525,south park: bigger longer & uncut,1999,7.8,"['animation', 'comedy', 'musical']"
m579,toy story,1995,8.2,"['animation', 'adventure', 'comedy', 'family', 'fantasy']"
