mId,movieTitle,movieYear,rating,geners
m1,1492: conquest of paradise,1992,6.2,"['adventure', 'biography', 'drama', 'history']"
m16,amadeus,1984,8.4,"['biography', 'drama', 'music']"
m40,braveheart,1995,8.4,"['action', 'biography', 'drama', 'history', 'war']"
m53,the elephant man,1980,8.4,"['biography', 'drama', 'history']"
m62,frances,1982,7.2,"['biography', 'drama']"
m101,the insider,1999,8.0,"['biography', 'drama', 'thriller']"
m104,jfk,1991,8.0,"['biography', 'drama', 'history', 'mystery', 'thriller']"
m128,malcolm x,1992,7.7,"['biography', 'drama', 'history']"
m150,nixon,1995,7.1,"['biography', 'drama']"
m164,quills,2000,7.3,"['biography', 'drama', 'history', 'romance']"
m165,rko 281,1999,7.1,"['biography', 'drama']"
m166,raging bull,1980,8.4,"['biography', 'drama', 'sport']"
m258,basquiat,1996,6.7,"['biography', 'drama']"
m276,blow,2001,7.4,"['biography', 'crime', 'drama']"
m289,casino,1995,8.1,"['biography', 'crime', 'drama']"
m329,ed wood,1994,8.1,"['biography', 'comedy', 'drama']"
m336,erin brockovich,2000,7.2,"['biography', 'drama', 'romance']"
m364,gandhi,1982,8.2,"['biography', 'drama', 'history']"
m370,gods and monsters,1998,7.5,"['biography', 'drama']"
m417,kundun,1997,7.1,"['biography', 'drama', 'history', 'war']"
m432,man on the moon,1999,7.4,"['biography', 'comedy', 'drama']"
m439,midnight express,1978,7.6,"['biography', 'crime', 'drama', 'thriller']"
m446,mrs brown,1997,7.2,"['biography', 'drama', 'history', 'romance']"
m504,schindler's list,1993,8.9,"['biography', 'drama', 'history', 'war']"
m566,the pianist,2002,8.5,"['biography', 'drama', 'war']"
