mId,movieTitle,movieYear,rating,geners
m0,10 things i hate about you,1999,6.9,"['comedy', 'romance']"
m4,48 hrs.,1982,6.9,"['action', 'comedy', 'crime', 'drama', 'thriller']"
m12,airplane ii: the sequel,1982,5.8,"['comedy', 'romance', 'sci-fi']"
m13,airplane!,1980,7.8,"['comedy', 'romance']"
m22,austin powers: international man of mystery,1997,7.1,"['action', 'adventure', 'comedy', 'crime']"
m24,bachelor party,1984,5.9,"['comedy', 'romance']"
m27,bamboozled,2000,6.3,"['comedy', 'drama', 'music']"
m31,birthday girl,2001,6.0,"['comedy', 'crime', 'romance', 'thriller']"
m35,blast from the past,1999,6.4,"['comedy', 'drama', 'romance']"
m38,bottle rocket,1996,7.2,"['comedy', 'crime']"
m47,dark star,1974,6.5,"['comedy', 'sci-fi', 'thriller']"
m49,detroit rock city,1999,6.5,"['comedy', 'music']"
m51,drop dead gorgeous,1999,6.3,"['comedy', 'adult']"
m52,duck soup,1933,8.1,"['comedy', 'musical']"
m54,erik the viking,1989,5.9,"['comedy', 'adventure', 'fantasy']"
m56,even cowgirls get the blues,1993,4.0,"['comedy', 'drama', 'romance', 'western']"
m59,fast times at ridgemont high,1982,7.2,"['comedy', 'drama', 'romance']"
m61,feast,2005,6.4,"['action', 'comedy', 'horror', 'thriller']"
m68,galaxy quest,1999,7.2,"['action', 'adventure', 'comedy', 'sci-fi']"
m70,get shorty,1995,6.9,"['comedy', 'crime', 'thriller']"
m72,ghost world,2001,7.7,"['comedy', 'drama']"
m74,ghostbusters ii,1989,6.1,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'action', 'adventure', 'comedy', 'sci-fi']"
m75,ghostbusters,1986,6.9,"['animation', 'comedy', 'fantasy', 'sci-fi', 'horror']"
m77,the graduate,1967,8.2,"['comedy', 'drama', 'romance']"
m82,"happy birthday, wanda june",1971,5.8,"['comedy', 'drama']"
m84,harold and maude,1971,8.1,"['comedy', 'romance']"
m88,high fidelity,2000,7.6,"['comedy', 'drama', 'music', 'romance']"
m90,his girl friday,1940,8.1,"['comedy', 'drama', 'romance']"
m93,human nature,2001,6.3,"['comedy', 'drama']"
m100,innerspace,1987,6.5,"['action', 'adventure', 'comedy', 'crime', 'sci-fi']"
m102,intolerable cruelty,2003,6.4,"['comedy', 'romance', 'crime']"
m103,it happened one night,1934,8.3,"['comedy', 'romance']"
