mId,movieTitle,movieYear,rating,geners
m2,15 minutes,2001,6.1,"['action', 'crime', 'drama', 'thriller']"
m4,48 hrs.,1982,6.9,"['action', 'comedy', 'crime', 'drama', 'thriller']"
m6,8mm,1999,6.3,"['crime', 'mystery', 'thriller']"
m14,alien nation,1988,6.1,"['crime', 'drama', 'sci-fi', 'thriller']"
m22,austin powers: international man of mystery,1997,7.1,"['action', 'adventure', 'comedy', 'crime']"
m25,backdraft,1991,6.6,"['action', 'crime', 'drama', 'mystery', 'thriller']"
m26,bad lieutenant,1992,6.9,"['crime', 'drama']"
m29,basic,2003,6.3,"['crime', 'drama', 'mystery', 'thriller']"
m31,birthday girl,2001,6.0,"['comedy', 'crime', 'romance', 'thriller']"
m33,black rain,1989,6.4,"['action', 'crime', 'drama', 'thriller']"
m36,blue velvet,1986,7.8,"['crime', 'mystery', 'thriller']"
m37,the boondock saints,1999,7.8,"['action', 'crime', 'drama', 'thriller']"
m38,bottle rocket,1996,7.2,"['comedy', 'crime']"
m45,confidence,2003,6.8,"['crime', 'thriller']"
m46,croupier,1998,7.2,"['crime', 'drama']"
m48,dark angel,1990,5.3,"['action', 'crime', 'drama', 'horror', 'sci-fi', 'thriller']"
m65,from dusk till dawn,1996,7.1,"['action', 'crime', 'horror', 'thriller']"
m70,get shorty,1995,6.9,"['comedy', 'crime', 'thriller']"
m79,the grifters,1990,7.0,"['crime', 'drama', 'thriller']"
m100,innerspace,1987,6.5,"['action', 'adventure', 'comedy', 'crime', 'sci-fi']"
m102,intolerable cruelty,2003,6.4,"['comedy', 'romance', 'crime']"
m105,jackie brown,1997,7.6,"['crime', 'drama', 'thriller']"
m110,kalifornia,1993,6.7,"['crime', 'drama', 'thriller']"
m111,kids,1995,6.8,"['crime', 'drama']"
m114,léon,1994,8.6,"['crime', 'drama', 'thriller']"
m120,the life of david gale,2003,7.3,"['drama', 'crime', 'thriller']"
m126,minority report,2002,7.7,"['action', 'crime', 'mystery', 'sci-fi', 'thriller', 'action', 'animation', 'drama', 'mystery', 'sci-fi', 'thriller']"
m127,made,2001,6.4,"['comedy', 'crime', 'drama', 'thriller']"
m129,man on fire,2004,7.7,"['action', 'crime', 'drama', 'thriller']"
m133,metro,1997,5.3,"['action', 'comedy', 'crime', 'drama', 'thriller']"
m136,mobsters,1991,5.5,"['crime', 'drama']"
m146,nick of time,1995,6.2,"['crime', 'drama', 'thriller']"
m151,no country for old men,2007,8.3,"['crime', 'drama', 'mystery', 'thriller', 'western']"
m152,nurse betty,2000,6.4,"['comedy', 'crime', 'romance', 'thriller']"
m153,"o brother, where art thou?",2000,7.8,"['comedy', 'adventure', 'crime', 'music']"
m167,rear window,1954,8.7,"['crime', 'mystery', 'romance', 'thriller']"
m169,reindeer games,2000,5.5,"['action', 'crime', 'drama', 'thriller']"
m170,reservoir dogs,1992,8.4,"['crime', 'mystery', 'thriller']"
m185,smokey and the bandit,1977,6.6,"['action', 'comedy', 'crime', 'romance']"
m186,smokin' aces,2006,6.6,"['action', 'crime', 'drama', 'thriller']"
m188,someone to watch over me,1987,6.1,"['action', 'crime', 'drama', 'romance', 'thriller']"
m200,strange days,1995,7.1,"['action', 'crime', 'drama', 'fantasy', 'music', 'mystery', 'sci-fi', 'thriller']"
m201,suspect zero,2004,5.8,"['crime', 'horror', 'sci-fi', 'thriller']"
m203,the godfather,1972,9.2,"['crime', 'drama', 'thriller']"
m204,the talented mr. ripley,1999,7.2,"['crime', 'drama', 'thriller']"
m210,the crow: salvation,2000,4.7,"['action', 'crime', 'fantasy', 'mystery', 'thriller']"
m216,thelma & louise,1991,7.3,"['crime', 'drama', 'thriller']"
