mId,movieTitle,movieYear,rating,geners
m1,1492: conquest of paradise,1992,6.2,"['adventure', 'biography', 'drama', 'history']"
m2,15 minutes,2001,6.1,"['action', 'crime', 'drama', 'thriller']"
m4,48 hrs.,1982,6.9,"['action', 'comedy', 'crime', 'drama', 'thriller']"
m10,affliction,1997,6.9,"['drama', 'mystery', 'thriller']"
m11,air force one,1997,6.3,"['action', 'drama', 'thriller']"
m14,alien nation,1988,6.1,"['crime', 'drama', 'sci-fi', 'thriller']"
m16,amadeus,1984,8.4,"['biography', 'drama', 'music']"
m18,american madness,1932,7.4,['drama']
m20,american psycho,2000,7.4,"['drama', 'thriller']"
m21,antitrust,2001,6.0,"['drama', 'thriller']"
m25,backdraft,1991,6.6,"['action', 'crime', 'drama', 'mystery', 'thriller']"
m26,bad lieutenant,1992,6.9,"['crime', 'drama']"
m27,bamboozled,2000,6.3,"['comedy', 'drama', 'music']"
m28,barry lyndon,1975,8.1,"['drama', 'romance', 'war']"
m29,basic,2003,6.3,"['crime', 'drama', 'mystery', 'thriller']"
m30,big fish,2003,8.1,"['adventure', 'drama', 'fantasy']"
m32,black snake moan,2006,7.1,['drama']
m33,black rain,1989,6.4,"['action', 'crime', 'drama', 'thriller']"
m34,blade runner,1982,8.3,"['drama', 'sci-fi', 'thriller']"
m35,blast from the past,1999,6.4,"['comedy', 'drama', 'romance']"
m37,the boondock saints,1999,7.8,"['action', 'crime', 'drama', 'thriller']"
m40,braveheart,1995,8.4,"['action', 'biography', 'drama', 'history', 'war']"
m41,the butterfly effect,2004,7.8,"['drama', 'mystery', 'sci-fi', 'thriller']"
m42,casablanca,1942,8.8,"['drama', 'romance', 'war']"
m43,cast away,2000,7.5,"['adventure', 'drama']"
m44,the cider house rules,1999,7.5,"['drama', 'romance']"
m46,croupier,1998,7.2,"['crime', 'drama']"
m48,dark angel,1990,5.3,"['action', 'crime', 'drama', 'horror', 'sci-fi', 'thriller']"
m50,donnie darko,2001,8.3,"['drama', 'mystery', 'sci-fi']"
m53,the elephant man,1980,8.4,"['biography', 'drama', 'history']"
m55,eternal sunshine of the spotless mind,2004,8.5,"['drama', 'romance', 'sci-fi']"
m56,even cowgirls get the blues,1993,4.0,"['comedy', 'drama', 'romance', 'western']"
m59,fast times at ridgemont high,1982,7.2,"['comedy', 'drama', 'romance']"
m60,fear and loathing in las vegas,1998,7.6,"['drama', 'fantasy']"
m62,frances,1982,7.2,"['biography', 'drama']"
m63,frankenstein,1931,8.0,"['drama', 'horror', 'sci-fi']"
m66,g.i. jane,1997,5.6,"['action', 'drama']"
m69,george washington,2000,7.5,['drama']
m72,ghost world,2001,7.7,"['comedy', 'drama']"
m73,the ghost and the darkness,1996,6.6,"['adventure', 'drama', 'thriller']"
m76,gladiator,2000,8.4,"['action', 'adventure', 'drama']"
m77,the graduate,1967,8.2,"['comedy', 'drama', 'romance']"
m78,grand hotel,1932,7.7,"['drama', 'romance']"
m79,the grifters,1990,7.0,"['crime', 'drama', 'thriller']"
m80,halloween h20: 20 years later,1998,5.4,"['drama', 'horror', 'thriller']"
m82,"happy birthday, wanda june",1971,5.8,"['comedy', 'drama']"
m83,hardcore,1979,6.7,['drama']
m85,hellbound: hellraiser ii,1988,6.2,"['drama', 'horror', 'thriller']"
m88,high fidelity,2000,7.6,"['comedy', 'drama', 'music', 'romance']"
m90,his girl friday,1940,8.1,"['comedy', 'drama', 'romance']"
m91,hope and glory,1987,7.4,"['drama', 'war']"
m93,human nature,2001,6.3,"['comedy', 'drama']"
m94,the hustler,1961,8.2,"['drama', 'romance', 'sport']"
m95,i am legend,2007,7.1,"['drama', 'sci-fi', 'thriller']"
m101,the insider,1999,8.0,"['biography', 'drama', 'thriller']"
m104,jfk,1991,8.0,"['biography', 'drama', 'history', 'mystery', 'thriller']"
m105,jackie brown,1997,7.6,"['crime', 'drama', 'thriller']"
m106,jacob's ladder,1990,7.5,"['drama', 'mystery', 'thriller']"
m109,juno,2007,7.9,"['comedy', 'drama']"
m110,kalifornia,1993,6.7,"['crime', 'drama', 'thriller']"
m111,kids,1995,6.8,"['crime', 'drama']"
m114,léon,1994,8.6,"['crime', 'drama', 'thriller']"
m116,leaving las vegas,1995,7.6,"['drama', 'romance']"
m119,life as a house,2001,7.5,"['drama', 'romance']"
m120,the life of david gale,2003,7.3,"['drama', 'crime', 'thriller']"
m123,lost highway,1997,7.6,"['drama', 'horror', 'mystery', 'thriller']"
m124,lost horizon,1937,7.8,"['adventure', 'drama', 'fantasy', 'mystery']"
m126,minority report,2002,7.7,"['action', 'crime', 'mystery', 'sci-fi', 'thriller', 'action', 'animation', 'drama', 'mystery', 'sci-fi', 'thriller']"
m127,made,2001,6.4,"['comedy', 'crime', 'drama', 'thriller']"
m128,malcolm x,1992,7.7,"['biography', 'drama', 'history']"
m129,man on fire,2004,7.7,"['action', 'crime', 'drama', 'thriller']"
m130,marty,1955,7.7,"['drama', 'romance']"
m131,mash,1970,7.8,"['comedy', 'war', 'drama']"
m132,meet john doe,1941,7.7,"['comedy', 'drama', 'romance']"
m133,metro,1997,5.3,"['action', 'comedy', 'crime', 'drama', 'thriller']"
m134,metropolis,1927,8.4,"['adventure', 'drama', 'sci-fi']"
m136,mobsters,1991,5.5,"['crime', 'drama']"
m139,mr. smith goes to washington,1939,8.4,['drama']
m141,mumford,1999,6.8,"['comedy', 'drama']"
m146,nick of time,1995,6.2,"['crime', 'drama', 'thriller']"
m147,the night of the hunter,1955,8.2,"['drama', 'film-noir', 'thriller']"
m150,nixon,1995,7.1,"['biography', 'drama']"
m151,no country for old men,2007,8.3,"['crime', 'drama', 'mystery', 'thriller', 'western']"
m154,an officer and a gentleman,1982,6.8,"['drama', 'romance']"
m156,panther,1995,5.9,['drama']
m157,the patriot,2000,6.9,"['action', 'drama', 'war']"
m158,pet sematary,1989,6.3,"['drama', 'fantasy', 'horror', 'mystery', 'thriller']"
m160,plastic man,1999,6.7,['drama']
m162,pleasantville,1998,7.5,"['comedy', 'drama', 'fantasy']"
m163,punch-drunk love,2002,7.4,"['comedy', 'drama', 'romance']"
m164,quills,2000,7.3,"['biography', 'drama', 'history', 'romance']"
m165,rko 281,1999,7.1,"['biography', 'drama']"
m166,raging bull,1980,8.4,"['biography', 'drama', 'sport']"
m168,rebel without a cause,1955,7.9,"['drama', 'romance']"
m169,reindeer games,2000,5.5,"['action', 'crime', 'drama', 'thriller']"
m171,roughshod,1949,6.9,"['action', 'drama', 'romance', 'western']"
m174,the seventh victim,1943,6.9,"['drama', 'horror', 'thriller']"
m175,"sex, lies, and videotape",1989,7.1,['drama']
m178,sideways,2004,7.8,"['comedy', 'drama', 'romance']"
m179,signs,2002,6.9,"['drama', 'mystery', 'sci-fi', 'thriller']"
m181,simone,2010,8.3,"['short', 'drama', 'horror', 'thriller']"
m182,the sixth sense,1999,8.2,"['drama', 'mystery', 'thriller']"
m186,smokin' aces,2006,6.6,"['action', 'crime', 'drama', 'thriller']"
m187,solaris,2002,6.2,"['drama', 'mystery', 'romance', 'sci-fi']"
m188,someone to watch over me,1987,6.1,"['action', 'crime', 'drama', 'romance', 'thriller']"
m190,stalag 17,1953,8.2,"['drama', 'war']"
m199,starman,1984,6.9,"['adventure', 'drama', 'romance', 'sci-fi']"
m200,strange days,1995,7.1,"['action', 'crime', 'drama', 'fantasy', 'music', 'mystery', 'sci-fi', 'thriller']"
m202,swingers,1996,7.6,"['comedy', 'drama']"
m203,the godfather,1972,9.2,"['crime', 'drama', 'thriller']"
m204,the talented mr. ripley,1999,7.2,"['crime', 'drama', 'thriller']"
m205,taxi driver,1976,8.6,"['drama', 'thriller']"
m207,the majestic,2001,6.8,"['drama', 'romance']"
m209,the body snatcher,1945,7.4,"['drama', 'horror', 'thriller']"
m211,the day the earth stood still,2008,5.5,"['drama', 'sci-fi', 'thriller']"
m215,the jacket,2005,7.1,"['drama', 'fantasy', 'mystery', 'sci-fi', 'thriller']"
m216,thelma & louise,1991,7.3,"['crime', 'drama', 'thriller']"
m218,thirteen days,2000,7.3,"['drama', 'history', 'thriller']"
m220,top gun,1986,6.5,"['action', 'drama', 'romance']"
m223,true believer,1989,6.7,"['drama', 'crime']"
m224,twin peaks: fire walk with me,1992,7.0,"['drama', 'horror', 'mystery', 'thriller']"
m225,the verdict,1982,7.7,['drama']
m228,white squall,1996,6.4,"['adventure', 'drama']"
m230,wonder boys,2000,7.5,"['drama', 'comedy']"
m231,the woodsman,2004,7.4,['drama']
m232,the abyss,1989,7.6,"['action', 'adventure', 'drama', 'sci-fi', 'thriller']"
m233,l'avventura,1960,7.9,"['drama', 'mystery']"
m234,agnes of god,1985,6.5,"['drama', 'mystery', 'thriller']"
m238,all about eve,1950,8.5,['drama']
m239,all the president's men,1976,8.0,"['drama', 'history', 'thriller']"
m242,anastasia,1997,6.6,"['animation', 'adventure', 'drama', 'family', 'musical', 'animation', 'family']"
m243,annie hall,1977,8.3,"['comedy', 'drama', 'romance']"
m244,the anniversary party,2001,6.2,"['drama', 'comedy']"
m246,the apartment,1960,8.4,"['romance', 'comedy', 'drama']"
m247,apocalypse now,1979,8.6,"['drama', 'war']"
m249,as good as it gets,1997,7.8,"['comedy', 'drama', 'romance']"
m251,asylum,2005,6.1,"['drama', 'romance', 'thriller']"
m252,a walk to remember,2002,7.1,"['drama', 'romance']"
m254,badlands,1973,7.9,"['crime', 'drama', 'romance', 'thriller']"
m256,barton fink,1991,7.8,"['drama', 'mystery', 'thriller']"
m258,basquiat,1996,6.7,"['biography', 'drama']"
m260,batman and robin,1949,6.5,"['action', 'adventure', 'crime', 'drama', 'sci-fi']"
m262,batman,1989,7.6,"['crime', 'drama', 'thriller', 'action', 'adventure', 'crime']"
m266,being there,1979,8.0,"['drama', 'comedy']"
m267,being john malkovich,1999,7.9,"['comedy', 'drama', 'fantasy', 'romance']"
m268,beloved,1998,5.6,"['drama', 'mystery']"
m270,the black dahlia,2006,5.6,"['crime', 'drama', 'history', 'mystery', 'thriller']"
m274,blood simple.,1984,7.8,"['crime', 'drama', 'thriller']"
m276,blow,2001,7.4,"['biography', 'crime', 'drama']"
m277,la battaglia di algeri,1966,8.2,"['drama', 'history', 'war']"
m278,body of evidence,1993,4.1,"['drama', 'romance', 'thriller']"
m279,the bridges of madison county,1995,7.2,"['drama', 'romance']"
m281,bound,1996,7.5,"['crime', 'drama', 'thriller']"
m283,brazil,1985,8.0,"['drama', 'fantasy', 'sci-fi']"
m284,bringing out the dead,1999,6.8,"['drama', 'thriller']"
m285,broadcast news,1987,7.1,"['comedy', 'drama', 'romance']"
m289,casino,1995,8.1,"['biography', 'crime', 'drama']"
m292,the crying game,1992,7.3,"['drama', 'thriller']"
m296,chinatown,1974,8.5,"['crime', 'drama', 'mystery', 'thriller']"
m297,nuovo cinema paradiso,1988,8.5,"['comedy', 'drama', 'romance']"
m298,citizen kane,1941,8.6,"['drama', 'mystery']"
m301,a clockwork orange,1971,8.5,"['crime', 'drama', 'sci-fi']"
m302,collateral,2004,7.8,"['crime', 'drama', 'thriller']"
m304,contact,1997,7.4,"['drama', 'mystery', 'sci-fi', 'thriller']"
m305,cool hand luke,1967,8.3,"['crime', 'drama']"
m307,crash,2004,8.0,"['crime', 'drama']"
m312,cruel intentions,1999,6.7,"['drama', 'romance', 'thriller']"
m313,the curse of the cat people,1944,6.9,"['drama', 'fantasy', 'horror']"
m318,dead poets society,1989,7.8,['drama']
m320,the deer hunter,1978,8.2,"['drama', 'war']"
m322,the devil and daniel webster,2004,5.7,"['comedy', 'drama', 'fantasy']"
m324,dog day afternoon,1975,8.2,"['crime', 'drama']"
m325,domino,2005,5.9,"['action', 'crime', 'drama', 'thriller']"
m326,do the right thing,1989,7.9,['drama']
m329,ed wood,1994,8.1,"['biography', 'comedy', 'drama']"
m331,election,1999,7.4,"['comedy', 'drama']"
m332,l.a. confidential,1997,8.4,"['crime', 'drama', 'mystery', 'thriller']"
m333,enemy of the state,1998,7.2,"['action', 'drama', 'thriller']"
m334,the english patient,1996,7.3,"['romance', 'drama', 'war']"
m336,erin brockovich,2000,7.2,"['biography', 'drama', 'romance']"
m340,excalibur,1981,7.4,"['adventure', 'drama', 'fantasy']"
m342,the fabulous baker boys,1989,6.7,"['drama', 'music', 'romance']"
m343,face/off,1997,7.3,"['action', 'crime', 'drama', 'sci-fi', 'thriller']"
m344,the family man,2000,6.6,"['comedy', 'fantasy', 'drama', 'romance']"
m347,fargo,1996,8.3,"['crime', 'drama', 'thriller']"
m348,fight club,1999,8.8,"['crime', 'drama', 'mystery', 'thriller']"
m352,the fisher king,1991,7.5,"['comedy', 'drama', 'romance']"
m353,five easy pieces,1970,7.5,['drama']
m358,frequency,2000,7.3,"['crime', 'drama', 'sci-fi', 'thriller']"
m363,game 6,2005,6.0,"['comedy', 'drama', 'sport']"
m364,gandhi,1982,8.2,"['biography', 'drama', 'history']"
m365,gattaca,1997,7.8,"['drama', 'romance', 'sci-fi', 'thriller']"
m367,get carter,2000,4.8,"['action', 'crime', 'drama', 'thriller']"
m368,glengarry glen ross,1992,7.9,['drama']
m369,the godfather: part ii,1974,9.0,"['crime', 'drama', 'thriller']"
m370,gods and monsters,1998,7.5,"['biography', 'drama']"
m372,goodfellas,1990,8.8,"['crime', 'drama', 'thriller']"
m373,good will hunting,1997,8.1,['drama']
m374,the grapes of wrath,1940,8.3,['drama']
m376,the horse whisperer,1998,6.4,"['drama', 'romance', 'western']"
m377,hackers,1995,5.8,"['action', 'crime', 'drama', 'thriller']"
m380,hannah and her sisters,1986,7.9,"['comedy', 'drama', 'romance']"
m384,heavenly creatures,1994,7.6,"['crime', 'drama', 'fantasy', 'thriller']"
m386,hero,1992,6.3,"['comedy', 'drama']"
m389,hostage,2005,6.6,"['action', 'crime', 'drama', 'thriller']"
m390,hotel rwanda,2004,8.3,"['adventure', 'drama', 'history', 'thriller', 'war']"
m395,the hudsucker proxy,1994,7.4,"['comedy', 'drama', 'fantasy', 'romance']"
m397,the ice storm,1997,7.5,['drama']
m398,insomnia,2002,7.3,"['crime', 'drama', 'mystery', 'thriller']"
m399,interview with the vampire: the vampire chronicles,1994,7.4,"['drama', 'fantasy']"
m401,isle of the dead,1945,6.6,"['drama', 'horror', 'mystery', 'thriller']"
m402,it's a wonderful life,1946,8.7,"['drama', 'fantasy', 'romance']"
m406,the jazz singer,1927,6.8,"['drama', 'music', 'romance']"
m408,jerry maguire,1996,7.3,"['comedy', 'drama', 'romance', 'sport']"
m413,kafka,1991,6.9,"['comedy', 'drama', 'mystery', 'sci-fi', 'thriller']"
m414,king kong,2005,7.6,"['adventure', 'drama', 'romance']"
m416,kramer vs. kramer,1979,7.7,['drama']
m417,kundun,1997,7.1,"['biography', 'drama', 'history', 'war']"
m423,lone star,1996,7.6,"['drama', 'mystery', 'romance', 'western']"
m425,lost in translation,2003,7.9,"['drama', 'romance']"
m426,lost souls,2000,4.6,"['drama', 'horror', 'thriller', 'romance']"
m427,love & basketball,2000,6.7,"['drama', 'romance', 'sport']"
m428,magnolia,1999,8.0,['drama']
m429,the man in the iron mask,1998,6.1,"['action', 'adventure', 'drama', 'history']"
m432,man on the moon,1999,7.4,"['biography', 'comedy', 'drama']"
m435,meet joe black,1998,6.9,"['drama', 'fantasy', 'mystery', 'romance']"
m436,memento,2000,8.7,"['crime', 'drama', 'mystery', 'thriller']"
m437,miami vice,2006,6.0,"['action', 'crime', 'drama', 'thriller']"
m438,midnight cowboy,1969,8.0,['drama']
m439,midnight express,1978,7.6,"['biography', 'crime', 'drama', 'thriller']"
m440,mimic,1997,5.7,"['drama', 'horror', 'sci-fi']"
m444,moonstruck,1987,7.1,"['comedy', 'romance', 'drama']"
m446,mrs brown,1997,7.2,"['biography', 'drama', 'history', 'romance']"
m448,mulholland dr.,2001,8.0,"['drama', 'mystery', 'thriller']"
m449,murderland,2009,5.8,"['crime', 'drama', 'mystery']"
m450,my girl 2,1994,4.8,"['comedy', 'drama', 'family', 'romance']"
m451,my girl,1991,6.4,"['comedy', 'drama', 'family', 'romance']"
m453,nashville,1975,7.7,"['drama', 'music']"
m454,natural born killers,1994,7.1,"['action', 'crime', 'drama', 'romance', 'thriller']"
m455,nothing but a man,1964,7.8,"['drama', 'romance']"
m456,the negotiator,1998,7.2,"['action', 'crime', 'drama', 'mystery', 'thriller']"
m458,never been kissed,1999,5.7,"['comedy', 'drama', 'romance']"
m463,one flew over the cuckoo's nest,1975,8.9,['drama']
m465,on the waterfront,1954,8.4,"['crime', 'drama', 'romance']"
m468,pearl harbor,2001,5.4,"['action', 'drama', 'romance', 'war']"
m469,peggy sue got married,1986,6.3,"['comedy', 'drama', 'fantasy', 'romance']"
