mId,movieTitle,movieYear,rating,geners
m135,mighty morphin power rangers,1994,8.2,"['action', 'family']"
m144,napoleon,1995,5.5,"['family', 'adventure']"
m242,anastasia,1997,6.6,"['animation', 'adventure', 'drama', 'family', 'musical', 'animation', 'family']"
m245,antz,1998,6.8,"['animation', 'adventure', 'comedy', 'family']"
m253,back to the future,1985,8.4,"['adventure', 'family', 'sci-fi']"
m263,bean,1997,5.8,"['comedy', 'family']"
m411,jurassic park,1993,7.9,"['action', 'adventure', 'family', 'sci-fi', 'action', 'adventure', 'fantasy', 'sci-fi']"
m450,my girl 2,1994,4.8,"['comedy', 'drama', 'family', 'romance']"
m451,my girl,1991,6.4,"['comedy', 'drama', 'family', 'romance']"
m459,the nightmare before christmas,1993,8.0,"['animation', 'family', 'fantasy', 'musical']"
m480,the princess bride,1987,8.1,"['adventure', 'comedy', 'family', 'fantasy', 'romance']"
m492,who framed roger rabbit,1988,7.6,"['animation', 'comedy', 'crime', 'family', 'fantasy', 'mystery', 'animation', 'adventure', 'action', 'fantasy']"
m543,superman iv: the quest for peace,1987,3.4,"['action', 'adventure', 'family', 'fantasy', 'sci-fi']"
m544,superman,1978,7.3,"['action', 'family', 'sci-fi']"
m579,toy story,1995,8.2,"['animation', 'adventure', 'comedy', 'family', 'fantasy']"
m610,the wizard of oz,1939,8.3,"['adventure', 'family', 'fantasy', 'musical']"
