mId,movieTitle,movieYear,rating,geners
m7,a nightmare on elm street 4: the dream master,1988,5.2,"['fantasy', 'horror', 'thriller']"
m8,a nightmare on elm street: the dream child,1989,4.7,"['fantasy', 'horror', 'thriller']"
m30,big fish,2003,8.1,"['adventure', 'drama', 'fantasy']"
m54,erik the viking,1989,5.9,"['comedy', 'adventure', 'fantasy']"
m58,fantastic four,2005,5.7,"['action', 'adventure', 'fantasy', 'sci-fi', 'fantasy']"
m60,fear and loathing in las vegas,1998,7.6,"['drama', 'fantasy']"
m74,ghostbusters ii,1989,6.1,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'action', 'adventure', 'comedy', 'sci-fi']"
m75,ghostbusters,1986,6.9,"['animation', 'comedy', 'fantasy', 'sci-fi', 'horror']"
m86,hellboy,2004,6.8,"['action', 'adventure', 'fantasy']"
m89,highlander,1986,7.2,"['action', 'fantasy']"
m98,indiana jones and the last crusade,1989,8.3,"['action', 'adventure', 'thriller', 'action', 'adventure', 'fantasy']"
m113,krull,1983,5.9,"['fantasy', 'action', 'adventure', 'sci-fi']"
m118,legend,1985,6.2,"['fantasy', 'adventure', 'romance']"
m121,little nicky,2000,5.0,"['fantasy', 'comedy', 'romance', 'animation', 'comedy', 'fantasy', 'horror']"
m124,lost horizon,1937,7.8,"['adventure', 'drama', 'fantasy', 'mystery']"
m137,monkeybone,2001,4.5,"['animation', 'comedy', 'fantasy', 'romance']"
m142,the mummy,1999,6.9,"['action', 'adventure', 'fantasy']"
m143,mystery men,1999,5.9,"['action', 'comedy', 'fantasy']"
m158,pet sematary,1989,6.3,"['drama', 'fantasy', 'horror', 'mystery', 'thriller']"
m159,pirates of the caribbean,2003,7.2,"['adventure', 'fantasy', 'horror']"
m162,pleasantville,1998,7.5,"['comedy', 'drama', 'fantasy']"
m189,spider-man,2002,7.4,"['action', 'adventure', 'fantasy', 'sci-fi', 'action', 'adventure', 'sci-fi', 'thriller']"
m200,strange days,1995,7.1,"['action', 'crime', 'drama', 'fantasy', 'music', 'mystery', 'sci-fi', 'thriller']"
m210,the crow: salvation,2000,4.7,"['action', 'crime', 'fantasy', 'mystery', 'thriller']"
m212,the lost boys,1987,7.0,"['comedy', 'fantasy', 'horror', 'thriller']"
m215,the jacket,2005,7.1,"['drama', 'fantasy', 'mystery', 'sci-fi', 'thriller']"
m227,new nightmare,1994,6.3,"['fantasy', 'horror', 'mystery', 'thriller']"
m259,batman returns,1992,6.9,"['action', 'crime', 'fantasy', 'thriller', 'animation', 'crime', 'fantasy', 'action', 'thriller']"
m261,batman forever,1995,5.4,"['action', 'crime', 'fantasy', 'thriller']"
m265,beetle juice,1988,7.3,"['comedy', 'fantasy']"
m267,being john malkovich,1999,7.9,"['comedy', 'drama', 'fantasy', 'romance']"
m271,blade ii,2002,6.6,"['action', 'fantasy', 'horror', 'thriller', 'action', 'adventure', 'horror']"
m272,blade,1998,7.0,"['action', 'adventure', 'fantasy', 'horror', 'thriller']"
m283,brazil,1985,8.0,"['drama', 'fantasy', 'sci-fi']"
m290,catwoman,2004,3.2,"['action', 'crime', 'fantasy']"
m311,the crow,1994,7.6,"['action', 'crime', 'fantasy', 'thriller']"
m313,the curse of the cat people,1944,6.9,"['drama', 'fantasy', 'horror']"
m322,the devil and daniel webster,2004,5.7,"['comedy', 'drama', 'fantasy']"
m337,star wars: the empire strikes back,1982,8.0,"['animation', 'adventure', 'action', 'fantasy']"
m340,excalibur,1981,7.4,"['adventure', 'drama', 'fantasy']"
m344,the family man,2000,6.6,"['comedy', 'fantasy', 'drama', 'romance']"
m345,the fantastic four,1994,3.8,"['action', 'adventure', 'sci-fi', 'fantasy']"
m384,heavenly creatures,1994,7.6,"['crime', 'drama', 'fantasy', 'thriller']"
m388,highlander iii: the sorcerer,1994,3.9,"['fantasy', 'sci-fi', 'action']"
m395,the hudsucker proxy,1994,7.4,"['comedy', 'drama', 'fantasy', 'romance']"
m399,interview with the vampire: the vampire chronicles,1994,7.4,"['drama', 'fantasy']"
m402,it's a wonderful life,1946,8.7,"['drama', 'fantasy', 'romance']"
m411,jurassic park,1993,7.9,"['action', 'adventure', 'family', 'sci-fi', 'action', 'adventure', 'fantasy', 'sci-fi']"
m424,lord of illusions,1995,5.6,"['fantasy', 'horror', 'mystery', 'thriller']"
