mId,movieTitle,movieYear,rating,geners
m1,1492: conquest of paradise,1992,6.2,"['adventure', 'biography', 'drama', 'history']"
m40,braveheart,1995,8.4,"['action', 'biography', 'drama', 'history', 'war']"
m53,the elephant man,1980,8.4,"['biography', 'drama', 'history']"
m104,jfk,1991,8.0,"['biography', 'drama', 'history', 'mystery', 'thriller']"
m128,malcolm x,1992,7.7,"['biography', 'drama', 'history']"
m164,quills,2000,7.3,"['biography', 'drama', 'history', 'romance']"
m218,thirteen days,2000,7.3,"['drama', 'history', 'thriller']"
m239,all the president's men,1976,8.0,"['drama', 'history', 'thriller']"
m270,the black dahlia,2006,5.6,"['crime', 'drama', 'history', 'mystery', 'thriller']"
m277,la battaglia di algeri,1966,8.2,"['drama', 'history', 'war']"
m364,gandhi,1982,8.2,"['biography', 'drama', 'history']"
m390,hotel rwanda,2004,8.3,"['adventure', 'drama', 'history', 'thriller', 'war']"
m417,kundun,1997,7.1,"['biography', 'drama', 'history', 'war']"
m429,the man in the iron mask,1998,6.1,"['action', 'adventure', 'drama', 'history']"
m446,mrs brown,1997,7.2,"['biography', 'drama', 'history', 'romance']"
m500,salt of the earth,1954,7.6,"['drama', 'history']"
m502,saving private ryan,1998,8.5,"['action', 'drama', 'history', 'war']"
m504,schindler's list,1993,8.9,"['biography', 'drama', 'history', 'war']"
m574,titanic,1997,7.4,"['drama', 'history', 'romance']"
m576,tombstone,1993,7.7,"['action', 'drama', 'history', 'romance', 'western']"
m616,zulu dawn,1979,6.4,"['action', 'adventure', 'drama', 'history', 'war']"
