mId,movieTitle,movieYear,rating,geners
m7,a nightmare on elm street 4: the dream master,1988,5.2,"['fantasy', 'horror', 'thriller']"
m8,a nightmare on elm street: the dream child,1989,4.7,"['fantasy', 'horror', 'thriller']"
m17,an american werewolf in london,1981,7.5,"['horror', 'romance']"
m48,dark angel,1990,5.3,"['action', 'crime', 'drama', 'horror', 'sci-fi', 'thriller']"
m57,event horizon,1997,6.4,"['horror', 'mystery', 'mystery', 'sci-fi', 'sci-fi']"
m61,feast,2005,6.4,"['action', 'comedy', 'horror', 'thriller']"
m63,frankenstein,1931,8.0,"['drama', 'horror', 'sci-fi']"
m64,friday the 13th,2009,5.6,['horror']
m65,from dusk till dawn,1996,7.1,"['action', 'crime', 'horror', 'thriller']"
m67,godzilla,1998,4.9,"['action', 'horror', 'sci-fi', 'thriller']"
m71,ghost ship,2002,5.3,"['horror', 'mystery', 'thriller']"
m75,ghostbusters,1986,6.9,"['animation', 'comedy', 'fantasy', 'sci-fi', 'horror']"
m80,halloween h20: 20 years later,1998,5.4,"['drama', 'horror', 'thriller']"
m81,halloween: the curse of michael myers,1995,4.5,"['horror', 'thriller']"
m85,hellbound: hellraiser ii,1988,6.2,"['drama', 'horror', 'thriller']"
m87,hellraiser,1987,7.0,['horror']
m92,house of 1000 corpses,2003,5.6,['horror']
m96,invaders from mars,1953,6.4,"['horror', 'sci-fi']"
m107,jason x,2001,4.4,"['horror', 'sci-fi']"
m121,little nicky,2000,5.0,"['fantasy', 'comedy', 'romance', 'animation', 'comedy', 'fantasy', 'horror']"
m123,lost highway,1997,7.6,"['drama', 'horror', 'mystery', 'thriller']"
m148,a nightmare on elm street,1984,7.4,['horror']
m158,pet sematary,1989,6.3,"['drama', 'fantasy', 'horror', 'mystery', 'thriller']"
m159,pirates of the caribbean,2003,7.2,"['adventure', 'fantasy', 'horror']"
m174,the seventh victim,1943,6.9,"['drama', 'horror', 'thriller']"
m176,shivers,1975,6.5,"['horror', 'sci-fi']"
m181,simone,2010,8.3,"['short', 'drama', 'horror', 'thriller']"
m183,slash,2002,4.2,"['comedy', 'horror', 'thriller']"
m184,slither,2006,6.6,"['comedy', 'horror', 'sci-fi']"
m201,suspect zero,2004,5.8,"['crime', 'horror', 'sci-fi', 'thriller']"
m208,the birds,1963,7.9,"['horror', 'romance', 'thriller']"
m209,the body snatcher,1945,7.4,"['drama', 'horror', 'thriller']"
m212,the lost boys,1987,7.0,"['comedy', 'fantasy', 'horror', 'thriller']"
m213,the thing,1982,8.2,"['horror', 'mystery', 'sci-fi', 'thriller']"
m222,tremors,1990,7.1,"['action', 'comedy', 'horror', 'thriller']"
m224,twin peaks: fire walk with me,1992,7.0,"['drama', 'horror', 'mystery', 'thriller']"
m226,the war of the worlds,1953,7.1,"['action', 'horror', 'sci-fi', 'thriller']"
m227,new nightmare,1994,6.3,"['fantasy', 'horror', 'mystery', 'thriller']"
m236,alien,1979,8.5,"['adventure', 'horror', 'sci-fi', 'thriller']"
m241,an american werewolf in paris,1997,4.9,"['horror', 'romance', 'thriller', 'comedy']"
m271,blade ii,2002,6.6,"['action', 'fantasy', 'horror', 'thriller', 'action', 'adventure', 'horror']"
m272,blade,1998,7.0,"['action', 'adventure', 'fantasy', 'horror', 'thriller']"
m273,book of shadows: blair witch 2,2000,4.1,"['crime', 'horror', 'mystery', 'thriller']"
m280,bones,2001,4.0,"['crime', 'horror']"
m286,a bucket of blood,1959,6.8,"['comedy', 'horror']"
m287,buffy the vampire slayer,1992,5.3,"['horror', 'comedy', 'action']"
m294,cherry falls,2000,4.8,"['horror', 'mystery', 'thriller']"
m313,the curse of the cat people,1944,6.9,"['drama', 'fantasy', 'horror']"
m314,the curse,1987,4.5,"['sci-fi', 'horror']"
m317,day of the dead,1985,7.0,"['horror', 'sci-fi']"
m319,deep rising,1998,5.7,"['action', 'horror', 'sci-fi', 'thriller']"
m341,the exorcist,1973,8.1,"['horror', 'thriller']"
m349,final destination 2,2003,6.4,"['horror', 'thriller']"
m350,final destination,2000,6.8,"['horror', 'thriller']"
m359,friday the 13th part iii,1982,5.1,['horror']
m360,jason lives: friday the 13th part vi,1986,5.3,"['comedy', 'horror', 'thriller']"
m361,jason goes to hell: the final friday,1993,4.1,"['horror', 'thriller']"
