mId,movieTitle,movieYear,rating,geners
m16,amadeus,1984,8.4,"['biography', 'drama', 'music']"
m27,bamboozled,2000,6.3,"['comedy', 'drama', 'music']"
m49,detroit rock city,1999,6.5,"['comedy', 'music']"
m88,high fidelity,2000,7.6,"['comedy', 'drama', 'music', 'romance']"
m153,"o brother, where art thou?",2000,7.8,"['comedy', 'adventure', 'crime', 'music']"
m200,strange days,1995,7.1,"['action', 'crime', 'drama', 'fantasy', 'music', 'mystery', 'sci-fi', 'thriller']"
m235,a hard day's night,1964,7.6,"['comedy', 'music']"
m342,the fabulous baker boys,1989,6.7,"['drama', 'music', 'romance']"
m356,the adventures of ford fairlane,1990,5.6,"['action', 'adventure', 'comedy', 'music']"
m406,the jazz singer,1927,6.8,"['drama', 'music', 'romance']"
m453,nashville,1975,7.7,"['drama', 'music']"
m516,sister act,1992,5.9,"['comedy', 'crime', 'music']"
m548,taking sides,2001,7.2,"['drama', 'music', 'war']"
