mId,movieTitle,movieYear,rating,geners
m3,2001: a space odyssey,1968,8.4,"['adventure', 'mystery', 'sci-fi']"
m6,8mm,1999,6.3,"['crime', 'mystery', 'thriller']"
m10,affliction,1997,6.9,"['drama', 'mystery', 'thriller']"
m25,backdraft,1991,6.6,"['action', 'crime', 'drama', 'mystery', 'thriller']"
m29,basic,2003,6.3,"['crime', 'drama', 'mystery', 'thriller']"
m36,blue velvet,1986,7.8,"['crime', 'mystery', 'thriller']"
m39,the bourne supremacy,2004,7.6,"['action', 'adventure', 'mystery', 'thriller']"
m41,the butterfly effect,2004,7.8,"['drama', 'mystery', 'sci-fi', 'thriller']"
m50,donnie darko,2001,8.3,"['drama', 'mystery', 'sci-fi']"
m57,event horizon,1997,6.4,"['horror', 'mystery', 'mystery', 'sci-fi', 'sci-fi']"
m71,ghost ship,2002,5.3,"['horror', 'mystery', 'thriller']"
m104,jfk,1991,8.0,"['biography', 'drama', 'history', 'mystery', 'thriller']"
m106,jacob's ladder,1990,7.5,"['drama', 'mystery', 'thriller']"
m112,knight moves,1992,5.8,"['mystery', 'thriller']"
m123,lost highway,1997,7.6,"['drama', 'horror', 'mystery', 'thriller']"
m124,lost horizon,1937,7.8,"['adventure', 'drama', 'fantasy', 'mystery']"
m126,minority report,2002,7.7,"['action', 'crime', 'mystery', 'sci-fi', 'thriller', 'action', 'animation', 'drama', 'mystery', 'sci-fi', 'thriller']"
m151,no country for old men,2007,8.3,"['crime', 'drama', 'mystery', 'thriller', 'western']"
m158,pet sematary,1989,6.3,"['drama', 'fantasy', 'horror', 'mystery', 'thriller']"
m167,rear window,1954,8.7,"['crime', 'mystery', 'romance', 'thriller']"
m170,reservoir dogs,1992,8.4,"['crime', 'mystery', 'thriller']"
m179,signs,2002,6.9,"['drama', 'mystery', 'sci-fi', 'thriller']"
m182,the sixth sense,1999,8.2,"['drama', 'mystery', 'thriller']"
m187,solaris,2002,6.2,"['drama', 'mystery', 'romance', 'sci-fi']"
m191,star trek: generations,1994,6.5,"['action', 'mystery', 'sci-fi', 'thriller']"
m197,star trek vi: the undiscovered country,1991,7.2,"['action', 'mystery', 'sci-fi', 'thriller']"
m200,strange days,1995,7.1,"['action', 'crime', 'drama', 'fantasy', 'music', 'mystery', 'sci-fi', 'thriller']"
m210,the crow: salvation,2000,4.7,"['action', 'crime', 'fantasy', 'mystery', 'thriller']"
m213,the thing,1982,8.2,"['horror', 'mystery', 'sci-fi', 'thriller']"
m215,the jacket,2005,7.1,"['drama', 'fantasy', 'mystery', 'sci-fi', 'thriller']"
m219,thunderheart,1992,6.6,"['crime', 'mystery', 'thriller', 'western']"
m224,twin peaks: fire walk with me,1992,7.0,"['drama', 'horror', 'mystery', 'thriller']"
m227,new nightmare,1994,6.3,"['fantasy', 'horror', 'mystery', 'thriller']"
m233,l'avventura,1960,7.9,"['drama', 'mystery']"
m234,agnes of god,1985,6.5,"['drama', 'mystery', 'thriller']"
m256,barton fink,1991,7.8,"['drama', 'mystery', 'thriller']"
m257,basic instinct,1992,6.9,"['mystery', 'romance', 'thriller']"
m268,beloved,1998,5.6,"['drama', 'mystery']"
m269,the big lebowski,1998,8.2,"['comedy', 'crime', 'mystery']"
m270,the black dahlia,2006,5.6,"['crime', 'drama', 'history', 'mystery', 'thriller']"
