mId,movieTitle,movieYear,rating,geners
m0,10 things i hate about you,1999,6.9,"['comedy', 'romance']"
m5,the fifth element,1997,7.5,"['action', 'adventure', 'romance', 'sci-fi', 'thriller']"
m12,airplane ii: the sequel,1982,5.8,"['comedy', 'romance', 'sci-fi']"
m13,airplane!,1980,7.8,"['comedy', 'romance']"
m17,an american werewolf in london,1981,7.5,"['horror', 'romance']"
m24,bachelor party,1984,5.9,"['comedy', 'romance']"
m28,barry lyndon,1975,8.1,"['drama', 'romance', 'war']"
m31,birthday girl,2001,6.0,"['comedy', 'crime', 'romance', 'thriller']"
m35,blast from the past,1999,6.4,"['comedy', 'drama', 'romance']"
m42,casablanca,1942,8.8,"['drama', 'romance', 'war']"
m44,the cider house rules,1999,7.5,"['drama', 'romance']"
m55,eternal sunshine of the spotless mind,2004,8.5,"['drama', 'romance', 'sci-fi']"
m56,even cowgirls get the blues,1993,4.0,"['comedy', 'drama', 'romance', 'western']"
m59,fast times at ridgemont high,1982,7.2,"['comedy', 'drama', 'romance']"
m77,the graduate,1967,8.2,"['comedy', 'drama', 'romance']"
m78,grand hotel,1932,7.7,"['drama', 'romance']"
m84,harold and maude,1971,8.1,"['comedy', 'romance']"
m88,high fidelity,2000,7.6,"['comedy', 'drama', 'music', 'romance']"
m90,his girl friday,1940,8.1,"['comedy', 'drama', 'romance']"
m94,the hustler,1961,8.2,"['drama', 'romance', 'sport']"
m102,intolerable cruelty,2003,6.4,"['comedy', 'romance', 'crime']"
m103,it happened one night,1934,8.3,"['comedy', 'romance']"
m116,leaving las vegas,1995,7.6,"['drama', 'romance']"
m118,legend,1985,6.2,"['fantasy', 'adventure', 'romance']"
m119,life as a house,2001,7.5,"['drama', 'romance']"
m121,little nicky,2000,5.0,"['fantasy', 'comedy', 'romance', 'animation', 'comedy', 'fantasy', 'horror']"
m130,marty,1955,7.7,"['drama', 'romance']"
m132,meet john doe,1941,7.7,"['comedy', 'drama', 'romance']"
m137,monkeybone,2001,4.5,"['animation', 'comedy', 'fantasy', 'romance']"
m140,mr. deeds goes to town,1936,8.0,"['comedy', 'romance']"
m149,ninotchka,1939,7.9,"['comedy', 'romance']"
m152,nurse betty,2000,6.4,"['comedy', 'crime', 'romance', 'thriller']"
m154,an officer and a gentleman,1982,6.8,"['drama', 'romance']"
m161,platinum blonde,1931,6.9,"['comedy', 'romance']"
m163,punch-drunk love,2002,7.4,"['comedy', 'drama', 'romance']"
m164,quills,2000,7.3,"['biography', 'drama', 'history', 'romance']"
m167,rear window,1954,8.7,"['crime', 'mystery', 'romance', 'thriller']"
m168,rebel without a cause,1955,7.9,"['drama', 'romance']"
m171,roughshod,1949,6.9,"['action', 'drama', 'romance', 'western']"
m178,sideways,2004,7.8,"['comedy', 'drama', 'romance']"
m185,smokey and the bandit,1977,6.6,"['action', 'comedy', 'crime', 'romance']"
m187,solaris,2002,6.2,"['drama', 'mystery', 'romance', 'sci-fi']"
m188,someone to watch over me,1987,6.1,"['action', 'crime', 'drama', 'romance', 'thriller']"
m199,starman,1984,6.9,"['adventure', 'drama', 'romance', 'sci-fi']"
m207,the majestic,2001,6.8,"['drama', 'romance']"
m208,the birds,1963,7.9,"['horror', 'romance', 'thriller']"
m217,there's something about mary,1998,7.2,"['comedy', 'romance']"
m220,top gun,1986,6.5,"['action', 'drama', 'romance']"
m229,wild at heart,1990,7.2,"['crime', 'romance', 'thriller']"
m240,american pie,1999,6.9,"['comedy', 'romance']"
m241,an american werewolf in paris,1997,4.9,"['horror', 'romance', 'thriller', 'comedy']"
m243,annie hall,1977,8.3,"['comedy', 'drama', 'romance']"
m246,the apartment,1960,8.4,"['romance', 'comedy', 'drama']"
m249,as good as it gets,1997,7.8,"['comedy', 'drama', 'romance']"
m251,asylum,2005,6.1,"['drama', 'romance', 'thriller']"
m252,a walk to remember,2002,7.1,"['drama', 'romance']"
m254,badlands,1973,7.9,"['crime', 'drama', 'romance', 'thriller']"
m255,the adventures of buckaroo banzai across the 8th dimension,1984,6.0,"['adventure', 'romance', 'comedy', 'sci-fi']"
m257,basic instinct,1992,6.9,"['mystery', 'romance', 'thriller']"
m267,being john malkovich,1999,7.9,"['comedy', 'drama', 'fantasy', 'romance']"
m278,body of evidence,1993,4.1,"['drama', 'romance', 'thriller']"
m279,the bridges of madison county,1995,7.2,"['drama', 'romance']"
m285,broadcast news,1987,7.1,"['comedy', 'drama', 'romance']"
m288,bull durham,1988,7.0,"['comedy', 'romance', 'sport']"
m293,charade,1963,8.0,"['comedy', 'mystery', 'romance', 'thriller']"
m297,nuovo cinema paradiso,1988,8.5,"['comedy', 'drama', 'romance']"
m303,conspiracy theory,1997,6.5,"['action', 'crime', 'mystery', 'romance', 'thriller']"
m312,cruel intentions,1999,6.7,"['drama', 'romance', 'thriller']"
m316,dave,1993,6.8,"['comedy', 'romance']"
m334,the english patient,1996,7.3,"['romance', 'drama', 'war']"
m335,entrapment,1999,6.1,"['action', 'crime', 'romance', 'thriller']"
m336,erin brockovich,2000,7.2,"['biography', 'drama', 'romance']"
m342,the fabulous baker boys,1989,6.7,"['drama', 'music', 'romance']"
m344,the family man,2000,6.6,"['comedy', 'fantasy', 'drama', 'romance']"
m352,the fisher king,1991,7.5,"['comedy', 'drama', 'romance']"
m365,gattaca,1997,7.8,"['drama', 'romance', 'sci-fi', 'thriller']"
m375,grosse pointe blank,1997,7.4,"['comedy', 'crime', 'romance', 'thriller']"
m376,the horse whisperer,1998,6.4,"['drama', 'romance', 'western']"
m380,hannah and her sisters,1986,7.9,"['comedy', 'drama', 'romance']"
m395,the hudsucker proxy,1994,7.4,"['comedy', 'drama', 'fantasy', 'romance']"
m402,it's a wonderful life,1946,8.7,"['drama', 'fantasy', 'romance']"
m406,the jazz singer,1927,6.8,"['drama', 'music', 'romance']"
m408,jerry maguire,1996,7.3,"['comedy', 'drama', 'romance', 'sport']"
m414,king kong,2005,7.6,"['adventure', 'drama', 'romance']"
m415,klute,1971,7.2,"['mystery', 'romance', 'thriller']"
m423,lone star,1996,7.6,"['drama', 'mystery', 'romance', 'western']"
m425,lost in translation,2003,7.9,"['drama', 'romance']"
m426,lost souls,2000,4.6,"['drama', 'horror', 'thriller', 'romance']"
m427,love & basketball,2000,6.7,"['drama', 'romance', 'sport']"
m435,meet joe black,1998,6.9,"['drama', 'fantasy', 'mystery', 'romance']"
m444,moonstruck,1987,7.1,"['comedy', 'romance', 'drama']"
m446,mrs brown,1997,7.2,"['biography', 'drama', 'history', 'romance']"
m450,my girl 2,1994,4.8,"['comedy', 'drama', 'family', 'romance']"
m451,my girl,1991,6.4,"['comedy', 'drama', 'family', 'romance']"
m452,my best friend's wedding,1997,6.2,"['comedy', 'romance']"
m454,natural born killers,1994,7.1,"['action', 'crime', 'drama', 'romance', 'thriller']"
