mId,movieTitle,movieYear,rating,geners
m3,2001: a space odyssey,1968,8.4,"['adventure', 'mystery', 'sci-fi']"
m5,the fifth element,1997,7.5,"['action', 'adventure', 'romance', 'sci-fi', 'thriller']"
m9,the atomic submarine,1959,4.9,"['sci-fi', 'thriller']"
m12,airplane ii: the sequel,1982,5.8,"['comedy', 'romance', 'sci-fi']"
m14,alien nation,1988,6.1,"['crime', 'drama', 'sci-fi', 'thriller']"
m15,aliens,1986,8.5,"['action', 'sci-fi', 'thriller']"
m34,blade runner,1982,8.3,"['drama', 'sci-fi', 'thriller']"
m41,the butterfly effect,2004,7.8,"['drama', 'mystery', 'sci-fi', 'thriller']"
m47,dark star,1974,6.5,"['comedy', 'sci-fi', 'thriller']"
m48,dark angel,1990,5.3,"['action', 'crime', 'drama', 'horror', 'sci-fi', 'thriller']"
m50,donnie darko,2001,8.3,"['drama', 'mystery', 'sci-fi']"
m55,eternal sunshine of the spotless mind,2004,8.5,"['drama', 'romance', 'sci-fi']"
m57,event horizon,1997,6.4,"['horror', 'mystery', 'mystery', 'sci-fi', 'sci-fi']"
m58,fantastic four,2005,5.7,"['action', 'adventure', 'fantasy', 'sci-fi', 'fantasy']"
m63,frankenstein,1931,8.0,"['drama', 'horror', 'sci-fi']"
m67,godzilla,1998,4.9,"['action', 'horror', 'sci-fi', 'thriller']"
m68,galaxy quest,1999,7.2,"['action', 'adventure', 'comedy', 'sci-fi']"
m74,ghostbusters ii,1989,6.1,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'action', 'adventure', 'comedy', 'sci-fi']"
m75,ghostbusters,1986,6.9,"['animation', 'comedy', 'fantasy', 'sci-fi', 'horror']"
m95,i am legend,2007,7.1,"['drama', 'sci-fi', 'thriller']"
m96,invaders from mars,1953,6.4,"['horror', 'sci-fi']"
m97,independence day,1996,6.6,"['action', 'adventure', 'sci-fi', 'thriller']"
m100,innerspace,1987,6.5,"['action', 'adventure', 'comedy', 'crime', 'sci-fi']"
m107,jason x,2001,4.4,"['horror', 'sci-fi']"
m113,krull,1983,5.9,"['fantasy', 'action', 'adventure', 'sci-fi']"
m122,logan's run,1976,6.7,"['action', 'sci-fi']"
m125,men in black,1997,7.0,"['action', 'adventure', 'comedy', 'sci-fi']"
m126,minority report,2002,7.7,"['action', 'crime', 'mystery', 'sci-fi', 'thriller', 'action', 'animation', 'drama', 'mystery', 'sci-fi', 'thriller']"
m134,metropolis,1927,8.4,"['adventure', 'drama', 'sci-fi']"
m176,shivers,1975,6.5,"['horror', 'sci-fi']"
m179,signs,2002,6.9,"['drama', 'mystery', 'sci-fi', 'thriller']"
m184,slither,2006,6.6,"['comedy', 'horror', 'sci-fi']"
m187,solaris,2002,6.2,"['drama', 'mystery', 'romance', 'sci-fi']"
