mId,movieTitle,movieYear,rating,geners
m2,15 minutes,2001,6.1,"['action', 'crime', 'drama', 'thriller']"
m4,48 hrs.,1982,6.9,"['action', 'comedy', 'crime', 'drama', 'thriller']"
m5,the fifth element,1997,7.5,"['action', 'adventure', 'romance', 'sci-fi', 'thriller']"
m6,8mm,1999,6.3,"['crime', 'mystery', 'thriller']"
m7,a nightmare on elm street 4: the dream master,1988,5.2,"['fantasy', 'horror', 'thriller']"
m8,a nightmare on elm street: the dream child,1989,4.7,"['fantasy', 'horror', 'thriller']"
m9,the atomic submarine,1959,4.9,"['sci-fi', 'thriller']"
m10,affliction,1997,6.9,"['drama', 'mystery', 'thriller']"
m11,air force one,1997,6.3,"['action', 'drama', 'thriller']"
m14,alien nation,1988,6.1,"['crime', 'drama', 'sci-fi', 'thriller']"
m15,aliens,1986,8.5,"['action', 'sci-fi', 'thriller']"
m20,american psycho,2000,7.4,"['drama', 'thriller']"
m21,antitrust,2001,6.0,"['drama', 'thriller']"
m23,the avengers,1998,3.4,"['action', 'adventure', 'thriller']"
m25,backdraft,1991,6.6,"['action', 'crime', 'drama', 'mystery', 'thriller']"
m29,basic,2003,6.3,"['crime', 'drama', 'mystery', 'thriller']"
m31,birthday girl,2001,6.0,"['comedy', 'crime', 'romance', 'thriller']"
m33,black rain,1989,6.4,"['action', 'crime', 'drama', 'thriller']"
m34,blade runner,1982,8.3,"['drama', 'sci-fi', 'thriller']"
m36,blue velvet,1986,7.8,"['crime', 'mystery', 'thriller']"
m37,the boondock saints,1999,7.8,"['action', 'crime', 'drama', 'thriller']"
m39,the bourne supremacy,2004,7.6,"['action', 'adventure', 'mystery', 'thriller']"
m41,the butterfly effect,2004,7.8,"['drama', 'mystery', 'sci-fi', 'thriller']"
m45,confidence,2003,6.8,"['crime', 'thriller']"
m47,dark star,1974,6.5,"['comedy', 'sci-fi', 'thriller']"
m48,dark angel,1990,5.3,"['action', 'crime', 'drama', 'horror', 'sci-fi', 'thriller']"
m61,feast,2005,6.4,"['action', 'comedy', 'horror', 'thriller']"
m65,from dusk till dawn,1996,7.1,"['action', 'crime', 'horror', 'thriller']"
m67,godzilla,1998,4.9,"['action', 'horror', 'sci-fi', 'thriller']"
m70,get shorty,1995,6.9,"['comedy', 'crime', 'thriller']"
m71,ghost ship,2002,5.3,"['horror', 'mystery', 'thriller']"
m73,the ghost and the darkness,1996,6.6,"['adventure', 'drama', 'thriller']"
m79,the grifters,1990,7.0,"['crime', 'drama', 'thriller']"
m80,halloween h20: 20 years later,1998,5.4,"['drama', 'horror', 'thriller']"
m81,halloween: the curse of michael myers,1995,4.5,"['horror', 'thriller']"
m85,hellbound: hellraiser ii,1988,6.2,"['drama', 'horror', 'thriller']"
m95,i am legend,2007,7.1,"['drama', 'sci-fi', 'thriller']"
m97,independence day,1996,6.6,"['action', 'adventure', 'sci-fi', 'thriller']"
m98,indiana jones and the last crusade,1989,8.3,"['action', 'adventure', 'thriller', 'action', 'adventure', 'fantasy']"
m101,the insider,1999,8.0,"['biography', 'drama', 'thriller']"
m104,jfk,1991,8.0,"['biography', 'drama', 'history', 'mystery', 'thriller']"
m105,jackie brown,1997,7.6,"['crime', 'drama', 'thriller']"
m106,jacob's ladder,1990,7.5,"['drama', 'mystery', 'thriller']"
m108,jaws,1975,8.3,['thriller']
m110,kalifornia,1993,6.7,"['crime', 'drama', 'thriller']"
m112,knight moves,1992,5.8,"['mystery', 'thriller']"
m114,léon,1994,8.6,"['crime', 'drama', 'thriller']"
m120,the life of david gale,2003,7.3,"['drama', 'crime', 'thriller']"
m123,lost highway,1997,7.6,"['drama', 'horror', 'mystery', 'thriller']"
