mId,movieTitle,movieYear,rating,geners
m28,barry lyndon,1975,8.1,"['drama', 'romance', 'war']"
m40,braveheart,1995,8.4,"['action', 'biography', 'drama', 'history', 'war']"
m42,casablanca,1942,8.8,"['drama', 'romance', 'war']"
m91,hope and glory,1987,7.4,"['drama', 'war']"
m131,mash,1970,7.8,"['comedy', 'war', 'drama']"
m157,the patriot,2000,6.9,"['action', 'drama', 'war']"
m190,stalag 17,1953,8.2,"['drama', 'war']"
m247,apocalypse now,1979,8.6,"['drama', 'war']"
m277,la battaglia di algeri,1966,8.2,"['drama', 'history', 'war']"
m320,the deer hunter,1978,8.2,"['drama', 'war']"
m334,the english patient,1996,7.3,"['romance', 'drama', 'war']"
m390,hotel rwanda,2004,8.3,"['adventure', 'drama', 'history', 'thriller', 'war']"
m417,kundun,1997,7.1,"['biography', 'drama', 'history', 'war']"
m420,last of the mohicans,1977,7.3,"['action', 'adventure', 'war']"
m468,pearl harbor,2001,5.4,"['action', 'drama', 'romance', 'war']"
m474,platoon,1986,8.2,"['action', 'drama', 'war']"
m502,saving private ryan,1998,8.5,"['action', 'drama', 'history', 'war']"
m504,schindler's list,1993,8.9,"['biography', 'drama', 'history', 'war']"
m548,taking sides,2001,7.2,"['drama', 'music', 'war']"
m565,the messenger,2009,7.4,"['drama', 'romance', 'war']"
m566,the pianist,2002,8.5,"['biography', 'drama', 'war']"
m570,three kings,1999,7.3,"['action', 'adventure', 'comedy', 'drama', 'war']"
m616,zulu dawn,1979,6.4,"['action', 'adventure', 'drama', 'history', 'war']"
