mId,movieTitle,movieYear,rating,geners,female_lines_count,male_lines_count,unknown_lines_count,female_lines_percentage,male_lines_percentage,unknown_lines_percentage
m0,10 things i hate about you,1999,6.9,"['comedy', 'romance']",277,359,32,41.467065868263475,53.74251497005989,4.790419161676647
m1,1492: conquest of paradise,1992,6.2,"['adventure', 'biography', 'drama', 'history']",0,143,130,0.0,52.38095238095239,47.61904761904761
m2,15 minutes,2001,6.1,"['action', 'crime', 'drama', 'thriller']",76,443,153,11.30952380952381,65.92261904761905,22.767857142857142
m3,2001: a space odyssey,1968,8.4,"['adventure', 'mystery', 'sci-fi']",0,145,127,0.0,53.30882352941176,46.69117647058824
m4,48 hrs.,1982,6.9,"['action', 'comedy', 'crime', 'drama', 'thriller']",59,377,142,10.207612456747404,65.22491349480968,24.567474048442904
m5,the fifth element,1997,7.5,"['action', 'adventure', 'romance', 'sci-fi', 'thriller']",38,198,185,9.026128266033254,47.03087885985748,43.942992874109265
m6,8mm,1999,6.3,"['crime', 'mystery', 'thriller']",34,510,40,5.821917808219178,87.32876712328768,6.8493150684931505
m7,a nightmare on elm street 4: the dream master,1988,5.2,"['fantasy', 'horror', 'thriller']",54,29,72,34.83870967741935,18.70967741935484,46.45161290322581
m8,a nightmare on elm street: the dream child,1989,4.7,"['fantasy', 'horror', 'thriller']",119,35,52,57.76699029126213,16.990291262135923,25.24271844660194
m9,the atomic submarine,1959,4.9,"['sci-fi', 'thriller']",0,126,86,0.0,59.43396226415094,40.56603773584906
m10,affliction,1997,6.9,"['drama', 'mystery', 'thriller']",104,441,82,16.586921850079744,70.33492822966507,13.078149920255184
m11,air force one,1997,6.3,"['action', 'drama', 'thriller']",0,115,253,0.0,31.25,68.75
m12,airplane ii: the sequel,1982,5.8,"['comedy', 'romance', 'sci-fi']",71,95,125,24.398625429553263,32.64604810996563,42.955326460481096
m13,airplane!,1980,7.8,"['comedy', 'romance']",50,45,141,21.1864406779661,19.06779661016949,59.7457627118644
m14,alien nation,1988,6.1,"['crime', 'drama', 'sci-fi', 'thriller']",0,243,73,0.0,76.89873417721519,23.10126582278481
m15,aliens,1986,8.5,"['action', 'sci-fi', 'thriller']",163,81,115,45.40389972144847,22.56267409470752,32.03342618384401
m16,amadeus,1984,8.4,"['biography', 'drama', 'music']",155,703,149,15.392254220456802,69.81132075471697,14.796425024826215
m17,an american werewolf in london,1981,7.5,"['horror', 'romance']",128,378,72,22.145328719723185,65.39792387543253,12.45674740484429
m18,american madness,1932,7.4,['drama'],104,295,158,18.67145421903052,52.96229802513464,28.366247755834827
m19,american outlaws,2001,5.7,"['action', 'western']",46,518,105,6.87593423019432,77.42899850523169,15.695067264573993
m20,american psycho,2000,7.4,"['drama', 'thriller']",131,436,111,19.321533923303836,64.30678466076697,16.371681415929203
m21,antitrust,2001,6.0,"['drama', 'thriller']",127,270,129,24.14448669201521,51.33079847908745,24.524714828897338
m22,austin powers: international man of mystery,1997,7.1,"['action', 'adventure', 'comedy', 'crime']",103,295,85,21.325051759834366,61.07660455486542,17.598343685300208
m23,the avengers,1998,3.4,"['action', 'adventure', 'thriller']",226,209,63,45.38152610441767,41.967871485943775,12.650602409638553
m24,bachelor party,1984,5.9,"['comedy', 'romance']",63,237,180,13.125,49.375,37.5
m25,backdraft,1991,6.6,"['action', 'crime', 'drama', 'mystery', 'thriller']",81,392,103,14.0625,68.05555555555556,17.881944444444446
m26,bad lieutenant,1992,6.9,"['crime', 'drama']",20,73,38,15.267175572519085,55.72519083969466,29.00763358778626
m27,bamboozled,2000,6.3,"['comedy', 'drama', 'music']",124,421,155,17.71428571428571,60.14285714285714,22.142857142857142
m28,barry lyndon,1975,8.1,"['drama', 'romance', 'war']",27,212,99,7.988165680473373,62.721893491124256,29.289940828402365
m29,basic,2003,6.3,"['crime', 'drama', 'mystery', 'thriller']",137,461,80,20.206489675516224,67.99410029498524,11.799410029498524
m30,big fish,2003,8.1,"['adventure', 'drama', 'fantasy']",105,257,45,25.7985257985258,63.14496314496314,11.056511056511056
m31,birthday girl,2001,6.0,"['comedy', 'crime', 'romance', 'thriller']",117,214,28,32.590529247910865,59.610027855153206,7.7994428969359335
m32,black snake moan,2006,7.1,['drama'],167,311,37,32.42718446601941,60.38834951456311,7.184466019417475
m33,black rain,1989,6.4,"['action', 'crime', 'drama', 'thriller']",31,241,113,8.051948051948052,62.5974025974026,29.35064935064935
m34,blade runner,1982,8.3,"['drama', 'sci-fi', 'thriller']",83,248,163,16.801619433198383,50.20242914979757,32.99595141700405
m35,blast from the past,1999,6.4,"['comedy', 'drama', 'romance']",331,536,113,33.775510204081634,54.69387755102041,11.53061224489796
m36,blue velvet,1986,7.8,"['crime', 'mystery', 'thriller']",244,335,110,35.41364296081277,48.62119013062409,15.965166908563136
